pk_id_policy_info,version,date_from,date_to,id,"policy_title","pdf","pk","Gender","Youth","CapDev","Climate"
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,93,"Bangladesh's Vulnerable Group Development program (improved targeting criteria)",,"93_57","2 - Principal","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,94,"Vision 2045 for Agriculture Sector in Bhutan - strategic planning to achieve food self sufficiency, livelihood security, and environmental conservation,   ",,"94_56","1 - Significant","1 - Significant","2 - Principal","1 - Significant"
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,95,"Mbale District (Uganda) coffee (management) bill, 2018",,"95_56","0 - Not Targeted","0 - Not Targeted","1 - Significant","1 - Significant"
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,96,"Inputs on Land Productivity for the Long-Term Green Growth Policy of Colombia",,"96_56","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","1 - Significant"
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,100,"CCAFS and PIM science referenced in formulating the national and sectoral Philippine Medium Term Development Plan 2017–2022",,"100_56","0 - Not Targeted","0 - Not Targeted","1 - Significant","2 - Principal"
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,102,"National extension training materials/ curriculum developed for cocoa in Ghana. These materials form the obligatory base for all public and private extension materials for cocoa in the country.",,"102_56","0 - Not Targeted","1 - Significant","2 - Principal","1 - Significant"
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,104,"Implementing the resolution of 9th Congress of the Farmers Association of Ha Tinh province, Vietnam that integrates climate-smart agriculture as part of the 2018–2023 provincial strategy",,"104_56","1 - Significant","N/A - Not applicable","1 - Significant","2 - Principal"
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,105,"Local government of Guinayangan, Quezon Province, Philippines emphasized Climate Smart Agriculture in its 2017–2022 Comprehensive Development Plan & Municipal Agriculture Office Banner Programs, following the participatory development of Guinayangan Climate Smart Village.",,"105_56","1 - Significant","0 - Not Targeted","1 - Significant","1 - Significant"
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,111,"Rainforest Alliance Sustainable Agriculture Standard used as a basis for the development of Rainforest Alliance crop-specific certifications",,"111_56","0 - Not Targeted","0 - Not Targeted","1 - Significant","1 - Significant"
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,112,"Sustainable livestock policy of Colombia's national livestock producer organization (FEDEGAN) included information on improved pasture nutrition and methane emissions, which is informing livestock options in the development of the Government of Colombia's Nationally Appropriate Mitigation Action policy ",,"112_56","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","2 - Principal"
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,116,"Impact investor Root Capital introduced CCAFS data on climate change risk into its process for underwriting and prioritizing > $146M of loans to producer organizations in cocoa, coffee etc and promoted uptake by numerous peer agencies in the Council on Smallholder Agricultural Finance (CSAF) community.",,"116_56","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,119,"USAID Global Food Security Strategy transition framework, guiding USAID's investment in food security",,"119_57","0 - Not Targeted","0 - Not Targeted","2 - Principal","0 - Not Targeted"
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,121,"Punjab Agricultural Policy (Pakistan)",,"121_57","1 - Significant","1 - Significant","2 - Principal","1 - Significant"
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,122,"US Global Food Security Strategy Bangladesh Country Plan",,"122_57","1 - Significant","1 - Significant","0 - Not Targeted","1 - Significant"
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,123,"Government of Rwanda's Strategic Plan for Agriculture Transformation 2018-2024",,"123_57","1 - Significant","1 - Significant","2 - Principal","1 - Significant"
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,130,"Contributions to food systems research agenda for Ethiopia with government and civil society, which in 2018 included ongoing development of food based dietary guidelines and embedding activities in efforts to operationalize the National Nutrition-Sensitive Agriculture Strategy",,"130_59","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,135,"Inter-ministerial Ordinance 284/2018 lists and recognizes the nutritional and economic importance of 100 species of native Brazilian socio-biodiversity. Together with a new “Sociobiodiversity label”, the two instruments incentivize farmers to continue growing/managing and selling local species both via institutional procurement and alternative market channels ",,"135_59","0 - Not Targeted","0 - Not Targeted","1 - Significant","0 - Not Targeted"
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,136,"Busia County Biodiversity Policy - the first for Kenya's 47 counties - recognizes the importance of native species for nutrition and food security and allocates resources for the conservation of regional food biodiversity, and the incorporation of native species into school meals linked to direct procurement from smallholder farmers. ",,"136_59","0 - Not Targeted","0 - Not Targeted","1 - Significant","0 - Not Targeted"
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,138,"Agricultural Policies and Investment Priorities for Managing Natural Resources, Climate Change and Air Pollution",,"138_62","1 - Significant","1 - Significant","1 - Significant","2 - Principal"
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,139,"Climate Research for Development (CR4D) Africa 2018–2022 Strategic Plan: CR4D is an African-led initiative that aims to strengthen links between climate science research and climate information needs in support development planning across Africa.",,"139_56","0 - Not Targeted","0 - Not Targeted","1 - Significant","2 - Principal"
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,140,"The Indian Council of Agricultural Research (ICAR) prioritized nutrition in breeding by establishing minimum levels of iron and zinc to breed in pearl millet",,"140_59","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,143,"World Health Organization Nutrition Policy Review 2016-2017  refers to biofortification and indicates that 20 countries have included biofortification as an action area in their national policies",,"143_59","N/A - Not applicable","N/A - Not applicable","N/A - Not applicable","N/A - Not applicable"
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,144,"The African Union Specialized Technical Committee on Agriculture endorsed biofortification in 2017, noting its “great potential to contribute significantly” to reducing stunting and other forms of undernutrition. The African Union’s Executive Council endorsed this recommendation in January 2018.",,"144_59","N/A - Not applicable","N/A - Not applicable","N/A - Not applicable","N/A - Not applicable"
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,147,"Citi Global Perspectives & Solutions (one of the world's largest financial institutions) mentions biofortification as an important nutrition innovation that is particularly relevant to the billions of people in the world whose diets primarily consist of nutrient-deficient staple foods. ",,"147_59","N/A - Not applicable","N/A - Not applicable","N/A - Not applicable","N/A - Not applicable"
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,148,"Progress made on defining 'biofortification' in Codex Alimentarius",,"148_59","N/A - Not applicable","N/A - Not applicable","N/A - Not applicable","N/A - Not applicable"
44,1,1900-01-01 00:00:00,2200-01-01 00:00:00,149,"Global Child Nutrition Forum, a learning exchange and technical assistance conference held annually to support countries in the development and implementation of sustainable school feeding programs, refers to biofortification (mentioned for the first time) among nutrition-sensitive school feeding programs to address micronutrient deficiency.",,"149_59","N/A - Not applicable","N/A - Not applicable","N/A - Not applicable","N/A - Not applicable"
45,1,1900-01-01 00:00:00,2200-01-01 00:00:00,152,"US Global Food Security Strategy Bangladesh Country Plan (informed by Women's Empowerment in Agriculture Index)",,"152_57","1 - Significant","1 - Significant","0 - Not Targeted","1 - Significant"
46,1,1900-01-01 00:00:00,2200-01-01 00:00:00,153,"Government of Flanders’ strategy on agricultural extension in Malawi",,"153_57","1 - Significant","0 - Not Targeted","2 - Principal","1 - Significant"
47,1,1900-01-01 00:00:00,2200-01-01 00:00:00,154,"US Global Food Security Strategy Ethiopia Country Plan",,"154_57","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
48,1,1900-01-01 00:00:00,2200-01-01 00:00:00,157,"China’s Rural Revitalization Strategy",,"157_57","0 - Not Targeted","0 - Not Targeted","1 - Significant","0 - Not Targeted"
49,1,1900-01-01 00:00:00,2200-01-01 00:00:00,158,"The Cauca Department Secretariat of Women, Colombia,  has updated its Rural Women Policy to include climate change and variability and the role of women in addressing climate and environmental challenges.",,"158_56","2 - Principal","1 - Significant","1 - Significant","1 - Significant"
50,1,1900-01-01 00:00:00,2200-01-01 00:00:00,160,"Gender and Social Inclusion Incorporated into the Kenya Dairy Board Strategic Plan",,"160_56","1 - Significant","1 - Significant","1 - Significant","0 - Not Targeted"
51,1,1900-01-01 00:00:00,2200-01-01 00:00:00,161,"Kenya Climate-Smart Agriculture Project (KCSAP) Monitoring and Evaluation Manual Incorporates CGIAR Methods for GHG Emissions",,"161_56","N/A - Not applicable","N/A - Not applicable","1 - Significant","1 - Significant"
52,1,1900-01-01 00:00:00,2200-01-01 00:00:00,166,"Bangladesh’s Improved Maternity and Lactating Mother Allowance (improved targeting criteria)",,"166_57","1 - Significant","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
53,1,1900-01-01 00:00:00,2200-01-01 00:00:00,168,"Gender and Diversity Policy",,"168_63","2 - Principal","1 - Significant","1 - Significant","0 - Not targeted"
54,1,1900-01-01 00:00:00,2200-01-01 00:00:00,170,"Sustainable livestock policy of Colombia's national livestock producer organization (FEDEGAN) included information on improved pasture nutrition and methane emissions, which is informing livestock options in the development of the Government of Colombia's Nationally Appropriate Mitigation Action policy",,"170_60","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
55,1,1900-01-01 00:00:00,2200-01-01 00:00:00,171,"CGIAR Antimicrobial Research (AMR) strategy developed",,"171_59","1 - Significant","0 - Not Targeted","2 - Principal","0 - Not Targeted"
56,1,1900-01-01 00:00:00,2200-01-01 00:00:00,182,"Investment in Climate Smart Livestock in East Africa by German government",,"182_56","1 - Significant","0 - Not Targeted","2 - Principal","2 - Principal"
57,1,1900-01-01 00:00:00,2200-01-01 00:00:00,183,"Expansion of the 'seeds without borders' agreement to Bhutan. Bhutan can now import improved variety seeds without much hassle from six countries in the region. Bangladesh, Cambodia, India, Myanmar, Nepal, and Sri Lanka are the other members of the network agreement",,"183_189","0 - Not Targeted","0 - Not Targeted","1 - Significant","1 - Significant"
58,1,1900-01-01 00:00:00,2200-01-01 00:00:00,190,"Philippines Development Plan 2017-2022",,"190_57","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","2 - Principal"
59,1,1900-01-01 00:00:00,2200-01-01 00:00:00,195,"Rwanda Livestock Master Plan",,"195_60","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
60,1,1900-01-01 00:00:00,2200-01-01 00:00:00,197,"Agricultural Transformation Agency's Direct Seed Marketing Program (Ethiopia)",,"197_57","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
61,1,1900-01-01 00:00:00,2200-01-01 00:00:00,198,"Commitment by Ethiopian Institute of Agricultural Research to invest in gender training",,"198_60","2 - Principal","0 - Not Targeted","2 - Principal","0 - Not Targeted"
62,1,1900-01-01 00:00:00,2200-01-01 00:00:00,199,"National Agriculture Investment Plan for Malawi",,"199_57","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
63,1,1900-01-01 00:00:00,2200-01-01 00:00:00,207,"The National Implementation Platforms for Nutrition (NIPN) changed their data analysis approach incorporating recommendations based on accumulated A4NH experience from impact evaluations and data analyses. NIPN is designed to strengthen country capacity to analyse data to understand better how malnutrition can be prevented and to inform national policies and programmes.  ",,"207_59","0 - Not Targeted","0 - Not Targeted","2 - Principal","0 - Not Targeted"
64,1,1900-01-01 00:00:00,2200-01-01 00:00:00,209,"USAID Nobo Jatra (New Beginning) project in Southern Bangladesh (inclusion of nutrition training component)",,"209_57","2 - Principal","0 - Not Targeted","2 - Principal","0 - Not Targeted"
65,1,1900-01-01 00:00:00,2200-01-01 00:00:00,210,"Bill and Melinda Gates Foundation and UK Department for International Development make major joint investment in food safety research for development ",,"210_59","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
66,1,1900-01-01 00:00:00,2200-01-01 00:00:00,211,"Contribution to the Rice Industry Roadmap Plan 2030 in the Philippines",,"211_189","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
67,1,1900-01-01 00:00:00,2200-01-01 00:00:00,212,"East African Community (EAC) Policy Briefs on Aflatoxin Prevention and Control launched and endorsed",,"212_59","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
68,1,1900-01-01 00:00:00,2200-01-01 00:00:00,213,"Rice Tariffication Law (Philippines)",,"213_57","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","1 - Significant"
69,1,1900-01-01 00:00:00,2200-01-01 00:00:00,214,"US Global Food Security Strategy Ethiopia Country Plan (informed by Women's Empowerment in Agriculture Index)",,"214_57","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
70,1,1900-01-01 00:00:00,2200-01-01 00:00:00,215,"US Global Food Security Strategy Nigeria Country Plan (informed by Women's Empowerment in Agriculture Index)",,"215_57","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
71,1,1900-01-01 00:00:00,2200-01-01 00:00:00,216,"US Global Food Security Strategy Honduras Country Plan (informed by Women's Empowerment in Agriculture Index)",,"216_57","1 - Significant","0 - Not Targeted","0 - Not Targeted","1 - Significant"
72,1,1900-01-01 00:00:00,2200-01-01 00:00:00,217,"US Global Food Security Strategy Kenya Country Plan (informed by Women's Empowerment in Agriculture Index)",,"217_57","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
73,1,1900-01-01 00:00:00,2200-01-01 00:00:00,218,"Curriculum for biosafety inspectors in Malawi",,"218_57","0 - Not Targeted","0 - Not Targeted","2 - Principal","0 - Not Targeted"
74,1,1900-01-01 00:00:00,2200-01-01 00:00:00,219,"Pakistan National Food Security Policy",,"219_57","0 - Not Targeted","0 - Not Targeted","1 - Significant","1 - Significant"
75,1,1900-01-01 00:00:00,2200-01-01 00:00:00,220,"World Bank's Income Support Program for the Poorest Project (improved targeting criteria)",,"220_57","2 - Principal","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
76,1,1900-01-01 00:00:00,2200-01-01 00:00:00,221,"Federal Ministry of Economic Cooperation and Development (BMZ) makes a major commitment to invest in food safety research for development in Uganda",,"221_59","0 - Not Targeted","0 - Not Targeted","1 - Significant","0 - Not Targeted"
77,1,1900-01-01 00:00:00,2200-01-01 00:00:00,223,"The World Bank's Safe Food Imperative: Accelerating Progress in Low- and Middle-Income Countries report provides countries with a guide to avoiding the burden of unsafe food—including the right type of investments, policies, and other interventions.",,"223_59","0 - Not Targeted","0 - Not Targeted","1 - Significant","0 - Not Targeted"
78,1,1900-01-01 00:00:00,2200-01-01 00:00:00,227,"The Global Food Safety Partnership (GFSP) is a  public-private initiative hosted by the World Bank; its 2018 Food Safety in Africa report, to which CGIAR contributed, recommended investment into public health-focused programs aimed at informing and empowering African consumers about food safety to drive market incentives for higher standards.",,"227_59","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
79,1,1900-01-01 00:00:00,2200-01-01 00:00:00,229,"Based on the demonstrated proof of concept of water spreading to manage extreme flooding across pastures in Afar state, eastern Ethiopia, supported by WLE, the approach is being integrated into a major World Bank/ International Fund for Agricultural Development project ",,"229_58","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","2 - Principal"
80,1,1900-01-01 00:00:00,2200-01-01 00:00:00,230,"Indian and Gujarat state governments rolling out national solar irrigation investment program based on results of WLE and CCAFS-supported pilot study. Farmers will be able to sell surplus power to electric utility ",,"230_58","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","2 - Principal"
81,1,1900-01-01 00:00:00,2200-01-01 00:00:00,231,"Based on a WLE-supported evaluation of the effectiveness of an irrigation management training program in Tajikistan, the United States Agency for International Development re-designed the program to target women, who are increasingly taking responsibility for management of the irrigation systems ",,"231_58","2 - Principal","0 - Not Targeted","2 - Principal","0 - Not Targeted"
82,1,1900-01-01 00:00:00,2200-01-01 00:00:00,232,"A WLE-supported methodology for monitoring environmental water flows for Sustainable Development Goal 6.4.2 has been adopted and disseminated by the United Nations for use in country reporting against the SDG Goal",,"232_58","0 - Not Targeted","0 - Not Targeted","1 - Significant","2 - Principal"
83,1,1900-01-01 00:00:00,2200-01-01 00:00:00,233,"Supported by WLE and CCAFS, the South Asia Drought Monitoring System is being used by the Indian government to make cropping recommendations to farmers, target drought relief efforts and develop district contingency plans",,"233_58","0 - Not Targeted","0 - Not Targeted","2 - Principal","2 - Principal"
84,1,1900-01-01 00:00:00,2200-01-01 00:00:00,236,"Forestry Curriculum, National Agrarian University La Molina, Peru",,"236_57","0 - Not Targeted","0 - Not Targeted","2 - Principal","0 - Not Targeted"
85,1,1900-01-01 00:00:00,2200-01-01 00:00:00,237,"Progress towards development of policies that enhance private sector investment in animal health service delivery in Kenya ",,"237_60","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
86,1,1900-01-01 00:00:00,2200-01-01 00:00:00,238,"World Organisation for Animal Health (OIE) policy analysis to develop typology of public private partnership models for veterinary service delivery, as input to development of practical guidelines",,"238_60","1 - Significant","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
87,1,1900-01-01 00:00:00,2200-01-01 00:00:00,239,"CGIAR Antimicrobial Research (AMR) strategy developed",,"239_60","1 - Significant","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
88,1,1900-01-01 00:00:00,2200-01-01 00:00:00,240,"World Organisation for Animal Health (OIE) guidelines on prioritization of animal diseases for which the use of vaccines could reduce antimicrobial use",,"240_60","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted"
89,1,1900-01-01 00:00:00,2200-01-01 00:00:00,244,"Strategy informing African Orphan Crops Consortium/ Nepad on course of action for improving human nutrition in Africa.  Supporting human nutrition in Africa through the integration of new and orphan crops into food systems",,"244_61","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
90,1,1900-01-01 00:00:00,2200-01-01 00:00:00,245,"Strategy on how access and benefit sharing stimulate interdisciplinary research for tropical biology and conservation. ""Bridging molecular genetics and participatory research""",,"245_61","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
91,1,1900-01-01 00:00:00,2200-01-01 00:00:00,246,"Strategy informing FAO Global Plan of Action for the conservation, sustainable use and development of forest genetic resources within the framework of the Commission on Plant Genetic Resources for Food and Agriculture. title: ""Indicators of Genetic Diversity of Trees -State, Pressure, Benefit and Response. State of the World’s forest GeneticResources""",,"246_61","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
92,1,1900-01-01 00:00:00,2200-01-01 00:00:00,247,"Strategy informing national tree seed systems with respect to Forest Landscape Restoration. Strategy Title: ""Fit for purpose seed supply systems for the implementation of landscape restoration under Initiative 20x20""",,"247_61","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
93,1,1900-01-01 00:00:00,2200-01-01 00:00:00,248,"The African Plant Breeding Academy (AfPBA). Curriculum to train practicing African plant breeders in the most advanced theory and technologies for plant breeding in support of critical decisions for crop improvement.",,"248_61","1 - Significant","1 - Significant","2 - Principal","1 - Significant"
94,1,1900-01-01 00:00:00,2200-01-01 00:00:00,250,"Strategy on the role of coffee and cocoa in deforestation and tree cover change",,"250_61","N/A - Not applicable","N/A - Not applicable","1 - Significant","1 - Significant"
95,1,1900-01-01 00:00:00,2200-01-01 00:00:00,251,"Draft Agroforestry Policy and Manual for for the Association of Southeast Asian Nations ( ASEAN).  At approval Level with ASEAN Ministerial Council",,"251_61","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
96,1,1900-01-01 00:00:00,2200-01-01 00:00:00,252,"Draft Agroforestry Policy for Nepal at final stages of approval in government",,"252_61","1 - Significant","1 - Significant","1 - Significant","1 - Significant"
97,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1,"Informed investment of  USD 1.2 million for scaling up `Underground Taming of Floods for Irrigation` (UTFI) in India",,"1_11",,,,
98,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2,"Informed investments of USD 170 million in India for scaling up the Happy Seeder technology",,"2_11",,,,
99,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3,"Developing a new international system of plant germplasm exchange, as part of implementation of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA).",,"3_11",,,,
100,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4,"National policies and laws for implementing the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) adopted by Bhutan, Burkina Faso, Costa Rica, Côte d’Ivoire, Guatemala, Nepal, Rwanda and Uganda",,"4_11",,,,
101,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5,"New laws were passed to enhance capacity to adapt to climate change by implementing the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) and the Nagoya protocol, in Madagascar and Benin.  ",,"5_11",,,,
102,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6,"Informed investment of USD 1.6 million for Climate Smart Agriculture (CSA) in Niger",,"6_11",,,,
103,1,1900-01-01 00:00:00,2200-01-01 00:00:00,7,"Informed investment of  USD 21.5 billion by the Indian Government to provide 2.75 million solar pumps to farmers and farmer cooperatives.  ",,"7_11",,,,
104,1,1900-01-01 00:00:00,2200-01-01 00:00:00,8,"Informed investment of  USD 2 million for a regional Climate Smart Agriculture (CSA) strategy for Central America",,"8_11",,,,
105,1,1900-01-01 00:00:00,2200-01-01 00:00:00,9,"Kenya launched the Climate Smart Agriculture Strategy 2017?2026. ",,"9_11",,,,
106,1,1900-01-01 00:00:00,2200-01-01 00:00:00,10,"Informed investment of USD 66 million in Colombia for scaling up Climate Smart Agriculture (CSA) in Cauca, Colombia ",,"10_11",,,,
107,1,1900-01-01 00:00:00,2200-01-01 00:00:00,11," Rwanda initiated a national policy framework for climate services under the UN Global Framework for Climate Services",,"11_11",,,,
108,1,1900-01-01 00:00:00,2200-01-01 00:00:00,12,"Design of the Nigeria Agricultural Sector Food Security and Nutrition Strategy (2016-2025)",,"12_12",,,,
109,1,1900-01-01 00:00:00,2200-01-01 00:00:00,13,"Steps towards reform of the agricultural research system in Swaziland",,"13_12",,,,
110,1,1900-01-01 00:00:00,2200-01-01 00:00:00,14,"Organizational merger forming Kenya Agriculture and Livestock Research Organization (KALRO), for improved capacity and performance.",,"14_12",,,,
111,1,1900-01-01 00:00:00,2200-01-01 00:00:00,15,"The Collaborating for Resilience method for implementing a participatory approach to strengthen the governance of natural resources used by International Land Coalition’s National Engagement Strategy (NES).",,"15_12",,,,
112,1,1900-01-01 00:00:00,2200-01-01 00:00:00,16,"Common Monitoring and Evaluation Framework for Land in Africa approved by the African Land Policy Center for use by African countries to track progress towards the AU Declaration on Land",,"16_12",,,,
113,1,1900-01-01 00:00:00,2200-01-01 00:00:00,17,"Joint Village Land Use Planning methodology used by the government to clarify and affirm resource rights for pastoralist groups in Tanzania.  ",,"17_12",,,,
