pk_id_innovation_info,version,date_from,date_to,project_innovation_id,"title","narrative","evidence_link","gender","youth","pdf","pk",number_of_innovations
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,263,"Demonstrated impact of food-assisted maternal and child health and nutrition program on maternal and child nutritional status in Guatemala and Burundi","Food-assisted maternal and child health and nutrition (FA-MCHN) programs are widely used to address undernutrition, but little is known about their effectiveness in improving child linear growth. Using a robust cluster randomized controlled study design, this evaluation provides insights on how to improve the nutritional status of children in the worst-off households in vulnerable contexts, such as Guatemala and Burundi.","https://doi.org/10.1093/jn/nxx063; https://doi.org/10.3945/jn.115.227462; https://doi.org/10.1093/jn/nxy138",,,"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=263&phaseID=59","263_59",1
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,268,"Gender-differentiated indicator of nominal rate of protection - a methodology to understand the differentiated impacts of policies on women and men","Household level surveys (World Bank LSMS) and data from the Ag Incentives Consortium were used to compute national gender-differentiated nominal rates  of protection (NRPs). This new methodology brings a gender lens to our understanding of agricultural policies and can help policy makers understand the differentiated impacts of policies on women and men.","https://www.slideshare.net/IFPRI-PIM/agricultural-price-incentives-towards-genderdifferentiated-indicators",,,"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=268&phaseID=57","268_57",1
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,271,"Dataset on yield changes due to climate change based on Agricultural Model intercomparison and improvement project (AgMIP) Global Gridded Crop Model Intercomparison","New methodology that merged together the most useful and accurate results from the AgMIP (Agricultural Model intercomparison and improvement project) GGCMI (Global Gridded Crop Model Intercomparison) crop model comparison for the world.
","http://ebrary.ifpri.org/cdm/ref/collection/p15738coll2/id/132940",,,"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=271&phaseID=57","271_57",1
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,272,"Decision-making tool for national implementation of the Plant Treatys multilateral system of access and benefit-sharing","The decision making tool is designed to assist policy actors to identify appropriate measures to implement the Plant Treaty’s multilateral system of access and benefit-sharing. The decision-making tool is divided into the eleven sections corresponding to issues that national-level policy actors need to address. Each section includes draft ‘baseline’ legal provisions related to each option; these can be adapted/incorporated into new laws and administrative guidelines. 
 ","https://cgspace.cgiar.org/handle/10568/93396",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=272&phaseID=56","272_56",1
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,274,"Using roof-top rainwater harvesting system (RWHS) to irrigate home-based vegetable gardens in Laos","A model combining a rainwater harvesting systems (RWHS) water balance and a crop water balance was developed to simulate various scenarios of cropping cycles irrigated by a RWHS with varying dimensions. This model ran at a daily time step aimed to assess how the roof and vegetable garden areas and tank capacity influence crop yields, for different cropping calendars and rainfall years.","https://cgspace.cgiar.org/handle/10568/100100",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=274&phaseID=56","274_56",1
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,275,"Climate-Related Risk Maps and Adaptation Plans (Climate Smart MAP) for Rice Production in Vietnam’s Mekong River Delta ","The climate-related risks maps and adaptation plans (Climate Smart MAP/CS-MAP) is a participatory approach involving experts from various local and national offices for (1) identifying climate-related risks; (2) delineating affected areas and risk levels; (3) proposing corresponding adaptive plans; (4) fine-tuning and verifying propose measures; and (5) developing integrated provincial and regional adaptation plans. Risk maps were developed for normal and ENSO years by using technical data, infrastructures, and local observations. ",,,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=275&phaseID=56","275_56",1
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,277,"Joint village land use planning in Tanzania","Joint village land use planning (JVLUP) allows villages to plan land use collectively to share resources such as grazing and water. It is led by village authorities, with technical support from district government participatory land use management team (PLUM). ILRI and partners are supporting the piloting and upscaling. It is a key stepping stone to collective/group land titles, and rangeland management planning. It resolves land use conflicts between pastoralists and farmers through consultation, negotiation, agreement.","https://cgspace.cgiar.org/handle/10568/79796",,,"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=277&phaseID=60","277_60",1
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,279,"Woreda Participatory Land Use Planning for Pastoral Areas in Ethiopia","Woreda Participatory Land Use Planning (WPLUP) for Pastoral Areas is a process undertaken by district-level government experts working with local land users, to develop a land use plan for better managing and protecting rangelands, and for woreda development planning. 'Joint' WPLUP has also been introduced to prevent rangeland fragmentation, learning from joint village land use planning in Tanzania. A drylands-specific land capability classification is included. ILRI provided significant technical support to the development of WPLUP."," https://cgspace.cgiar.org/handle/10568/99262",,,"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=279&phaseID=60","279_60",1
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,282,"28 new pre-breeding wheat lines with high yield potential and climate resilience for Mexico's growing regions.","28 outstanding wheat lines identified with physiological traits conferring high yields and climate resilience for Mexico’s growing regions.","https://www.dropbox.com/s/jq5zfwez2lfmplv/Reporte%20MasAgro%20Final%20Meta%204.1.docx?dl=0",,,"https://marlo.cgiar.org/summaries/Wheat/projectInnovationSummary.do?innovationID=282&phaseID=62","282_62",28
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,283,"Seven bread and five durum wheat lines selected in collaboration with INIFAP are variety release candidates.","Seven bread and five durum wheat lines selected in collaboration with INIFAP are variety release candidates.","https://www.dropbox.com/s/y40eol0pbro6z9e/Reporte%20MasAgro%20Final%20Meta%204.2.docx?dl=0",,,"https://marlo.cgiar.org/summaries/Wheat/projectInnovationSummary.do?innovationID=283&phaseID=62","283_62",12
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,284,"10 new wheat varieties multiplied in collaboration with seed producers located in strategic growing areas of Mexico.","10 new wheat varieties multiplied in collaboration with Mexican seed producers located in strategic growing areas. The multiplied seed (more than 85 tons) was distributed to farmers in the states of Baja California, Chihuahua, Guanajuato, Hidalgo, Nuevo León, Sinaloa and Sonora.","https://www.dropbox.com/s/jg186ef0j3hzchj/Reporte%20MasAgro%20Final%20Meta%204.3.docx?dl=0",,,"https://marlo.cgiar.org/summaries/Wheat/projectInnovationSummary.do?innovationID=284&phaseID=62","284_62",10
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,285,"30 CIMMYT advanced lines with high yield potential, good grain quality and disease resistance selected for national evaluation.","30 CIMMYT advanced lines with high yield potential, good grain quality and disease resistance selected for INIFAP’s nation-wide wheat yield trials in Mexico.","https://www.dropbox.com/s/jq5zfwez2lfmplv/Reporte%20MasAgro%20Final%20Meta%204.1.docx?dl=0",,,"https://marlo.cgiar.org/summaries/Wheat/projectInnovationSummary.do?innovationID=285&phaseID=62","285_62",30
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,286,"Validation of RUMINANT model of enteric methane emissions","RUMINANT is a model that simulates the digestive and metabolic processes of ruminant livestock. Based on the characteristics of the animal and the quality of the feed available (which must be entered by the model user), RUMINANT models nutritional needs and fermentation kinetics and estimates potential consumption, production of milk and meat, manure, excretion of nitrogen, and methane emissions.","https://hdl.handle.net/10568/97097",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=286&phaseID=56","286_56",1
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,289,"Local Technical Agroclimatic Committees (LTACs) approach generating climate forecasts and crop response","The LTAC approach generates weather and climate-forecasts and likely crop response considering such forecast. These forecasts are tailored to local conditions and needs. The forecasts, produced by local agricultural sector institutions and technicians, are used as an input for monthly meetings, where growers and key-stakeholders discuss and analyze such information supporting the decision-making process. LTAC basic premise is that knowledge-intensive practices require learning through interaction and shared understandings, rather than through one-way directed knowledge transfer.",,,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=289&phaseID=56","289_56",1
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,292,"Implementation of a test to analyze PPO activity (PPO activity controls the darkening of flours and wheat products)","A new high throughput, low cost method, to analyze PPO activity was tested and implemented in the lab. In 2018, all BW lines from breeding program were analyzed for this important trait and selection for it can be done by the breeders.","http://hdl.handle.net/11529/10548173",,,"https://marlo.cgiar.org/summaries/Wheat/projectInnovationSummary.do?innovationID=292&phaseID=62","292_62",1
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,296,"foresight into changing consumption patterns and implications for research","The foresight, ex-ante impact assessment and targeting team conducts research into changing diets and food systems in order to inform CIMMYTs technology development research.  key findings of this research related to South Asia were published
Mottaleb, et al. 2018. Changing Food Consumption of Households in Developing Countries: A Bangladesh Case. . DOI: 10.1080/08974438.2017.1402727 and Mottaleb, et al. 2018. Evolving food consumption patterns of rural and urban households in developing countries: A Bangladesh case DOI: 10.1108/BFJ-12-2016-0620","https://www.cimmyt.org/news/city-dwellers-in-africa-and-asia-increasingly-choose-wheat-research-shows/",,,"https://marlo.cgiar.org/summaries/Wheat/projectInnovationSummary.do?innovationID=296&phaseID=62","296_62",1
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,298,"Tool to integrate and measure gender equality in monitoring and evaluation of climate services","This tool identifies key lessons learned on gender-aware M&E as well as methods to measure empowerment, including use of mixed methods and participatory tools, and gender-aware interview practices. It identifies the data that represent key factors underlying gender inequalities in access and use of weather and climate information and the dataset required to assess participation in agricultural decision-making. Sample quantitative and qualitative questions for collection of the datasets are provided. ","https://cgspace.cgiar.org/handle/10568/99021",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=298&phaseID=56","298_56",1
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,299,"Climate Smart Agriculture investment plans","Working closely with the World Bank the Adaptation of African Agriculture Initiative and country partners, this project developed a novel approach for creating CSA Investment Plans at the national level. This innovative approach is based on a foundation of strong stakeholder engagement, combining policy/literature review, key informant interviews, climate risk modeling, foresight analysis, Bayesian cost-benefit analysis, among other approaches to develop a CSA investment plan ","https://drive.google.com/open?id=11UGR5FDsoxu2T7owEk55x7TeB6gV6qbD",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=299&phaseID=56","299_56",1
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,307,"Educator incentive system reduces dropout rates in primary school in Uganda","Teachers responded to this Pay for Percentile incentive system in ways that raised attendance rates two school years later from .56 to .60. These attendance gains were driven primarily by outcomes in treatment schools that provide textbooks for grade six math students. We document several results that are consistent with the hypothesis that teacher effort and books are complementary to achieve good education outcomes.","https://www.nber.org/papers/w24911",,,"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=307&phaseID=57","307_57",1
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,308,"Understanding the impacts of the Yemen Social Fund for Development Cash for Nutrition program on child nutrition and health","The impact evaluation found that cash transfers with soft conditionality on attending nutritional training sessions increased child and maternal dietary diversity, maternal knowledge of recommended infant and young child feeding practices, rate of exclusive breastfeeding and early initiation of breastfeeding, treatment of water, and weight-for-height and height-for-age for chilren in the poorest tercile of treated households, whereas they decreased the rate of children being identified as malnourished.","https://www.dropbox.com/s/ulw75bu7ces75hc/YemenCCT_ImpactEvaluationReport.docx?dl=0",,,"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=308&phaseID=57","308_57",1
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,310,"Estimating minimum nutrient (N,P,K) requirements for climate-smart intensification of maize cropping","Building upon the innovation of 2017 for minimum N requirements, we now extended the approach to minimum N, P and K requirements for defined target yields of maize crops. Results are publicly available on www.yieldgap.org and methods and applications have been published (Global Food Security). Both IFA and Yara are very positive about this innovation and use it in their work in SSA to define nutrient requirements for climate-smart intensification. See Evidence and Outcome.",,,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=310&phaseID=56","310_56",1
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,311,"Framework of analysis of country-level mitigation potential from agricultural sector","We developed a generalizable analytical framework for determining country-level mitigation potential from agricultural sector. Used this framework in India to determine country-level mitigation potential together with its spatial distribution using a bottom-up approach. 
We are using the same framework to analyze mitigation potential from agricultural sector in Bangladesh and Mexico in 2019.  ","10.1016/J.SCITOTENV.2018.11.225;  https://india.mongabay.com/2019/02/reducing-indias-agricultural-carbon-footprint-with-the-least-costs/_; •	https://www.cimmyt.org/press_release/new-study-india-could-cut-nearly-18-of-agricultural-greenhouse-gas-emissions-through-cost-saving-farming-practices/",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=311&phaseID=56","311_56",1
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,317,"Valuation of the general public's willingness to pay for the ecosystem services generated by on farm conservation of quinoa agrobiodiversity","A choice experiment survey tool explored the extent to which the public is willing to compensate producers for providing ecosystem services by maintaining quinoa agrobiodiversity on farm. For a quinoa conservation program, the willingness to pay was USD 31.79 per respondent, totaling $5.89 million per year - higher than conservation costs ($1.08 million per year). The findings will be used to justify allocation of public funds to conservation of crop genetic resource diversity.","https://repository.usfca.edu/thes/1056/",,,"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=317&phaseID=57","317_57",1
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,319,"Community seedbanks as platforms for building socio-ecological resilience","Studies in Guatemala and Nepal showed that the benefits of community seedbanks go beyond seed conservation. Community seedbanks were found to strengthen seed exchanges and contribute to broadening the agrobiodiversity base, allowing to test new varieties and recover local varieties that had disappeared from the community. These changes contribute to socio-ecological resilience. ","https://www.bioversityinternational.org/fileadmin/user_upload/Brief_A_Porcuna_2018.pdf; http://himalayancrops.org/wp-content/uploads/2017/08/GomezCesar_Thesis_Final_Revised.pdf",,,"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=319&phaseID=57","319_57",1
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,321,"Multistakeholder dialogue tool for cross-border integrated landscape management","Conflicts over natural resource management intertwined with insecurity and lack of capacity make it difficult for local governments at the border between Kenya and Somalia to engage in a constructive dialogue. The multistakeholder dialogue tool provides a platform for exchange of information between stakeholders, with the aim of conserving biodiversity resources in the Tana-Kipini-Badana bushland and seascapes of Kenya and Somalia.","http://www.worldagroforestry.org/downloads/Publications/PDFS/PB18002.pdf",,,"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=321&phaseID=57","321_57",1
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,323,"Hybrids offcially released/registered for commecialization ","Out of total 68 hybrids (derived_from_following_lines: CIM17MHS02 , CIM17MHS16,_CAH1418, S99TLYQ-B, Across_9331 RE, Across 9942 x Across 9944) licenced_to the_partners, nine_hybrids released; a total 73.7 tons_of_certified_seed was produced. This includes two_hybrids released by BARI, Bangladesh sublicensed to BRAC, two hybrids released by NMRP, Nepal and sublicensed to two_seed companies (SEAN & GATE, Nepal), one_hybrid released by UAS, Raichur & sublicensed to_MAHYCO, India and one hybrid each commercialized by_BAU, Sabor,_Lall Seeds, Srimad Seeds and Kumar Bioseed, India.","https://htma.cimmyt.org/, https://public.tableau.com/profile/jennifer2749#!/vizhome/MAIZEVarietyReleaseMap2018FinalJJ/Dashboard1?publish=yes",,,"https://marlo.cgiar.org/summaries/Maize/projectInnovationSummary.do?innovationID=323&phaseID=63","323_63",68
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,324,"Environmental suitability maps for Ethiopian sheep and goat","These maps will allow to disseminate improved small ruminant genotypes (outputs from small ruminant community based breeding programmes) in relevant agro-ecologies.","http://repo.mel.cgiar.org/handle/20.500.11766/9839",,,"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=324&phaseID=60","324_60",1
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,325,"Three CIMMYT Maize Lines (CML) released ","Three stress-resilient CIMMYT Maize Lines (CML), including CML578, CML-579 and CML-580 globally released as international public good, and available from gene back of CIMMYT for use in maize breeding programs in tropics.","https://www.dropbox.com/s/c155sc6mf92ghuw/CML%20announcement_catalog%20_2018_final.docx?dl=0",,,"https://marlo.cgiar.org/summaries/Maize/projectInnovationSummary.do?innovationID=325&phaseID=63","325_63",3
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,327,"Field manual for drought phenotyping","A protocol for quantitative management of drought stress in field phenotyping developed and published. ","https://www.cimmyt.org/tag/new-publications/",,,"https://marlo.cgiar.org/summaries/Maize/projectInnovationSummary.do?innovationID=327&phaseID=63","327_63",1
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,328,"Sanility tolerant hybrids","A set of five promising salinity tolerant hybrids identified, and taken forward for large-scale on-farm testing by partners in Bangladesh (BARI and BRAC) in salt-affected areas in South Bangladesh.","Not weblink",,,"https://marlo.cgiar.org/summaries/Maize/projectInnovationSummary.do?innovationID=328&phaseID=63","328_63",5
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,330,"Stakeholders Prioritization Framework of Climate-Smart Agriculture Interventions ","Evaluates stakeholders’ prioritization methodology for investment decision making on climate smart agriculture technologies, practices and services at the sub-national level;

Methodology ensures coherent linkage of climate smart agriculture (CSA) process with stakeholders needs and challenges;

This approach is successful to identify CSA implementation feasibility, barriers and incentive mechanisms that play a major role in guiding investment decisions by governments, private sector and farming communities on CSA
","https://www.dropbox.com/s/qc3z0tem1avgcij/Stakeholders%20Prioritization%20of%20Climate-Smart%20Agriculture%20Interventions_Evaluation%20of%20a%20Framework.pdf?dl=0",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=330&phaseID=56","330_56",1
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,331,"Protocol for characterizing community-based rangeland management cases","This is research protocol for comparative case study analysis of instances of institutional support for communities establishing community-based rangeland management.  It adopts an Option by Context approach, guiding the structured collection of variables on (a) the ""option"" (strategy and approach used by a change agent in terms of governance model/institutional structure), (b) the social and biophysical context, and (c) the outcomes.","https://cgspace.cgiar.org/handle/10568/97916",,,"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=331&phaseID=60","331_60",1
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,335,"Picture-based insurance: delivering affordable crop insurance using farmers' smartphone pictures to assess crop damage","Farmers register each site to be insured through an initial picture taken via a smartphone App. They take follow-up pictures to trigger personalized advisories, monitor crop health, and document losses. When assessing claims, experts evaluate the damage using the pictures. The pictures are geotagged and time-stamped, and the App has built-in features to prevent tampering with pictures. As more training data become available, machine learning is used to build automated image-processing algorithms.","http://ebrary.ifpri.org/cdm/singleitem/collection/p15738coll2/id/131380/rec/15",,,"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=335&phaseID=57","335_57",1
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,336,"Method to help countries define their trade liberalization strategies","Implementation of the African Continental Free Trade Agreement leads to challenges for African countries. Although most products have to be included in the trade liberalization scheme, each country may select “sensitive products” which will be exempt from this scheme. To help countries make this strategic decision, PIM has developed a method now used by various organizations including the United Nations Economic Commission for Africa to provide assistance to individual countries in the trade liberalization process.","https://www.uneca.org/sites/default/files/PublicationFiles/afcfta-towards_the_finalization_of_modalities_on_goods_rev1.pdf",,,"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=336&phaseID=57","336_57",1
44,1,1900-01-01 00:00:00,2200-01-01 00:00:00,337,"Findings on the effects of combining lump sum cash transfers with technical and farm management advice to increase productivity and link farmers to value chains","A pilot project modeled after a Brazilian government-run program (Fomento) was implemented and evaluated with partners in Malawi and Senegal. The program combined extension advice and a lump sum payment, to better enable farmers to make investments which would allow them to participate in value chains (groundnut in Senegal and soybean in Malawi). In both countries, impacts on productivity measures were observed by the end of the project; the studies are being finalized.","http://ebrary.ifpri.org/utils/getfile/collection/p15738coll2/id/131352/filename/131563.pdf; https://ipcig.org/pub/eng/OP325_Adapting_Fomento_to_countries_in_Sub_Saharan_Africa.pdf",,,"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=337&phaseID=57","337_57",1
45,1,1900-01-01 00:00:00,2200-01-01 00:00:00,338,"The CCAFS Regional Agricultural Forecasting Tool (CRAFT) will help bring powerful advance information tools to farmers and agricultural decision makers, better allowing them to manage within-season climate risk to agriculture","CRAFT is a publicly accessible Windows desktop application that supports multiple crop models and can produce multiple simulation scenarios, maps, and interactive visualizations for regional crop yield forecasting, climate change and risk assessment. CRAFT can assess future climate risk for crop production and determines high climate-risk areas for crop yield. It can help a diverse range of stakeholders by providing reliable information on in-season yield forecasting and spatial and temporal variability of crop production.

","CRAFT is available at: https://dssat.net/2919; see also https://doi.org/10.1016/j.envsoft.2019.02.006",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=338&phaseID=56","338_56",1
46,1,1900-01-01 00:00:00,2200-01-01 00:00:00,339,"Gender-sensitive LINK methodology for making business models more gender inclusive","The LINK methodology provides a process and tools for making business models more inclusive. The gender-sensitive LINK methodology provides tools for assessing and improving inclusion from a gender perspective.",,,,"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=339&phaseID=57","339_57",1
47,1,1900-01-01 00:00:00,2200-01-01 00:00:00,340,"Measurement, Reporting and Verification (MRV) Platform for Agriculture","The MRV Platform for Agriculture contains tools, approaches, and case studies for MRV of GHG emissions and mitigation actions in the agriculture sector. The platform initially focuses on MRV resources specific to livestock, but will accommodate MRV for other agricultural sectors and cross-cutting issues over time.

This platform provide useful information to guide the technical and institutional design of MRV systems for agricultural mitigation actions, including those outlined in NDCs, NAMAs, and AFOLU projects.","https://www.agmrv.org",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=340&phaseID=56","340_56",1
48,1,1900-01-01 00:00:00,2200-01-01 00:00:00,342,"Innovative use of sheep and goats by women in climate smart villages in Kenya","The CGIAR led project thus introduced improved strains of resilient but more productive indigenous breeds of Gala goats and Red Maasai sheep for crossbreeding with the local breeds and has resulted in women taking a lead in community led breeding programmes resulting in crosses with better performance and desirable traits.","https://ccafs.cgiar.org/publications/innovative-use-sheep-and-goats-women-climate-smart-villages-kenya#.XPpHLy2B2i4",,,"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=342&phaseID=60","342_60",1
