pk_id_srf_cases_info,version,date_from,date_to,id,"brief_summary","additional_contribution"
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,16,"New evidence on food security: According to a major review published in 2017, adoption of improved rice varieties substantially enhanced food consumption in the households of rice producers in Africa. The impact varied seasonally. During the abundance period, (first 3–4 months after harvest), 33% of households that adopted NERICA varieties and 25% of those that adopted other improved rice varieties shifted from ‘poor food consumption’ to ‘acceptable food consumption’. During the scarcity period (3–4 months before harvest, the proportion of households lifted out of food insecurity, due to the adoption of any improved rice variety, increased to 45%. These numbers correspond to about 300,000 households in sub-Saharan Africa lifted out of food insecurity in the abundance period and 900,000 households in the scarcity period. (Reported by RICE)",
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,17,"3.2 million farming households were ‘reached’ with biofortified planting material, bringing the total estimated number of farming households benefiting from biofortified crops globally to 6.7 million. For vitamin A crops this included 3.7 million households in 10 countries, for iron crops 1.7 million households in 8 countries, and for zinc crops 1.6 million households in 6 countries (note total > 6.7 million as some received multiple crops). (Reported by HarvestPlus/A4NH)",
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,18,"Monitoring systems data from 2017: There is emerging evidence that aflatoxin exposure is associated with micronutrient deficiency in children. In sub-Saharan Africa, more than 100,000 ha were treated with Aflasafe© by 66,787 farmers during 2017, allowing production of maize and groundnut with safe aflatoxin levels. Large-scale use of Aflasafe© contributed to improved food safety (e.g. in Nigeria 91% of samples had less than 20 ppb) and increased the income of smallholder maize farmers (average 11.5% more than regular maize). (Reported by A4NH)",
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,19,"New evidence on child nutrition: Modeling based on a household survey in Ethiopia found significantly positive effects of adoption of improved varieties on the height for age and weight for age of children under 5 (of the order of 0.5 Z-score), with increased consumption of homegrown maize being the major contributor to this result. Previous work has shown that maize is the most common crop on Ethiopian farms and 76% percent of maize produced is consumed at home; a survey in 2011 estimated that 27% of households had adopted improved varieties. (Reported by MAIZE)",
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,20,"New evidence and modeling: An expected return-on-investment study of the FTA contribution to fire prevention regulations in Indonesia’s Riau province estimates that if the new regulation achieves a 50% reduction in fires in the province annually, given FTA’s contribution to the policy development process, there is an attributable contribution to avoided emissions through this reform process of up to 1.26 million tons annually. This is a 3% reduction based on World Bank estimates for 40.8 million tons emitted in 2015. (Reported by FTA)",
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,21,"New evidence and modeling: An ex-post impact study of a co-management forestry project by CGIAR and partners in Guinea LAMIL, undertaken eight years after the end of the project, found that net rates of forest decline were 4% lower in areas which had been involved with the project.58 This resulted in moderate amounts of retained natural forest and sequestered carbon— the area of natural forest retained due to LAMIL was about 11 square kilometers (km2) in 2010, 24 km2 in 2014, and about 14 km2 in 2016. The associated social value of carbon ranges from US$ 6.9 million to US$ 13.8 million (at US$ 20 and US$ 40 per ton of carbon, respectively). (Reported by FTA)",
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,22,"New evidence of contribution to this outcome: 186,050 ha of water area is under improved management in Bangladesh, through co-management in Bangladesh and (as yet unquantified) progress made in Solomon Islands, Cambodia, and Myanmar. (Reported by FISH)",
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,23,"New survey evidence: From impact studies in Kenya and Malawi, it was estimated that improved agroforestry innovations are being practiced on at least 66,167 ha of partially degraded land. (Reported by FTA)",
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,24,"4.5 million farming households were reached with biofortified planting material in 2018, bringing the total number of farming households growing and consuming biofortified crops globally to 7.6 million (the HarvestPlus global households reached projection model is described in the related links).",
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,25,"60,000 farmers treated more than 63,000 hectares with Aflasafe in 2018, allowing production of maize and groundnut with safe aflatoxin levels. Large-scale use of Aflasafe contributed to improved food safety in most of the areas where crops were treated. The large majority of the treated crops contained aflatoxin-compliant concentrations even for the most stringent markets (i.e., less than 4 parts per billion total aflatoxins). In Nigeria, use of Aflasafe increased the income of smallholder maize farmers on average, 11.5% more than regular maize",
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,26,"23,000 new households benefited from access to aquaculture improvements across five countries: In Egypt (1,680), Sierra Leone (170) and India (Odisha) (17,680) (where women were involved in carp-based polyculture improvements). In Myanmar, 3,149 small-scale aquaculture households and in Timor Leste, 427 small-scale aquaculture households adopted Genetically Improved Farmed Tilapia (GIFT). 12,300 households are benefiting from improvements in management of fish refuges in Cambodia.",
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,27,"Commercialization by CIAT of four Urochloa hybrids (Mulato II, Cayman, Cobra, Camello) and two synthetic mixtures (Mestizo blend, Camello blend) through a private sector partner, Papalotla. Urochloa hybrids had been scaled on >950,000 hectares in >30 countries by 2018. Information from Papalotla indicates that an additional 130,000 hectares were reached in 2018 (the 100,000+ hectares per year are cumulative).",
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,28,"Adoption estimates of cassava varieties in nine countries (in South and Southeast Asia) indicate that out of 4.1 million hectares of cassava production, 2.7 million hectares (65% of the total area) are grown using the International Center for Tropical Agriculture (CIAT)-related varieties.",
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,29,"Release and adoption of potato improved varieties (IVs) were studied in Bangladesh, China, India, Indonesia, Nepal, Pakistan and Vietnam. In terms of area, International Potato Center (CIP)-related varieties were planted on 1.4 million hectares, which is about 19% of the total area. China accounts for most (87%) of the total area cultivated with CIP-related varieties. About 2.8 million households are using CIP-related material, particularly in China (2.5 million), India (0.2 million) and Nepal (0.1 million)",
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,30,"Release and adoption of sweet potato IVs were studied in Bangladesh, China, India, Indonesia, Nepal, Papua New Guinea, the Philippines and Vietnam. About 88% of the 3.6 million-hectare area is planted with IVs. In terms of area, CIP-related varieties are planted in about 164,000 hectares, which is about 5% of the total area. China accounts for most (71%) of the total area cultivated with CIP-related varieties. However, this only represents 4% of the total area in China. The country with the highest figure is Vietnam, where 20% of the total area is planted with CIP-related varieties.",
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,31,"In three states of India, pearl millet hybrids derived through HPRC (Hybrid Parents Research Consortium, based on ICRISAT-bred germplasm) were adopted in 60% of the area on average and resulted in estimated “social benefits” of USD 74 per hectare, or a total of USD 133 million per year for the entire area, shared between farmers, consumers and others.",
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,32,"Farm‐ and market‐level impacts of multiple technology adoption choices were estimated in Ethiopia using household survey data. Current adoption rates were about 50% for hybrid varieties (some of which were CGIAR derived). When improved varieties, fertilizer and other technologies were combined, this gave an average estimated 26% cost reduction per kilogram of maize output. If adopted over the whole maize area, this could increase producer and consumer surpluses by USD 140 and USD 105 million and reduce the number of poor people by an estimated 788,000 per year.",
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,33,"In a national survey in Ethiopia, adoption of improved maize varieties (some with CGIAR germplasm) was estimated to increase per capita food consumption by 3.3%, the probability of a smallholder being in food surplus by 1.8% points, and decrease food insecurity by 2.5%.",
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,34,"Over 80% of Nigerian farming households are smallholders (World Bank, 2017) and they produce an estimated 70% of total maize production (Agra, IITA). The impact of drought tolerant maize varieties (DTMA) in Nigeria showed a 6% reduction in the likelihood of poverty incidence in the communities studied.",
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,35,"Adoption of cassava varieties tracked using data from DNA-fingerprinting in 2015-16 showed that two thirds of cassava growers in Nigeria were using improved varieties. Economic analysis demonstrated that adoption of improved varieties has allowed about 1.6 million individuals to escape poverty (using a poverty line of USD 1.9 per person per day).",
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,36,"In Bangladesh, 4,350 households were associated with improvements in hilsa management and reported productivity gains in fisheries",
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,37,"An estimated 20% increase in pearl millet grain and fodder yields in estimated 1.92 million farmers covering about 1.84 million ha farmers’ fields in three states of India through the Hybrid Parents Research Consortium",
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,38,"In addition to the gain in wheat production (doubled yield between 1982 and 2014) from Chinese germplasm-derived varieties alone, the estimated average additional increase in annual production reached 10.4 million metric tons from the use of exotic germplasm in the past three decades. The accumulated contributions of exotic germplasm to wheat production in China represent about 343 million metric tons (1982 to 2014), about 10% of total production",
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,39,"The annual genetic gain for grain yield of the internationally distributed Semi-Arid Wheat Yield Trials (2002-2003 to 2013-2014) under the International Wheat Improvement Network (IWIN) was assessed in 740 locations across 66 countries in low- and medium-yielding environments. The rate of Grain Yield Increase ranged from 1.8% (38.13 kilograms per hectare per year) to 1.4% (57.71 kilograms per hectare per year).",
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,40,"22.5 million people (4.5 million farming households) were reached with biofortified planting material in 2018, bringing the total number of farming households growing and thought to be consuming (awaiting studies) biofortified crops globally to 7.6 million (38 million people, based on the HarvestPlus global households reached projection model).",
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,41,"In Bangladesh, 59,151 hectares of new riverine and coastal areas were brought under improved natural resource management in the Padma and Tetulia rivers during 2018, further extending the habitat now under improved co-management measures in the country.",
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,42,"Adoption of improved water-management practices in rural Pakistan improved wheat and rice yields, household income and food security levels, and reduced poverty levels. Higher food security levels for adopting households, in the range of 3–12%, higher yields and higher household income levels, in the range of Pakistani Rupees 2,573-4,926, and 2-7% lower poverty levels.",
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,43,"Adoption of improved water-management practices in rural Pakistan improved wheat and rice yields, household income and food security levels, and reduced poverty levels. Higher food security levels for adopting households, in the range of 3–12%, higher yields and higher household income levels, in the range of Pakistani Rupees 2,573-4,926, and 2-7% lower poverty levels.",
44,1,1900-01-01 00:00:00,2200-01-01 00:00:00,50,"5 million farming households were reached with biofortified planting material in 2019, bringing the total number of farming households growing and consuming biofortified crops globally to 8.5 million (the HarvestPlus global households reached projection model is described in the related links (see link 1).","Regular M&E data collection, as well as outcome monitoring surveys are planned for 2020-2022; there is however likely to be changes in various plans given the halt in delivery and data collection activities due to the global pandemic. HarvestPlus and partners continue to monitor, evaluate and document these changes in plan"
45,1,1900-01-01 00:00:00,2200-01-01 00:00:00,51,"Approximately 95,000 farmers treated more than 120,000 hectares with Aflasafe in 2019, allowing production of maize and groundnut with safe aflatoxin levels. These estimates are described in a donor progress report (see link 1), including quantities of Aflasafe produced during 2019 (Table 1).  Those figures were used to calculate the number of farmers (1.3 ha per farmer). Large-scale use of Aflasafe contributed to improved food safety in most of the areas where crops were treated.","At least 155,000 hectares are expected to be treated with Aflasafe by 2020 (if the COVID-19 situation improves). The number of treated hectares by 2021 is expected to be considerably higher. Several 2019 achievements provide evidence that A4NH is positioned to make significant contributions to this 2021 target."
46,1,1900-01-01 00:00:00,2200-01-01 00:00:00,52,"25 million people (5 million farming households were reached with biofortified planting material in 2019, bringing the total number of farming households growing and thought to be consuming (awaiting studies) biofortified crops globally to 8.5 million (42.4 million people, based on the HarvestPlus global households reached projection model described here(see link 1) and reported in the HarvestPlus annual report here(see link 2)).","HarvestPlus' original targets were to have an estimated 10 million households growing biofortified crops in 2020, and 12 million households growing biofortified crops in 2021 - across HarvestPlus priority countries in 2020. These targets may be revised at the end of the 2019, given the halt in delivery and M&amp;E around delivery due to the global pandemic."
47,1,1900-01-01 00:00:00,2200-01-01 00:00:00,53,"In previous years, CCAFS has reported that c. 7 million people in Senegal are accessing climate-informed advisories (see link 1) as a result of CCAFS research on the full value chain of advisories (from improving climate forecasts to creative ways of getting advisories to farmers). An impact study(see link 2) in 2019 showed that 68% farmers used the advisories, leading to changes in land preparation, crop variety choice, planting dates, harvesting, and conservation decisions, with this leading to 10–25%(see link 3) increases in crop income.","Five impact studies are now underway, covering likely impacts on more
than 2 million farmers."
48,1,1900-01-01 00:00:00,2200-01-01 00:00:00,54,"Similarly, in Rwanda 111,835 farmers (see link 1) received climate information, 81% subsequently using the information to improve crop management, with income from crops increasing by 30%. In five Latin American countries, previous estimates were that 550,000 farmers were receiving climate-informed advisories (see link 2) from Local Technical Agroclimatic Committees (LTACs) (see link 3). An outcome harvesting study (see link 4) estimated that40% of them improve their production through changed practices, or the timing thereof, reporting a range of benefits.",
49,1,1900-01-01 00:00:00,2200-01-01 00:00:00,55,"Alternate wetting and drying (AWD) of rice was outscaled on 180,000 ha of rice production in Vietnam, reducing over 1 million tCO2eq/yr (see link 1), as a result of CCAFS and RICE CRP research on technical options, suitability and investment needs. Previous research and engagement from CCAFS and RICE CRP on identifying suitable AWD areas and climate risk regions enabled to implement AWD in large scale and supported Vietnam to put the appropriate policies in place. Ten development organizations and private companies have adopted AWD in rice in Vietnam.","Two impact studies are underway"
50,1,1900-01-01 00:00:00,2200-01-01 00:00:00,56,"The adoption of no-burn(see link 1), no-till agriculture using happy seeder technology in rice and wheat systems by c. 0.5 million farm households on 1.3 million hectares in north-west India contributed to increased yields, farmer profits and water and nutrient saving. Reduced burning (see link 2) resulted in less air pollution (with 5 million potential beneficiaries) and emission reductions in 2019 of c. 4 million tCO2eq.","Two impact studies are underway"
51,1,1900-01-01 00:00:00,2200-01-01 00:00:00,57,"Evidence in 2019 from partners and bilateral project investments indicates that 36,978 households have adopted improved aquaculture and fisheries practices in Bangladesh , derived from FISH research and disseminated via multiple channels.

Case 1: The study found that after one year of intervention by the """"Suchana: Ending the Cycle of Undernutrition in Bangladesh"""" project to enhance the adoption of nutrition sensitive aquaculture and fisheries approaches, more than two-third (16,869 hhs - 69%) of households have adopted improved carp-polyculture practices in Bangladesh.
Khandaker Samina Afrin. (12/1/2020). Suchana Semi-annual Survey 2019 Report (see link 1). 

Cullhaj, M. Gutierrez, A. (2020). Suchana: Ending the Cycle of Undernutrition in Bangladesh - Project brief January 2019 to December 2019. Penang, WorldFish. Project Brief (see link 2).",
52,1,1900-01-01 00:00:00,2200-01-01 00:00:00,58,"Case2: The report indicates that 12,475 fish producers (women 8,471, 15-29 years: 2,563), that received support from the USAID - Feed the Future Nutrition Activity project in Bangladesh, have applied improved pond management practices in 2019.

USAID Feed the Future Bangladesh Aquaculture and Nutrition Activity Year Two Annual Progress Report: October, 2018, – September, 2019. (see link 1)

Innocent Bikara, Andressa Gutierrez. (2020). Feed the Future Nutrition Activity Bangladesh (BANA) Project brief October 2018 - September 2019. (see link 2)

OICR - Bangladeshi fish producers adopt improved pond management practices. (see link 3)",
53,1,1900-01-01 00:00:00,2200-01-01 00:00:00,59,"Case3: The report shows that, in 2019, 4,257 Hilsa fishing households have been fully engaged in sound and sustainable Alternative Income Generating Activity (AIGAs) as a strategy to improve co-management and for building the socio-economic resilience of fishing communities.

Enhanced Coastal Fisheries in Bangladesh (ECOFISH-Bangladesh)_Annual Report Oct 2018 to Dec 2019 (see link 1)

Innocent Bikara, Andressa Gutierrez. (2020). Enhanced Coastal Fisheries in Bangladesh (ECOFISH—Bangladesh). Project brief Oct 2018- Dec 2019. (see link 2)",
54,1,1900-01-01 00:00:00,2200-01-01 00:00:00,60,"Case4: The study indicates that the ecopond intervention resulted in 3,377 households in the Khulna and Barguna districts (Bangladesh) transforming their underutilised backyard ponds to ecoponds that adopt the good ecosystem-based management approaches.
EcoPond Impact Evaluation - Preliminary report (see link 1)

The study indicates that 4,481 farm households in Egypt adopted integrated Better Management Practices (BMPs) as a consequence of the intervention promoted by the Sustainable Transformation of Egypt’s Aquaculture market System (STREAMS) project. This value represents the 65% of the total tilapia households in Egypt (statistics from the Egyptian Ministry of Fisheries estimate the overall number of tilapia fish farmers to be around 7,000. ), reflecting thus a great achievement for the country At the same time, the size of the farms - although still falling among small-scale, is quite large.

End Term Evaluation of Sustainable Transformation of Egypt’s Aquaculture market System (STREAMS) (see link 2)",
55,1,1900-01-01 00:00:00,2200-01-01 00:00:00,61,"Evidence associated with aquaculture and small-scale fisheries interventions shows that more than 145,581 people in Bangladesh have been assisted to exit poverty .

Case 1:The study indicates that 121,238 people in Bangladesh, who have adopted improved technologies and practices promoted by the """"Suchana: Ending the Cycle of Undernutrition in Bangladesh"""" project reported an increased income.

Suchana Semi-annual Survey 2019 Report. (see link 1)

Cullhaj, M. Gutierrez, A. (2020). Suchana: Ending the Cycle of Undernutrition in Bangladesh - Project brief January 2019 to December 2019. Penang, WorldFish. Project Brief. (see link 2)

OICR - A nutrition-sensitive polyculture project improves dietary diversity among women and children in North-Eastern Bangladesh (see link 3)","Contribution by 2022: Up to 3.5 million people, as indicated in the FISH proposal. "
56,1,1900-01-01 00:00:00,2200-01-01 00:00:00,62,"Evidence associated with aquaculture and small-scale fisheries interventions shows that more than 145,581 people in Bangladesh have been assisted to exit poverty .

Case 2:The study indicates that 3,377 women in Barguna Districts (Bangladesh) improved their income as a result of the adoption of the improved ecopond carp-based polycultural model promoted by WorldFish.

EcoPond Impact Evaluation - Preliminary report (see link 1)","Contribution by 2022: Up to 3.5 million people, as indicated in the FISH proposal. "
57,1,1900-01-01 00:00:00,2200-01-01 00:00:00,63,"Evidence associated with aquaculture and small-scale fisheries interventions shows that more than 145,581 people in Bangladesh have been assisted to exit poverty .

Case 3: The report shows that, in 2019, 20,966 people (55% men and 45% women) in fishing communities in Bangladesh have increased their economic benefits as a result of the adoption of improved co-management strategies in coastal waters enabled by the USAID funded project """"Enhanced Coastal Fisheries II in (Bangladesh).

Enhanced Coastal Fisheries in Bangladesh (ECOFISH-Bangladesh)_Annual Report Oct 2018 to Dec 2019 (see link 1)

Innocent Bikara, Andressa Gutierrez. (2020). Enhanced Coastal Fisheries in Bangladesh (ECOFISH—Bangladesh). Project brief Oct 2018- Dec 2019. (see link 2)

OICR - Community Savings Schemes Financially Empower Coastal Fisher Women in Bangladesh (see link 3)

OICR - Hilsa Production and Fishers’ Income Increased due to ECOFISH Interventions (see link 4)","Contribution by 2022: Up to 3.5 million people, as indicated in the FISH proposal. "
58,1,1900-01-01 00:00:00,2200-01-01 00:00:00,64,"Evidence associated with aquaculture and small-scale fisheries interventions shows that more than 12,742 people in Myanmar have been assisted to exit poverty.

Case 1:The report indicates that, in 2019, 2,721 direct beneficiaries (and 4,289 indirect) in Myanmar were assisted to exit poverty through extension services, pond rehabilitation and construction enabled by the GIZ funded project """"Improving the Production, Nutrition and Market Values of Small-Scale Aquaculture in Myanmar’s Shan State and Sagaing Region"""" (INLAND MYSAP).

MYSAP Inland, Myanmar Sustainable Aquaculture Programme Fifth Progress Report, April - Sept 2019. Myanmar: WorldFish. Donor Report. (see link 1)

Cullhaj, M. Gutierrez, A. (2020). Improving the production, nutrition and market values of small-scale aquaculture in Myanmar's Shan State and Sagaing Region. Penang, Malaysia: WorldFish. Project Brief. (see link 2)

OICR - Dissemination of nutrition-sensitive aquaculture technologies and practices generate income and nutrition benefits for small-scale farmers in some of the Myanmar's poorest areas  (see link 3)","Contribution by 2022: Up to 3.5 million people, as indicated in the FISH proposal. "
59,1,1900-01-01 00:00:00,2200-01-01 00:00:00,65,"Evidence associated with aquaculture and small-scale fisheries interventions shows that more than 12,742 people in Myanmar have been assisted to exit poverty.

Case 2: The report indicates that, in 2019, 10,021 producer beneficiaries in Myanmar reported at least an increase of 10% in aquculutre production and incomes thanks to the intervention promoted by the Livelihoods and Food Security Fund (LIFT) funded project MYCulture (Promoting Sustainable Growth of Aquaculture in Myanmar to Improve Food Security and Income for Communities in the Ayeyarwady Delta and Central Dry Zone).

MYCulture: Promoting Sustainable Growth of Aquaculture in Myanmar to Improve Food Security and Income for Communities in the Ayeyarwady Delta and Central Dry Zone (see link 1)

Megi Cullhaj. (2020). Promoting sustainable growth of aquaculture in Myanmar to improve food security and income for communities in the Ayeyarwady Delta and Central Dry Zone (MYCulture). Project Brief Final Report 2015 -2019. (see link 2)

OICR - Emergent aquaculture technologies in Myanmar: opportunities and key outcomes. (see link 3)

The report shows that, in 2019, 108,923 individuals in Cambodia improved their livelihoods as a result of the project-supported community fish refuge approach promoted by the USAID funded project """"Feed the Future Cambodia - Rice Field Fisheries Phase II"""".

Semi-Annual Report # 7 Feed the Future Cambodia-Rice Field Fisheries II project (RFF-II). April to September 2019  (see link 4)

Cullhaj, M. Gutierrez, A. (2020). Feed the Future Cambodia Rice Field Fisheries (RFF II). Project brief April - October 2019. Penang, Malaysia: WorldFish. Project Brief (see link 5).","Contribution by 2022: Up to 3.5 million people, as indicated in the FISH proposal. "
60,1,1900-01-01 00:00:00,2200-01-01 00:00:00,66,"Evidence associated with aquaculture and small-scale fisheries interventions shows that more than 27,571 people in Egypthave been assisted to exit poverty .


Case 1: The study shows that 26,032 people were assisted to exit poverty in Egypt thanks to the farm income generation activities and jobs created through aquaculture and value chain interventions promoted by the Sustainable Transformation of Egypt’s Aquaculture market System (STREAMS) project funded by the Swiss Agency for Development and Cooperation (SDC).


End Term Evaluation of Sustainable Transformation of Egypt’s Aquaculture market System (STREAMS) (see link 1)","Contribution by 2022: Up to 3.5 million people, as indicated in the FISH proposal. "
61,1,1900-01-01 00:00:00,2200-01-01 00:00:00,67,"Evidence associated with aquaculture and small-scale fisheries interventions shows that more than 27,571 people in Egypthave been assisted to exit poverty .

Case2: The study indicates that 1,539 farmers and fish retailers gained profit through rehabilitation of ponds and jobs created by the Youth Employment in Aswan Governorate; Extension of fisheries and aquaculture interventions (YEAG) project funded by the Swiss Agency for Development and Cooperation (SDC).


End-term Project Result Assessment and Evaluation of the YEAG Project: Evaluation Report 2019 (see link 1)","Contribution by 2022: Up to 3.5 million people, as indicated in the FISH proposal. "
62,1,1900-01-01 00:00:00,2200-01-01 00:00:00,68,"The report shows that in 2019, 124,876 people in Cambodia consumed more fish at home following behavior change interventions associated with enhanced rice field fish productivity promoted by the USAID funded project """"Feed the Future Cambodia - Rice Field Fisheries Phase II"""". Of these at least 56,194 are estimated to have met a diet of minimum diversity.

Semi-Annual Report # 7 Feed the Future Cambodia-Rice Field Fisheries II project (RFF-II). April to September 2019 (see link 1)

Cullhaj, M. Gutierrez, A. (2020). Feed the Future Cambodia Rice Field Fisheries (RFF II). Project brief April - October 2019. Penang, Malaysia: WorldFish. Project Brief. (see link 2)

OICR - How rice field fisheries are netting nutrition gains in Cambodia (see link 3)

Vilain, C.; Baran, E. (2016). Nutritional and health value of fish: the case of Cambodia. Inland Fisheries Research and Development Institute (Fisheries Administration) and WorldFish. Phnom Penh, Cambodia (see link 4)","Contribution by 2022: Up to 2.4 million ha, as indicated in the FISH proposal."
