pk_id_oics,version,date_from,date_to,id_oics,"title_oics",id_project,"title_project","scope_comments","outcome_impact_statement","gender_relev","youth_relev","capdev_relev","pdf","climate_relev","pk"
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2099,"Scaling up climate information services in LAM, engaging over 200 institutions in four countries, realising benefits for at least 100,000 farmers",58,"Putting climate into extension services: Climate-Site-Specific Management Systems (CSMS) for grounding climate smart agriculture to farm rice systems",,"The CCAFS LTACs were scaled out to additional countries; capacity of 10 farmer organizations for agro-climatic prediction and climate-site-specific agronomy analysis was strengthened; and productivity of more than 100,000 farmers was increased. Capacity development and gender were significant objectives. Capacity was developed within LTACs and farmer organizations in four countries, and training was provided to at least 100 technicians. Emphasis was placed on the inclusion of marginalized groups including women and youth. ","0 - Not Targeted","0 - Not Targeted","1 - Significant",,,"2099_11"
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2103,"Scaling out Solar Pump Irrigators’ Cooperate Enterprise (SPICE) model in India",259,"[Regional Program Leader] SA: Scaling up/out Climate-Smart Agriculture Technologies, Practices and Services across South Asia",,"The SPICE model was tested and evaluated in the states of Gujarat and Bihar in India by IWMI in collaboration with Tata Trust. It is being scaled out by the Government of India through a USD 21.5 billion scheme to implement solarization of farm irrigation. As per the scheme, the Ministry of New and Renewable Energy (MNRE) plans to provide 2.75 million solar pumps to individual farmers and/or farmers’ cooperatives across India.","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2103_11"
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2108,"Livestock Master Plan guides public and private investments in Ethiopia to lift more than 2 million households out of poverty",740,"Activity 5.1.3 Policy Identification and generation","A similar process has started in Tanzania, Rwanda and Bihar (India)","Livestock researchers and partners used their modelling expertise to provide a guide for public and private investments in Ethiopia, with the objective of reducing poverty; achieving food and nutritional security; contributing to economic growth, exports and foreign exchange earnings; and contributing to climate mitigation and adaptation. This roadmap, or master plan, was then used by various actors including the World Bank to shape their investments, which will ultimately impact more than 2.3 million of Ethiopia’s 11 million livestock-keeping households. The CGIAR contribution was recognized by an honorary award from the government.","0 - Not Targeted","0 - Not Targeted","1 - Significant",,,"2108_15"
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2110,"Creating and supporting opportunities for small- and medium-sized enterprises in the pork value chain in Uganda",607,"Activity 2.2.1 Development and evaluation of herd health packages","Trainings through our SMEs have expanded to Kenya, Nigeria and Tanzania.","The Livestock CRP generated evidence on gaps and opportunities in the pork value chain through assessments leading to intervention tests, at both farm and market levels. The work, started under Livestock & Fish, also established multi-stakeholder platforms, providing business and networking opportunities and agribusiness linkages to emerging small- and medium-sized enterprises run by farmers and young entrepreneurs. This capacity development has expanded their horizons and provided business opportunities in training, selling feeds, providing pig artificial insemination services and trading in pork","0 - Not Targeted","1 - Significant","1 - Significant",,,"2110_15"
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2114,"Bundling of animal health services increases access to quality services to more than 90% of pastoralists ",616,"Activity 2.4.1 Animal Health Service provision",,"Access to animal health services is one of the most important factors in improving livestock productivity. We piloted bundling of additional services by public and private sectors during vaccination campaigns. In two counties in Kenya, Garissa and Marsabit, it is now routine for the government to invite private sector actors to provide additional services while the government provides vaccinations. This has saved the government money, increased business opportunities for the private sector, and provided quality services to pastoralists at affordable prices.","0 - Not Targeted","1 - Significant","0 - Not Targeted",,,"2114_15"
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2115,"World Food Programme uses mobile-based monitoring tools to guide programming in three countries, affecting up to 2.6 m persons",56,"(GLO-EA-WA- ICRAF) Partnerships for scaling climate-smart agriculture (P4S-CSA)","Initial countries are Niger, Afghanistan and DRC but WFP is looking to scale the innovation globally.","ICRAF, with WFP, used voice-calls over mobile phones to collect nutrition information from women and mothers. The immediate user of this innovation is the WFP's Vulnerability, Assessment and Mapping Unit, which provides technical support across WFP and helps monitor and trigger responses. Based on the research and engagement, WFP is piloting this innovation in three countries (Niger, Afghanistan and DRC), where they serve 2.6 million beneficiaries. Gender was a principal objective, and two indicators (Minimum Dietary Diversity forWomen and Minimum Adequate Diet) both specifically targeted programming for women and children","2 - Principal","0 - Not Targeted","0 - Not Targeted",,,"2115_11"
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2118,"The Kenya Livestock Insurance Program (KLIP) improved drought mitigation and enhanced food security for over 20,000 pastoralist households in 2017.",574,"Activity 4.3.2 Policy advice on environmental issues",,"KLIP, a government of Kenya funded drought insurance program, paid out KES494 million to 22,000 vulnerable pastoralist households in 2017 alone. These pay-outs ensured that farmers could buy their own food as well as fodder, drugs and water for their livestock during periods of drought. Covering eight counties in Kenya, the program has enabled the beneficiaries to keep their animals alive after the failure of the short and long rains in 2016 and 2017.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2118_15"
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2119,"Implementing the plant genetic resources treaty in Bhutan, Burkina Faso, Costa Rica, Côte d’Ivoire, Guatemala, Nepal, Rwanda and Uganda",66,"Global policy support for biologically diverse, climate resilient agriculture","Other countries that benefitted from the experiences in the eight GRPI project countries listed above include Benin, India, Madagascar, Malaysia, Zambia, Zimbabwe.","Governments in eight countries developed policies/laws, and introduced these into nationalpolicy processes to create policy/legal space for effective implementation of ITPGRFA.Capacity development was a significant objective, and country teams from all eight countries were trained in policy analysis, strategy development, documentation, and implementation.","0 - Not Targeted","0 - Not Targeted","1 - Significant",,,"2119_11"
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2144,"Rwanda’s national agricultural extension service facilitates 75,000 Rwandan farmers to access, understand and use climate services through participatory processes",363,"Climate Services for Agriculture: Empowering Farmers to Manage Risk and Adapt to a Changing Climate in Rwanda",,"The Rwanda Climate Services for Agriculture project supported the Twigire Muhinzi agricultural extension service to scale up the PICSA process in 20 of Rwanda’s 30 districts. One thousand trained government staff and volunteer Farmer Promoters trained and facilitated 75,000 Rwandan farmers to understand climate information and incorporate it into their decision making. Initial M&E results show that over 85% of participating farmers change their farm or livelihood management in response, and share the information with peers. Gender was a principal objective: efforts focused on building capacity to understand climate service needs of women farmers, and deliver services that meet their needs effectively.","2 - Principal","0 - Not Targeted","1 - Significant",,,"2144_11"
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2163,"Cauca leads climate smartness for agriculture in Colombia",262,"[Regional Program Leader] LAM: Local to National/Regional synthesis, research and engagement","The Cauca CSV in Colombia is now known in other countries (Caribbean countries, Honduras, Chile, Costa Rica, Nicaragua, El Salvador, Guatemala) through the south-south exchanges that have been carried out. ","Municipal and state authorities in Cauca are promoting and investing in CSA practices aiming to reach approximately 150,000 farmers, as a result of the implementation of the CSV approach, using evidence generation and local empowerment. Inputs were provided to the Rural Women’s Policy of Cauca and two national policies (on education and environment) through the establishment of the Rural Node of Youth for the Environment. Capacity development effort focused on communities through Field Farmers Schools for Adaptation.","1 - Significant","1 - Significant","1 - Significant",,,"2163_11"
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2171,"The evaluation of Egypt’s cash transfers program contributed to the decision to continue the program and influenced approaches to targeting.",688,"4.1.2 Improving Design and Delivery of Social protection for Nutrition and Other Outcomes",,"The research findings contributed to the policy dialogue about the Takaful and Karama program between the Ministry of Social Solidarity (MOSS), the Ministry of Finance, the President’s office, and The World Bank. The Government of Egypt and The World Bank decided to continue to fund the program, and staff from the MOSS indicated that the study’s findings would be used to improve targeting.","2 - Principal","0 - Not Targeted","0 - Not Targeted",,,"2171_12"
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2180,"Use of citizen science approach for variety trials increases access/ availability of adapted seeds for 1.3 million Ethiopian farmers",43,"(SA-BIOVERSITY) Outscaling a citizen science approach to test climate adaptation options on farms",,"A crowd-sourced, citizen science approach (“tricot method”) for variety trials is a cost-effective way to test, at scale, new climate-stress tolerant and nutritious crop varieties. Around 6,000 farmers and 60 farmer training centers were trained in trial formats and these farmers subsequently undertook field trials and shared seeds with others to create seed demand. ISSD-Ethiopia adopted the method and distributed seed to an estimated 1.3 million farmers. More than half of farmers directly reached by trials were women.","1 - Significant","0 - Not Targeted","1 - Significant",,,"2180_11"
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2189,"PIM’s research contributes to new investments by Agricultural Mechanization Services Enterprise Centers to meet needs of smallholders in Ghana.",665,"2.1.2 Mechanization and Policies for Labor Saving Technology",,"Based on research findings, tractor spare parts and attachments are now imported into Ghana, and tractor buyers are now trained on the proper use of tractors. This new investment by the Agricultural Mechanization Services Enterprise Centers addresses the difficulties of access to mechanization services previously encountered by smallholders and evidenced by the research findings.","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2189_12"
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2191,"PIM’s research informs Nepal’s federal transition on the devolution of the agricultural sector.",672,"2.3.2 Public Sector Reforms to Improve Agricultural Policy Processes",,"A study requested by Nepal’s Ministry of Agricultural Development (MoAD) analyzed devolution concerns in Nepal and experiences elsewhere. Through repeated engagement with high-level policy makers, MoAD adopted some of the study’s suggestions on food technology and quality control and on the structure of agricultural training centers. Moreover, MoAD accepted Kenya as a model for devolution and undertook a study tour there.","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2191_12"
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2193,"Policy makers, development agencies, and academics use PIM’s research on structural transformation to develop their strategies.",666,"2.1.3 Rural Entrepreneurship and Nonfarm Business Promotion",,"Research on structural transformation has had a significant global influence with policy makers, development agencies and academics. PIM’s work has appeared in a DFID Economic Development Strategy, in AGRA’s 2017 Africa Agriculture Status Report, in a series of UNECA country profiles, and in the Economist and Monthly Digest of the National Bureau of Economic Research. At the request of DFID, the work was assessed by ODI, and was found to have had significant policy impact.","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2193_12"
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2198,"PIM’s research contributes to more inclusive and integrated insurance and safety net programs in Ethiopia.",688,"4.1.2 Improving Design and Delivery of Social protection for Nutrition and Other Outcomes","N/A","Research conducted under the Ethiopia Strategy Support Program found that many Productive Safety Net Program (PSNP) beneficiaries were not enrolled in the Community Based Health Insurance (CBHI), and that beneficiaries that were enrolled in the CBHI did not receive a premium waiver. The Ethiopian Government and development agencies used these findings to move toward the development of more inclusive and integrated programs around the PSNP and CBHI.","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2198_12"
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2199,"PIM’s research informs trade negotiations between the European Union and two African Regional Economic Communities.",695,"3.1.1 Impact of Agricultural Policies and Incentives along the Value Chains",,"PIM’s modeling capacity was mobilized by the European Commission to provide independent quantifications of the partnership agreements. The research outputs have been at the center of the official impact assessment to inform policy makers. The current policy outcomes are consistent with the results provided. ","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2199_12"
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2203,"The Collaborating for Resilience approach is used by International Land Coalition’s National Engagement Strategies in 5 countries to build effective coalitions of civil society and government agencies for pro-poor land governance.",662,"5.2.1 Governing Shared Landscapes",,"The Collaborating for Resilience approach provides a structured framework for understanding stakeholder interactions and organizing for social and institutional change. International Land Coalition is applying this framework to increase the effectiveness of their National Engagement Strategies, which are coalitions of civil society and government agencies for pro-poor land governance.","0 - Not Targeted","0 - Not Targeted","2 - Principal",,,"2203_12"
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2204,"Ethiopia adopts WLE research findings to improve the returns on its massive investments in soil and water management",598,"Synthesis of land restoration successes and failures with a special focus on Ethiopia",,"WLE research fed the development of Sri Lankan government’s sanitation policy, including septage management in the policy, and incorporating options for recycling and reuse of septage into safe organic fertilizer.","0 - Not Targeted","0 - Not Targeted","1 - Significant",,,"2204_13"
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2205,"Evidence-based soils agronomy for raising crop production in Africa",432,"Land Restoration Planning and Performance Management","The speed and low cost of light-based soil-plant diagnostic tools allow soil and plant analysis to be applied and assessed at national scale (Continent level mapping in 14 African countries). ","Suite of innovative rapid and low-cost decision-support tools for soil and plant analysis, using spectral diagnostic techiques and datasets produced through the Africa Soil Information Service (AfSIS) with strong WLE support, has been used by governments and investors in 14 countries to make more effective decisions on soil management and soil enhancement","0 - Not Targeted","0 - Not Targeted","1 - Significant",,,"2205_13"
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2206,"Sri Lankan sanitation policy adopts recycling of septage for reuse as fertilizer",442,"Support of RRR business development, implementation and scaling-up","As the results from IWMI's research on recycling and reuse of human waste is leading to an increase in requests for assistance from more countries.","In 2017, the Ethiopian Prime Minister approved a policy to make all agricultural water technologies tax exempt. Ethiopia also adopted a new Soils Strategy to target soil fertility management interventions in various landscape niches; and the Sustainable Land Management Program (SLMP) began adopting new techniques to target interventions at different landscape levels following community-led processes. These outcomes are a direct result of WLE research, capacity strengthening and policy engagement in Ethiopia.","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2206_13"
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2207,"Stakeholders use A4NH evidence from program evaluations to inform decisions that guide and support nutrition-sensitive programming and policies in Ethiopia  ",349,"Engagement with key stakeholders in design, implementation and evaluation of nutrition-sensitive agricultural policies",,"Policymakers in Ethiopia, informed by evidence from Transform Nutrition, a program funded by DFID and A4NH, were guided to redesign the Productive Safety Net Programme with the inclusion of specific nutrition elements to increase the potential for this program to improve maternal and child nutrition.","1 - Significant","0 - Not Targeted","0 - Not Targeted",,,"2207_14"
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2210,"Donors use evidence to inform their investment strategies that guide and support nutrition-sensitive programming and policies in West Africa",347,"Evidence on enabling environments, effective decision making processes and impacts of nutrition-sensitive agricultural policies","Burkina Faso, Ghana, Nigeria, and Senegal  are focal countries for Transform Nutrition - West Africa","Recognizing the wide influence of Transform Nutrition, the Bill & Melinda Gates Foundation invested $4 million to launch the three-and-a-half-year Transform Nutrition West Africa initiative for nutrition knowledge generation and mobilization across the region","0 - Not Targeted","0 - Not Targeted","2 - Principal",,,"2210_14"
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2211,"Global nutrition leaders have applied learning from the Transforming Nutrition course in their work as program practitioners and policy makers",352,"Capacity strengthening and leadership development for nutrition-sensitive agricultural policy and programming","It is likely outcomes have occurred and will continue to occur in more countries and at regional and global levels where participants have influence in program, policy, and funding decisions. ","Participants in the innovative ‘Transforming Nutrition: Ideas, Policies and Outcomes’ course have applied the knowledge and evidence they gained from the course to specific national and sub-national situations in their home countries to identify strategic areas for nutrition action. The curriculum, designed and taught by the Institute for Development Studies (IDS) and researchers from IFPRI incorporates evidence from, among others, CGIAR research and engagement around both nutrition-sensitive and nutrition-specific actions. ","0 - Not Targeted","0 - Not Targeted","2 - Principal",,,"2211_14"
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2213,"BAMTAARE SA, the first private company licensed to manufacture and distribute Aflasafe SN01 for benefiting Senegal and The Gambia",342,"Technological and institutional innovations for assessing and mitigating food safety risks related to aflatoxins designed and tested, including capacity building",,"A4NH researchers at IITA developed Aflasafe SN01, an aflatoxin biocontol product for use in Senegal and The Gambia, in collaboration with USDA-ARS, and other research and development partners. IITA signed a Technology Transfer and Licensing Agreement with BAMTAARE SA for benefiting groundnut and maize value chains. This is the first license to manufacture and distribute an Aflasafe product granted to a private company in Africa. The agreement contemplates full ownership, operation, and management by BAMTAARE and technical support from IITA.","1 - Significant","0 - Not Targeted","2 - Principal",,,"2213_14"
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2214,"Evidence from Rwanda showed that consumption of iron biofortified beans had a positive effect on cognitive performance of young women ",336,"Evidence on nutritional efficacy and program cost-effectiveness","Even though the study was conducted in Rwanda, the results would hold for any population for whom beans is a staple crop and who suffer from iron deficiency ","Published evidence on the nutritional impact of iron-biofortified crops offers a road map for policymakers to consider. Within the context of an RCT in Rwanda, one group of female college students consumed iron biofortified beans and another group consumed conventional beans. Results showed that the consumption of iron biofortified beans positively affected the cognitive performance of the young women in the treatment group. Iron biofortified beans were developed in close collaboration between HarvestPlus, CIAT and the Rwanda Agricultural Board. ","1 - Significant","0 - Not Targeted","0 - Not Targeted",,,"2214_14"
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2215,"Use of A4NH evidence led to improved risk assessment and risk communication benefitting up to 94 million consumers in Vietnam",340,"Technological and institutional innovations for assessing, communicating and mitigating food safety risks designed and tested, with capacity building (Product Lines)","We have been successful in obtaining a $100,000 grant from USAID to extend to Cambodia and are exploring extending to Bangladesh and Myanmar. 
","Vietnam’s food systems are rapidly evolving. Food safety is a high priority for consumers and the government. A4NH scientists contributed to a range of initiatives which have supported a shift in food safety policy and implementation. One of the most effective initiatives was the National Food Safety Risk Assessment Taskforce. Based on a recent assessment report, requested by the government and contributed by the Taskforce and partners, the government committed to implementing measures to improve food safety in the country. ","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2215_14"
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2216,"Use of Rift Valley fever decision support tools led to improved interventions benefitting an estimated 3.1 million smallholders in Kenya",356,"Portfolio of validated methods for alternative surveillance and control options of animal and human disease, particularly in higher-risk areas","Tanzania and Uganda, also vulnerable to RVF, have experienced epidemics in the recent past. They are considering risk-based intervention measures to minimize animal and human health impacts during outbreaks. ","ILRI developed and disseminated refined risk maps and a decision support framework for guiding decision-making processes in the prevention and control of Rift Valley fever (RVF). The Department of Veterinary Services in Kenya incorporated these tools into their national RVF contingency plan and also used them to implement risk-based RVF interventions. Improved control of RVF in animals would limit human infections and hence safeguard health and wellbeing of the local communities in 22 counties with high RVF risk in Kenya. ","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2216_14"
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2217,"Knowledge of brucellosis epidemiology to support the development of a national brucellosis strategy to support 45 million Kenyans",356,"Portfolio of validated methods for alternative surveillance and control options of animal and human disease, particularly in higher-risk areas","Ethiopia, Tanzania and Uganda will draw on the Kenyan example in developing their own strategic approach to brucellosis control.","After years of advocacy and integrated field research by CGIAR and other partners, the Government of Kenya prioritized brucellosis as a neglected zoonoses for government attention and a draft National Strategy for Brucellosis was recently finalized. With a national strategy, new combined health and livestock sector policies for brucellosis surveillance and control can be implemented by government administrations, public and private sector hospitals, and NGOs. The result will be better patient management and reduced use of tertiary antibiotics.","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2217_14"
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2218,"Analysis and collaboration lays the foundation for food system improvements in Ethiopia ",328,"Methods, metrics and tools for assessing and analyzing diet-food system linkages",,"The first step toward identifying ways to improve something is to understand the situation as it currently exists. Guided by this premise, A4NH researchers embarked on an in-depth analysis of food systems in four countries. The first, Ethiopia, served as a case study to refine methods and information sharing. Researchers are building strong partnerships with local stakeholders, laying the foundation for future collaboration that will lead to systemwide improvements that have real impacts for consumers throughout these countries.","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2218_14"
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2219,"Stakeholders use A4NH evidence from program evaluations to inform decisions that guide and support nutrition-sensitive programming in Bangladesh ",349,"Engagement with key stakeholders in design, implementation and evaluation of nutrition-sensitive agricultural policies",,"Numerous stakeholders – donors, investors, UN agencies, and government ministries – used findings from an IFPRI-led pilot study, the Transfer Modality Research Initiative (TMRI) on integrating across sectors and the role of nutrition behavior change communication (BCC) - to inform the design of nutrition, poverty alleviation, and social protection programs and plans in Bangladesh. ","2 - Principal","0 - Not Targeted","0 - Not Targeted",,,"2219_14"
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2220,"Policymakers use A4NH evidence to inform decisions that guide and support nutrition-sensitive strategies in Bangladesh  ",349,"Engagement with key stakeholders in design, implementation and evaluation of nutrition-sensitive agricultural policies",,"Policymakers in Bangladesh drew on evidence from the Transform Nutrition research program consortium (2011-2017), as well as an assessment of the National Nutrition Service (NNS), to inform the nutrition section of the National Five-Year plan in 2015. This plan is the framework for policy decisions made by the Government of Bangladesh. Since the National Nutrition Service assessment was completed, the Government of Bangladesh have implemented recommendations to strengthen frontline delivery through District Nutrition Officers, with support from UNICEF. ","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2220_14"
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2221,"Building a theoretical basis and public support for nutrition sensitive value chains ",328,"Methods, metrics and tools for assessing and analyzing diet-food system linkages","Scope is both global in nature and multinational - Malawi, Indonesia, and Nigeria. Work is ongoing in both Malawi and Burkina Faso.  ","In Phase I of A4NH, A4NH researchers and partners developed a framework for considering how and whether to invest in nutrition-sensitive value chains. Since then, the conceptual framework has been endorsed by the Global Forum on Food Security and Nutrition and used as basis for their policy document on nutrition sensitive value chains, adapted by several Rome-based agencies and applied within country-specific value chain programs, and embedded in several completed and ongoing evaluations.  ","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2221_14"
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2222,"Multi-sectoral policy platform used effectively to promote best practices and pilot programs around biodiversity in Kenya",331,"Policy process analysis and policy engagement","Busia county, Kenya

Potential for impact in other counties in Kenya and Ethiopia, Uganda and Tanzania","Innovative multi-sectoral policy platforms bring together the environment, agriculture and health sectors, in some countries, for the first time. In Kenya, a multi-disciplinary team of farmer organizations, non-governmental organizations, and national and international government agencies have successfully promoted best practices and pilot programs around biodiversity in Kenya. More specifically, they have helped revive interest in nutritious African leafy vegetables by piloting a food procurement model approach between local producers and schools and health clinics. ","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2222_14"
