pk_id_milestone,version,date_from,date_to,"pk","milestone_id","milestone_title",milestone_year,"outcome_description",outcome_target_year
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16692_60","16692","Tools developed for increasing productivity while reducing feed and labor costs, considering gender-responsiveness and scalability for 1 priority country (Ethiopia) and 2 further countries (India, Malawi)",2018,"Outcome 3.5 - National and international development partners, government agencies and extension services, the private sector and community-based organisations in 3 priority countries are using CRP-related research outputs for better utilization of existing and novel feed and forage resources. This will be through (a) scalable processing technologies, (b) management strategies to conserve and rehabilitate rangelands and (c) diet formulation that increases productivity while reducing overall feed and forage costs and environment impacts.",2022
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16702_60","16702","2 off-farm feed processing options delivered and 1 agronomic rangeland practice developed in 1 priority country (Ethiopia) and 3 further countries (India, Malawi, Afghanistan)",2018,"Outcome 3.6 - Livestock producers in 3 priority countries: apply management strategies to conserve and rehabilitate rangelands and pastures while ensuring ongoing ability to produce, preserve and store feed biomass and use diets that increase productivity while reducing overall feed and forage costs and environmental impacts (with the environment and livelihoods flagships).",2022
44,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16714_60","16714","6 feed/seed business approaches developed in at least 3 countries (Tunisia, Kenya, Colombia/Nicaragua).",2018,"Outcome 3.8 - Increased delivery and uptake of feed and forage resources through proof-of-concept scaling, business model development and value-chain approaches by development partners, the private sector (feed and forage traders, feed processors) and (1 million by 2022) farmers across diverse environments in priority countries and other locations in Latin America, North and East Africa and South and Southeast Asia.",2022
45,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16715_60","16715","At least 4 different extension approaches for feed and forages implemented in 5 countries (Tunisia, Kenya, Rwanda, Tanzania, Ethiopia).",2018,"Outcome 3.8 - Increased delivery and uptake of feed and forage resources through proof-of-concept scaling, business model development and value-chain approaches by development partners, the private sector (feed and forage traders, feed processors) and (1 million by 2022) farmers across diverse environments in priority countries and other locations in Latin America, North and East Africa and South and Southeast Asia.",2022
46,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16716_60","16716","Exchange with Innovation Platforms, Roundtables and private sector around feed, forage and processing technologies consolidated in at least 3 countries (Tunisia, Kenya, Colombia).",2018,"Outcome 3.8 - Increased delivery and uptake of feed and forage resources through proof-of-concept scaling, business model development and value-chain approaches by development partners, the private sector (feed and forage traders, feed processors) and (1 million by 2022) farmers across diverse environments in priority countries and other locations in Latin America, North and East Africa and South and Southeast Asia.",2022
47,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16742_60","16742","Research and development partners, decision makers and input suppliers use at least 2 tools designed or promoted by the CRP (e.g. Legume CHOICE) for regional and national feed supply and demand scenarios in 2 priority countries (Vietnam, Ethiopia) by December 2018.",2018,"Outcome 3.1 - Local, national and international research and development partners, the private sector, decision-makers and livestock producers are able to diagnose feed constraints and opportunities and to effectively prioritize and target feed and forage interventions, resulting in: a 10% improvement in utilization of feeds and forages, a 20% increase in animal production using improved feed and forage technologies, a 10% accuracy increase for biomass and quality estimation and at least 250,000 annual visitors to global databases, repositories, interactive tools and maps and the Tropical Grasslands/Forrajes Tropicales journal website.",2022
48,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16753_60","16753","1 Urochloa hybrid commercialized by the private sector in at least 1 country and already available forage hybrids scaled with private sector partner in at least 15 countries on 100,000 hectares by the end of 2018.",2018,"Outcome 3.3 - National and international research and development partners and the private sector are using CRP developed forage and rangeland resources (with enhanced traits), in 30 countries and reaching producers who plant over 2 million ha, to increase the rate of genetic gain and exploit the genetic diversity of forages and rangeland species to enhance stress-tolerance, biomass productivity and nutritive value.",2022
49,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16754_60","16754","3 forage ontologies established and accessible (through reports and publications) to research partners and the private sector to advance selection and breeding of forages.",2018,"Outcome 3.3 - National and international research and development partners and the private sector are using CRP developed forage and rangeland resources (with enhanced traits), in 30 countries and reaching producers who plant over 2 million ha, to increase the rate of genetic gain and exploit the genetic diversity of forages and rangeland species to enhance stress-tolerance, biomass productivity and nutritive value.",2022
50,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16772_60","16772","At least 2 tools developed for increasing productivity while reducing feed and labor costs, considering gender-responsiveness and scalability for 1 priority country (Ethiopia) and 2 further countries (India, Malawi) by December 2018.",2018,"Outcome 3.5 - National and international development partners, government agencies and extension services, the private sector and community-based organisations in 3 priority countries are using CRP-related research outputs for better utilization of existing and novel feed and forage resources. This will be through (a) scalable processing technologies, (b) management strategies to conserve and rehabilitate rangelands and (c) diet formulation that increases productivity while reducing overall feed and forage costs and environment impacts.",2022
51,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16782_60","16782","2 off-farm feed processing options delivered (tested and farmers and NARS staff trained in their use) and 1 agronomic rangeland practice developed in 1 priority country (Ethiopia) and 3 further countries (India, Malawi, Afghanistan) by December 2018.",2018,"Outcome 3.6 - Livestock producers in 3 priority countries: apply management strategies to conserve and rehabilitate rangelands and pastures while ensuring ongoing ability to produce, preserve and store feed biomass and use diets that increase productivity while reducing overall feed and forage costs and environmental impacts (with the environment and livelihoods flagships).",2022
52,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16794_60","16794","6 feed/seed business approaches developed in at least 3 countries (Tunisia, Kenya, Colombia/Nicaragua) by end of 2018.",2018,"Outcome 3.8 - Increased delivery and uptake of feed and forage resources through proof-of-concept scaling, business model development and value-chain approaches by development partners, the private sector (feed and forage traders, feed processors) and (1 million by 2022) farmers across diverse environments in priority countries and other locations in Latin America, North and East Africa and South and Southeast Asia.",2022
53,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16795_60","16795","At least 4 different extension approaches for feed and forages implemented in 5 countries (Tunisia, Kenya, Rwanda, Tanzania, Ethiopia).",2018,"Outcome 3.8 - Increased delivery and uptake of feed and forage resources through proof-of-concept scaling, business model development and value-chain approaches by development partners, the private sector (feed and forage traders, feed processors) and (1 million by 2022) farmers across diverse environments in priority countries and other locations in Latin America, North and East Africa and South and Southeast Asia.",2022
54,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16796_60","16796","Exchange with Innovation Platforms, Roundtables and private sector around feed, forage and processing technologies consolidated (e.g. through meetings, workshops, fairs, information events) in at least 3 countries (Tunisia, Kenya, Colombia) by the end of 2018.",2018,"Outcome 3.8 - Increased delivery and uptake of feed and forage resources through proof-of-concept scaling, business model development and value-chain approaches by development partners, the private sector (feed and forage traders, feed processors) and (1 million by 2022) farmers across diverse environments in priority countries and other locations in Latin America, North and East Africa and South and Southeast Asia.",2022
55,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16823_60","16823","A gender-sensitive assessment tool for identifying disease priorities in CRP sites available in the public domain by the end of 2018.",2018,"Outcome 2.1
Assessment tools for significance of animal diseases and risk maps for emergence of animal diseases are used by 100 local and national and 50 international research partners and donors to prioritise research and development interventions to reduce livestock disease risks for livestock keepers.",2022
56,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16824_60","16824","2 epidemiological risk models (pig and small ruminant disease) developed, and modelling framework for assessment of PPR control and eradication defined, by end of 2018.",2018,"Outcome 2.1
Assessment tools for significance of animal diseases and risk maps for emergence of animal diseases are used by 100 local and national and 50 international research partners and donors to prioritise research and development interventions to reduce livestock disease risks for livestock keepers.",2022
57,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16842_60","16842","Tool to determine herd health packages for the pig value chain in Uganda developed by the end of 2018.",2018,"Outcome 2.2
Context specific herd health management packages adopted by farmers, extension and animal health workers in priority countries and other locations.",2022
58,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16852_60","16852","Availability and use of antimicrobials and Knowledge, Attitudes and Practices regarding AMR recorded among smallholders in the small ruminant (Ethiopia) and pig (Vietnam and Uganda) value chains by September 2018.",2018,"Outcome 2.3
Livestock keepers have necessary knowledge of AMR and antiparasitic resistance (APR) to change their practices accordingly, piloted in two priority countries.",2022
59,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16863_60","16863","Two novel delivery models of animal health services and products and cap dev/training methods tested in collaboration with partners in Kenya, Tanzania, Ethiopia and Mali by the end of 2018.",2018,"Outcome 2.5
Improved access to livestock-related health services and products for female and male livestock keepers in 4 priority countries",2022
60,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16864_60","16864","Market for diagnostics in Kenya, Uganda, Tanzania, Ethiopia and Mali assessed and cost effectiveness of producing thermostable PPR vaccine analysed by July 2018.",2018,"Outcome 2.5
Improved access to livestock-related health services and products for female and male livestock keepers in 4 priority countries",2022
61,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16883_60","16883","Down selection of ECF, CBPP, CCPP vaccine antigens and vaccination methods.",2018,"Outcome 2.4
National and international research partners, government agencies and the private sector use 2 novel diagnostic assays and vaccines for control of ASF, CBPP, CCPP, ECF and PPR in at least 6 priority countries.",2022
62,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16884_60","16884","Agreements with at least 2 private partners to commercialise improved diagnostic tests for CBPP in Kenya, Uganda, Ethiopia, Tanzania and Mali by the end of 2018.",2018,"Outcome 2.4
National and international research partners, government agencies and the private sector use 2 novel diagnostic assays and vaccines for control of ASF, CBPP, CCPP, ECF and PPR in at least 6 priority countries.",2022
63,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16952_62","16952","More partners use IWYP platform for precision phenotyping",2018,"2.4 Crop researchers world-wide increased use of novel germplasm and tools for validation, refinement and development of products",2022
64,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16963_62","16963","Greater number of breeder-ready markers/high value haplotypes (compared to 2016) for prioritized traits identified and validated (under FP2) and deployed in CGIAR breeding programs",2018,"2.5 Breeders develop improved varieties more efficiently through greater access and use of documented germplasm and tools",2022
65,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16964_62","16964","New alleles for heat and drought, other climate change-related traits identified and moved into breeding pipeline",2018,"2.5 Breeders develop improved varieties more efficiently through greater access and use of documented germplasm and tools",2022
66,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16982_60","16982","LMP approach adapted to include gender analysis",2018,"5.1 National and international research partners and policymakers use analyses of livestock-sector dynamics, investment and ex-ante impact assessments to guide priority setting, investment and policy development for the livestock sector in 5 priority countries and within the Livestock CRP",2022
67,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16994_60","16994","GLAD message map on key livestock facts generated and dissemination on global portal",2018,"5.1 National and international research partners and policymakers use analyses of livestock-sector dynamics, investment and ex-ante impact assessments to guide priority setting, investment and policy development for the livestock sector in 5 priority countries and within the Livestock CRP",2022
68,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16995_60","16995","Gov of Ethiopia uses completed LMP to share major livestock loan request from WB",2018,"5.1 National and international research partners and policymakers use analyses of livestock-sector dynamics, investment and ex-ante impact assessments to guide priority setting, investment and policy development for the livestock sector in 5 priority countries and within the Livestock CRP",2022
69,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"17022_60","17022","Scenarios and modeling approaches agreed upon for integrated macro-meso analyses",2018,"5.2 International researchers and agencies use improved livestock system modelling tools and apply them to new problems based on their mandate areas",2022
70,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"17034_60","17034","Benchmark publication on gender and livestock to identify frontiers in research and development",2018,"5.3 Policy- or decision-makers in 4 countries use the packages developed and the evidence on the benefits of including gender equity considerations In the development of livestock projects and planning at community and national level (Ethiopia, Kenya, Nicaragua, Vietnam)",2022
71,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"17035_60","17035","CRP Gender strategy",2018,"5.3 Policy- or decision-makers in 4 countries use the packages developed and the evidence on the benefits of including gender equity considerations In the development of livestock projects and planning at community and national level (Ethiopia, Kenya, Nicaragua, Vietnam)",2022
72,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"17036_60","17036","CRP Youth strategy",2018,"5.3 Policy- or decision-makers in 4 countries use the packages developed and the evidence on the benefits of including gender equity considerations In the development of livestock projects and planning at community and national level (Ethiopia, Kenya, Nicaragua, Vietnam)",2022
73,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"17063_60","17063","Social and Behavioural Change Communication (SBCC) strategy for nutrition-related behaviour implemented among 5,000 households, (in Kenya targeted particularly at children 6-23 months and women",2018,"5.4 Local or national development partners in four priority countries adopt gender-transformative and youth-supportive approaches (using the evidence from the strategic gender research done under the CRP)",2022
74,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"17064_60","17064","Major report on influence of animal-sourced foods on child and mother nutrition",2018,"5.4 Local or national development partners in four priority countries adopt gender-transformative and youth-supportive approaches (using the evidence from the strategic gender research done under the CRP)",2022
75,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"17082_60","17082","Finalized version of the WELI",2018,"5.7 Development partners, private sector and government agencies across 4 priority countries apply innovative institutional arrangements to enhance competitiveness and inclusiveness
",2022
76,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"17092_60","17092","LMP Bihar completed by December 2018 includes a gender analysis section (objective and data).",2018,"5.1 National and international research partners and policymakers use analyses of livestock-sector dynamics, investment and ex-ante impact assessments to guide priority setting, investment and policy development for the livestock sector in 5 priority countries and within the Livestock CRP",2022
77,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1709_56","1709","MRV methodology for livestock available to partner countries",2018,"# of policy decisions taken (in part) based on engagement and information dissemination by CCAFS",2022
78,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"17102_60","17102","GLAD message map on key livestock facts generated and dissemination on global portal by end of 2018.",2018,"5.1 National and international research partners and policymakers use analyses of livestock-sector dynamics, investment and ex-ante impact assessments to guide priority setting, investment and policy development for the livestock sector in 5 priority countries and within the Livestock CRP",2022
