pk_id_altmetrics_info,version,date_from,date_to,id,"title","journal_title","author",publication_date,"doi","detail_url","image_url",last_updated
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,10,"The global burden of disease study 2013: What does it mean for the NTDs?","PLoS Neglected Tropical Diseases","Jennifer R. Herricks;Peter J. Hotez;Valentine Wanga;Luc E. Coffeng;Juanita A. Haagsma;María-Gloria Basáñez;Geoffrey Buckle;Christine M. Budke;Hélène Carabin;Eric M. Fèvre;Thomas Fürst;Yara A. Halasa;Charles H. King;Michele E. Murdoch;Kapa D. Ramaiah;Donald S. Shepard;Wilma A. Stolk;Eduardo A. Undurraga;Jeffrey D. Stanaway;Mohsen Naghavi;Christopher J. L. Murray",2017-08-03 00:00:00,"10.1371/journal.pntd.0005424","http://www.altmetric.com/details/23445018","https://badges.altmetric.com/?size=64&score=207&types=mtttttfd",2020-05-10 23:59:11
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,11,"Recent loss of closed forests is associated with Ebola virus disease outbreaks","Scientific Reports","Jesús Olivero;John E. Fa;Raimundo Real;Ana L. Márquez;Miguel A. Farfán;J. Mario Vargas;David Gaveau;Mohammad A. Salim;Douglas Park;Jamison Suter;Shona King;Siv Aina Leendertz;Douglas Sheil;Robert Nasi",2017-10-30 00:00:00,"10.1038/s41598-017-14727-9","http://www.altmetric.com/details/28120575","https://badges.altmetric.com/?size=64&score=454&types=mbtttwfd",2020-05-10 23:59:11
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,12,"Long-term carbon sink in Borneo’s forests halted by drought and vulnerable to edge effects","Nature Communications","Lan Qie;Simon L. Lewis;Martin J. P. Sullivan;Gabriela Lopez-Gonzalez;Georgia C. Pickavance;Terry Sunderland;Peter Ashton;Wannes Hubau;Kamariah Abu Salim;Shin-Ichiro Aiba;Lindsay F. Banin;Nicholas Berry;Francis Q. Brearley;David F. R. P. Burslem;Martin Dančák;Stuart J. Davies;Gabriella Fredriksson;Keith C. Hamer;Radim Hédl;Lip Khoon Kho;Kanehiro Kitayama;Haruni Krisnawati;Stanislav Lhota;Yadvinder Malhi;Colin Maycock;Faizah Metali;Edi Mirmanto;Laszlo Nagy;Reuben Nilus;Robert Ong;Colin A. Pendry;Axel Dalberg Poulsen;Richard B. Primack;Ervan Rutishauser;Ismayadi Samsoedin;Bernaulus Saragih;Plinio Sist;J. W. Ferry Slik;Rahayu Sukmaria Sukri;Martin Svátek;Sylvester Tan;Aiyen Tjoa;Mark van Nieuwstadt;Ronald R. E. Vernimmen;Ishak Yassir;Petra Susan Kidd;Muhammad Fitriadi;Nur Khalish Hafizhah Ideris;Rafizah Mat Serudin;Layla Syaznie Abdullah Lim;Muhammad Shahruney Saparudin;Oliver L. Phillips",2017-12-19 00:00:00,"10.1038/s41467-017-01997-0","http://www.altmetric.com/details/30663958","https://badges.altmetric.com/?size=64&score=186&types=mbttttfg",2020-05-10 23:59:11
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,13,"Assessing Africa-Wide Pangolin Exploitation by Scaling Local Data","Conservation Letters","Daniel J. Ingram;Lauren Coad;Katharine A. Abernethy;Fiona Maisels;Emma J. Stokes;Kadiri S. Bobo;Thomas Breuer;Edson Gandiwa;Andrea Ghiurghi;Elizabeth Greengrass;Tomas Holmern;Towa O. W. Kamgaing;Anne-Marie Ndong Obiang;John R. Poulsen;Judith Schleicher;Martin R. Nielsen;Hilary Solly;Carrie L. Vath;Matthias Waltert;Charlotte E. L. Whitham;David S. Wilkie;Jӧrn P.W. Scharlemann",2017-07-11 00:00:00,"10.1111/conl.12389","http://www.altmetric.com/details/21464590","https://badges.altmetric.com/?size=64&score=335&types=mbtttwfg",2020-05-10 23:59:12
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,14,"Farming and the geography of nutrient production for human use: a transdisciplinary analysis","The Lancet Planetary Health","Mario Herrero;Philip K Thornton;Brendan Power;Jessica R Bogard;Roseline Remans;Steffen Fritz;James S Gerber;Gerald Nelson;Linda See;Katharina Waha;Reg A Watson;Paul C West;Leah H Samberg;Jeannette van de Steeg;Eloise Stephenson;Mark van Wijk;Petr Havlík",2017-04-01 00:00:00,"10.1016/s2542-5196(17)30007-4","http://www.altmetric.com/details/18501081","https://badges.altmetric.com/?size=64&score=196&types=mbttttfd",2020-05-10 23:59:12
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,15,"Diversity and carbon storage across the tropical forest biome","Scientific Reports","Martin J. P. Sullivan;Joey Talbot;Simon L. Lewis;Oliver L. Phillips;Lan Qie;Serge K. Begne;Jerôme Chave;Aida Cuni-Sanchez;Wannes Hubau;Gabriela Lopez-Gonzalez;Lera Miles;Abel Monteagudo-Mendoza;Bonaventure Sonké;Terry Sunderland;Hans ter Steege;Lee J. T. White;Kofi Affum-Baffoe;Shin-ichiro Aiba;Everton Cristo de Almeida;Edmar Almeida de Oliveira;Patricia Alvarez-Loayza;Esteban Álvarez Dávila;Ana Andrade;Luiz E. O. C. Aragão;Peter Ashton;Gerardo A. Aymard C.;Timothy R. Baker;Michael Balinga;Lindsay F. Banin;Christopher Baraloto;Jean-Francois Bastin;Nicholas Berry;Jan Bogaert;Damien Bonal;Frans Bongers;Roel Brienen;José Luís C. Camargo;Carlos Cerón;Victor Chama Moscoso;Eric Chezeaux;Connie J. Clark;Álvaro Cogollo Pacheco;James A. Comiskey;Fernando Cornejo Valverde;Eurídice N. Honorio Coronado;Greta Dargie;Stuart J. Davies;Charles De Canniere;Marie Noel Djuikouo K.;Jean-Louis Doucet;Terry L. Erwin;Javier Silva Espejo;Corneille E. N. Ewango;Sophie Fauset;Ted R. Feldpausch;Rafael Herrera;Martin Gilpin;Emanuel Gloor;Jefferson S. Hall;David J. Harris;Terese B. Hart;Kuswata Kartawinata;Lip Khoon Kho;Kanehiro Kitayama;Susan G. W. Laurance;William F. Laurance;Miguel E. Leal;Thomas Lovejoy;Jon C. Lovett;Faustin Mpanya Lukasu;Jean-Remy Makana;Yadvinder Malhi;Leandro Maracahipes;Beatriz S. Marimon;Ben Hur Marimon Junior;Andrew R. Marshall;Paulo S. Morandi;John Tshibamba Mukendi;Jaques Mukinzi;Reuben Nilus;Percy Núñez Vargas;Nadir C. Pallqui Camacho;Guido Pardo;Marielos Peña-Claros;Pascal Pétronelli;Georgia C. Pickavance;Axel Dalberg Poulsen;John R. Poulsen;Richard B. Primack;Hari Priyadi;Carlos A. Quesada;Jan Reitsma;Maxime Réjou-Méchain;Zorayda Restrepo;Ervan Rutishauser;Kamariah Abu Salim;Rafael P. Salomão;Ismayadi Samsoedin;Douglas Sheil;Rodrigo Sierra;Marcos Silveira;J. W. Ferry Slik;Lisa Steel;Hermann Taedoumg;Sylvester Tan;John W. Terborgh;Sean C. Thomas;Marisol Toledo;Peter M. Umunay;Luis Valenzuela Gamarra;Ima Célia Guimarães Vieira;Vincent A. Vos;Ophelia Wang;Simon Willcock;Lise Zemagho",2017-01-17 00:00:00,"10.1038/srep39102","http://www.altmetric.com/details/15545390","https://badges.altmetric.com/?size=64&score=180&types=mbttttfg",2020-05-10 23:59:13
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,16,"Reducing greenhouse gas emissions in agriculture without compromising food security?","Environmental Research Letters (ERL)","Stefan Frank;Petr Havlík;Jean-François Soussana;Antoine Levesque;Hugo Valin;Eva Wollenberg;Ulrich Kleinwechter;Oliver Fricko;Mykola Gusti;Mario Herrero;Pete Smith;Tomoko Hasegawa;Florian Kraxner;Michael Obersteiner",2017-10-02 00:00:00,"10.1088/1748-9326/aa8c83","http://www.altmetric.com/details/26906396","https://badges.altmetric.com/?size=64&score=181&types=mmbttttf",2020-05-10 23:59:13
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,17,"Greening peace in Colombia","Nature Ecology & Evolution","Brigitte Baptiste;Miguel Pinedo-Vasquez;Victor H. Gutierrez-Velez;Germán I. Andrade;Pablo Vieira;Lina M. Estupiñán-Suárez;Maria C. Londoño;William Laurance;Tien Ming Lee",2017-03-01 00:00:00,"10.1038/s41559-017-0102","http://www.altmetric.com/details/16899064","https://badges.altmetric.com/?size=64&score=143&types=mbtttttf",2020-05-10 23:59:13
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,18,"The jumbo carbon footprint of a shrimp: carbon losses from mangrove deforestation","Frontiers in Ecology & the Environment","J Boone Kauffman;Virni B Arifanti;Humberto Hernández Trejo;Maria del Carmen Jesús García;Jennifer Norfolk;Miguel Cifuentes;Deddy Hadriyanto;Daniel Murdiyarso",2017-04-10 00:00:00,"10.1002/fee.1482","http://www.altmetric.com/details/18698055","https://badges.altmetric.com/?size=64&score=136&types=mbtttttf",2020-05-10 23:59:13
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,19,"Linking regional stakeholder scenarios and shared socioeconomic pathways: Quantified West African food and climate futures in a global context","Global Environmental Change Part A: Human & Policy Dimensions","Amanda Palazzo;Joost M. Vervoort;Daniel Mason-D’Croz;Lucas Rutting;Petr Havlík;Shahnila Islam;Jules Bayala;Hugo Valin;Hamé Abdou Kadi Kadi;Philip Thornton;Robert Zougmore",2017-07-01 00:00:00,"10.1016/j.gloenvcha.2016.12.002","http://www.altmetric.com/details/17111016","https://badges.altmetric.com/?size=64&score=124&types=mmbtttfd",2020-05-10 23:59:13
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,20,"Agriculture production as a major driver of the Earth system exceeding planetary boundaries","Ecology and Society","Bruce M. Campbell;Douglas J. Beare;Elena M. Bennett;Jason M. Hall-Spencer;John S. I. Ingram;Fernando Jaramillo;Rodomiro Ortiz;Navin Ramankutty;Jeffrey A. Sayer;Drew Shindell",2017-01-01 00:00:00,"10.5751/es-09595-220408","http://www.altmetric.com/details/27362985","https://badges.altmetric.com/?size=64&score=174&types=mbtttfdg",2020-05-10 23:59:13
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,21,"An expert system model for mapping tropical wetlands and peatlands reveals South America as the largest contributor","Global Change Biology","Thomas Gumbricht;Rosa Maria Roman‐Cuesta;Louis Verchot;Martin Herold;Florian Wittmann;Ethan Householder;Nadine Herold;Daniel Murdiyarso",2017-05-09 00:00:00,"10.1111/gcb.13689","http://www.altmetric.com/details/17527075","https://badges.altmetric.com/?size=64&score=130&types=mbrttfdg",2020-05-10 23:59:13
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,22,"Consumption of Iron-Biofortified Beans Positively Affects Cognitive Performance in 18- to 27-Year-Old Rwandan Female College Students in an 18-Week Randomized Controlled Efficacy Trial","Journal of Nutrition","Laura E Murray-Kolb;Michael J Wenger;Samuel P Scott;Stephanie E Rhoten;Mercy G Lung’aho;Jere D Haas",2017-09-27 00:00:00,"10.3945/jn.117.255356","http://www.altmetric.com/details/26949558","https://badges.altmetric.com/?size=64&score=106&types=mbttttfg",2020-05-10 23:59:13
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,23,"Agrobiodiversity and a sustainable food future","Nature Plants","Karl S. Zimmerer;Stef de Haan",2017-04-06 00:00:00,"10.1038/nplants.2017.47","http://www.altmetric.com/details/18559171","https://badges.altmetric.com/?size=64&score=85&types=mbtttttt",2020-05-10 23:59:13
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,24,"La restauraci&oacute;n ecol&oacute;gica en el marco de las compensaciones por p&eacute;rdida de biodiversidad en Colombia: Un análisis crítico",,"Murcia, C.;Guariguata, M.R.;Quintero-Vallejo, E.;Ramirez, W.;Murcia C.;Guariguata M.R.;Quintero-Vallejo E.;Ramirez W.",2017-01-01 00:00:00,"10.17528/cifor/006611","http://www.altmetric.com/details/28118288","https://badges.altmetric.com/?size=64&score=74&types=bttttttf",2020-05-10 23:59:14
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,25,"Retention of Carotenoids in Biofortified Maize Flour and β-Cryptoxanthin-Enhanced Eggs after Household Cooking","ACS Omega","Margaret Sowa;Jiaoying Yu;Natalia Palacios-Rojas;Shellen R. Goltz;Julie A. Howe;Christopher R. Davis;Torbert Rocheford;Sherry A. Tanumihardjo",2017-10-27 00:00:00,"10.1021/acsomega.7b01202","http://www.altmetric.com/details/28966627","https://badges.altmetric.com/?size=64&score=76&types=mmmmmmbt",2020-05-10 23:59:14
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,26,"Amplification of wildfire area burnt by hydrological drought in the humid tropics","Nature Climate Change","Muh Taufik;Paul J. J. F. Torfs;Remko Uijlenhoet;Philip D. Jones;Daniel Murdiyarso;Henny A. J. Van Lanen",2017-05-01 00:00:00,"10.1038/nclimate3280","http://www.altmetric.com/details/19761605","https://badges.altmetric.com/?size=64&score=72&types=mbtttttf",2020-05-10 23:59:14
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,27,"Improving nutrition through biofortification: A review of evidence from HarvestPlus, 2003 through 2016","Global Food Security","Howarth E. Bouis;Amy Saltzman",2017-03-01 00:00:00,"10.1016/j.gfs.2017.01.009","http://www.altmetric.com/details/16582395","https://badges.altmetric.com/?size=64&score=79&types=mbtttttd",2020-05-10 23:59:14
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,28,"Structure of Phytoene Desaturase Provides Insights into Herbicide Binding and Reaction Mechanisms Involved in Carotene Desaturation","Structure","Anton Brausemann;Sandra Gemmecker;Julian Koschmieder;Sandro Ghisla;Peter Beyer;Oliver Einsle",2017-08-01 00:00:00,"10.1016/j.str.2017.06.002","http://www.altmetric.com/details/21727862","https://badges.altmetric.com/?size=64&score=72&types=mmbtttw1",2020-05-10 23:59:14
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,29,"The “quiet revolution” in the aquaculture value chain in Bangladesh","Aquaculture","Ricardo Hernandez;Ben Belton;Thomas Reardon;Chaoran Hu;Xiaobo Zhang;Akhter Ahmed",2018-08-01 00:00:00,"10.1016/j.aquaculture.2017.06.006","http://www.altmetric.com/details/21658038","https://badges.altmetric.com/?size=64&score=77&types=mmbttttd",2020-05-10 23:59:14
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,30,"China's fight to halt tree cover loss","Proceedings of the Royal Society B: Biological Sciences","Antje Ahrends;Peter M. Hollingsworth;Philip Beckschäfer;Huafang Chen;Robert J. Zomer;Lubiao Zhang;Mingcheng Wang;Jianchu Xu",2017-05-03 00:00:00,"10.1098/rspb.2016.2559","http://www.altmetric.com/details/19803838","https://badges.altmetric.com/?size=64&score=99&types=mbttttfd",2020-05-10 23:59:14
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,31,"The genome landscape of indigenous African cattle","Genome Biology (Online Edition)","Jaemin Kim;Olivier Hanotte;Okeyo Ally Mwai;Tadelle Dessie;Salim Bashir;Boubacar Diallo;Morris Agaba;Kwondo Kim;Woori Kwak;Samsun Sung;Minseok Seo;Hyeonsoo Jeong;Taehyung Kwon;Mengistie Taye;Ki-Duk Song;Dajeong Lim;Seoae Cho;Hyun-Jeong Lee;Duhak Yoon;Sung Jong Oh;Stephen Kemp;Hak-Kyo Lee;Heebal Kim",2017-02-20 00:00:00,"10.1186/s13059-017-1153-y","http://www.altmetric.com/details/16559974","https://badges.altmetric.com/?size=64&score=61&types=mmbttttt",2020-05-10 23:59:14
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,32,"Can conservation funding be left to carbon finance? Evidence from participatory future land use scenarios in Peru, Indonesia, Tanzania, and Mexico","Environmental Research Letters (ERL)","Ashwin Ravikumar;Markku Larjavaara;Anne Larson;Markku Kanninen",2017-01-13 00:00:00,"10.1088/1748-9326/aa5509","http://www.altmetric.com/details/15512863","https://badges.altmetric.com/?size=64&score=65&types=mbttttfg",2020-05-10 23:59:14
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,33,"A methodological approach for assessing cross-site landscape change: Understanding socio-ecological systems","Forest Policy & Economics","Terry Sunderland;Rabdo Abdoulaye;Ronju Ahammad;Stella Asaha;Frederic Baudron;Elizabeth Deakin;Jean-Yves Duriaux;Ian Eddy;Samson Foli;Davison Gumbo;Kaysara Khatun;Mumba Kondwani;Mrigesh Kshatriya;Laurio Leonald;Dominic Rowland;Natasha Stacey;Stephanie Tomscha;Kevin Yang;Sarah Gergel;Josh Van Vianen",2017-11-01 00:00:00,"10.1016/j.forpol.2017.04.013","http://www.altmetric.com/details/20036133","https://badges.altmetric.com/?size=64&score=57&types=btttttfg",2020-05-10 23:59:15
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,34,"Happiness in the air: How does a dirty sky affect mental health and subjective well-being?","Journal of Environmental Economics & Management","Xin Zhang;Xiaobo Zhang;Xi Chen",2017-09-01 00:00:00,"10.1016/j.jeem.2017.04.001","http://www.altmetric.com/details/18754009","https://badges.altmetric.com/?size=64&score=96&types=mbtttttd",2020-05-10 23:59:15
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,35,"Oil palm–community conflict mapping in Indonesia: A case for better community liaison in planning for development initiatives","Applied Geography","Nicola K. Abram;Erik Meijaard;Kerrie A. Wilson;Jacqueline T. Davis;Jessie A. Wells;Marc Ancrenaz;Sugeng Budiharta;Alexandra Durrant;Afif Fakhruzzi;Rebecca K. Runting;David Gaveau;Kerrie Mengersen",2017-01-01 00:00:00,"10.1016/j.apgeog.2016.10.005","http://www.altmetric.com/details/13950738","https://badges.altmetric.com/?size=64&score=49&types=mbtttttf",2020-05-10 23:59:15
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,36,"Climate change impacts on selected global rangeland ecosystem services","Global Change Biology","Randall B. Boone;Richard T. Conant;Jason Sircely;Philip K. Thornton;Mario Herrero",2017-12-22 00:00:00,"10.1111/gcb.13995","http://www.altmetric.com/details/29224574","https://badges.altmetric.com/?size=64&score=58&types=mbttttfg",2020-05-10 23:59:15
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,37,"Fire economy and actor network of forest and land fires in Indonesia","Forest Policy & Economics","Herry Purnomo;Bayuni Shantiko;Soaduon Sitorus;Harris Gunawan;Ramadhani Achdiawan;Hariadi Kartodihardjo;Ade Ayu Dewayani",2017-05-01 00:00:00,"10.1016/j.forpol.2017.01.001","http://www.altmetric.com/details/15319420","https://badges.altmetric.com/?size=64&score=48&types=mbtttttg",2020-05-10 23:59:15
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,38,"Why peatlands matter",,"CIFOR",2017-01-01 00:00:00,"10.17528/cifor/006453","http://www.altmetric.com/details/19973596","https://badges.altmetric.com/?size=64&score=53&types=btttttfg",2020-05-10 23:59:15
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,39,"An integrated study of human and animal infectious disease in the Lake Victoria crescent small-holder crop-livestock production system, Kenya","BMC Infectious Diseases","Eric M. Fèvre;William A. de Glanville;Lian F. Thomas;Elizabeth A. J. Cook;Samuel Kariuki;Claire N. Wamae",2017-06-30 00:00:00,"10.1186/s12879-017-2559-6","http://www.altmetric.com/details/21446676","https://badges.altmetric.com/?size=64&score=45&types=bttttttf",2020-05-10 23:59:15
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,40,"Estate Crops More Attractive than Community Forests in West Kalimantan, Indonesia","Land","James Langston;Rebecca Riggs;Yazid Sururi;Terry Sunderland;Muhammad Munawir",2017-02-08 00:00:00,"10.3390/land6010012","http://www.altmetric.com/details/16225434","https://badges.altmetric.com/?size=64&score=45&types=mmbttttf",2020-05-10 23:59:15
