pk_id_powb_outcome,version,date_from,date_to,id,"crp_program_outcome_description"
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,22,"1.1. A demand- driven data analytics environment is available"
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,23,"1.2. CGIAR resources are discovered and reused"
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,24,"1.3. Standards and semantics are utilized to enable FAIR (Findable, Accessible, Interoperable and Reusable) agricultural data"
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,25,"1.4. Enhance capacity, catalyze culture change to further CGIAR OA/OD compliance and public goods mandate"
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,26,"2.1. CGIAR is more broadly engaged in big data community"
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,27,"2.2. CGIAR increases its capacity to work on priority topics more quickly, more effectively and at greater scale"
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,28,"2.3. CGIAR develops as a learning organization"
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,29,"3.1 CGIAR shows how data-driven approaches yield results in poverty reduction, enhanced nutrition or environmental benefits"
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,30,"FP1 Outcome: 11 policy decisions taken (in part) based on engagement and information dissemination by CCAFS"
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,31,"FP1 Outcome: 14 organisations and institutions in selected countries/states adapting plans and directing investment to optimise consumption of diverse nutrient-rich foods, with all plans and investments examined for their gender implications"
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,32,"FP1 Outcome: 20 countries/states where CCAFS priority setting used to target and implement interventions to improve food and nutrition security under a changing climate"
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,33,"FP1 Outcome: 20 of national/state organisations and institutions adapting their plans and directing investment to increase women's access to, and control over, productive assets and resources"
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,34,"FP1 Outcome: USD 450 million new investments by state, national, regional and global agencies, informed by CCAFS science and engagement"
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,35,"FP2 Outcome: 11 policy decisions taken (in part) based on engagement and information dissemination by CCAFS"
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,36,"FP2 Outcome: 15 development organisations, with the focus on investments for CSA activities, adapting their plans or directing investment to increase women's access to, and control over, productive assets and resources."
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,37,"FP2 Outcome: 15 sub-national public/private initiatives providing access to novel financial services and supporting innovative CSA business models"
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,38,"FP2 Outcome: 50 site-specific targeted CSA options (technologies, practices and services) tested and examined for their gender implications"
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,39,"FP2 Outcome: 6 million farm households receiving incentives (training, financial, programmatic, policy-related) for adopting CSA related practices and technologies that potentially reduce production risks with increased benefits for women"
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,40,"FP3 Outcome: # of million hectares targeted by research-informed initiatives for restoring degraded land or preventing deforestation"
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,41,"FP3 Outcome: 10 low emissions plans developed that have significant mitigation potential for 2030, i.e. will contribute to at least 5% GHG emissions reduction or reach at least 10,000 farmers, with all plans examined for their gender implications"
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,42,"FP3 Outcome: 15 organisations adapting their plans or directing investment to increase women's participation in decision-making about LED in agriculture"
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,43,"FP3 Outcome: 15 policy decisions taken (in part) based on engagement and information dissemination by CCAFS"
44,1,1900-01-01 00:00:00,2200-01-01 00:00:00,44,"FP3 Outcome: 20 agricultural development initiatives where CCAFS science is used to target and implement interventions to increase input efficiency"
45,1,1900-01-01 00:00:00,2200-01-01 00:00:00,45,"FP4 Outcome: 15 of policy decisions taken (in part) based on engagement and information dissemination by CCAFS"
46,1,1900-01-01 00:00:00,2200-01-01 00:00:00,46,"FP4 Outcome: 20 of development organizations adapting their plans and directing investment to increase women's access to, and control over, productive assets and resources through gender-sensitive climate-based advisories and safety nets"
47,1,1900-01-01 00:00:00,2200-01-01 00:00:00,47,"FP4 Outcome: 40 of institutions or major initiatives that use CCAFS research outputs for services that support farm households' management of climatic risks"
48,1,1900-01-01 00:00:00,2200-01-01 00:00:00,48,"FP4 Outcome: 8 of million farm households with improved access to capital, with increased benefits for women (millions)"
49,1,1900-01-01 00:00:00,2200-01-01 00:00:00,49,"FP4 Outcome: USD 150 million new investments by state, national, regional and global agencies, informed by CCAFS science and engagement"
50,1,1900-01-01 00:00:00,2200-01-01 00:00:00,50,"Creation of clear product profiles, a stage gate process “from breeding cross-to-farm”, and appropriate breeding schemes commensurate with level of investment, best practices and tools available results in accelerated breeding cycles and rates of genetic gain per unit time that are 25% greater than current approaches."
51,1,1900-01-01 00:00:00,2200-01-01 00:00:00,51,"Increased rates of genetic gain through use of best practices, optimization of breeding strategy and more effective use of resources (time, finances)."
52,1,1900-01-01 00:00:00,2200-01-01 00:00:00,52,"Efficient and effective application of genomic technology, including better targeted genotypic data in breeding supports larger, more cost- effective programs and is mainstreamed within AFS networks, in order to accelerate the rate of genetic gain delivered in farmers' fields."
53,1,1900-01-01 00:00:00,2200-01-01 00:00:00,53,"Lower-cost, better targeted phenotypic data supports larger, more cost- effective programs."
54,1,1900-01-01 00:00:00,2200-01-01 00:00:00,54,"Bioinformatics tools that support automation, data integration and decision making are fully integrated for use in AFS breeding networks"
55,1,1900-01-01 00:00:00,2200-01-01 00:00:00,55,"Best practice information made available to EiB members in V1.2 of the Toolbox and a Beta version of course building tool available for testing in V1.2 of the Toolbox."
56,1,1900-01-01 00:00:00,2200-01-01 00:00:00,56,"Outcome 1.1: 1.5 million households have access to and are using our selectively improved, faster growing and more resilient strains of tilapia and carp seed"
57,1,1900-01-01 00:00:00,2200-01-01 00:00:00,57,"Outcome 1.2: 2.5 million households have adopted disease detection and control strategies, cost-effective and sustainable aqua-feeds and/or improved aquaculture management practices"
58,1,1900-01-01 00:00:00,2200-01-01 00:00:00,58,"Outcome 1.3: 4.8 million mt of annual farmed fish production with reduced environmental impact and increased resource-use efficiency (measured by 20% reduction in GHG emissions and 10% increase in water and nutrient-use efficiency)"
59,1,1900-01-01 00:00:00,2200-01-01 00:00:00,59,"Outcome 1.4: 2.3 million poor men, women and youth access improved livelihood opportunities resulting from increased aquaculture production and associated value chains and enterprise development (of which 50% are women)"
60,1,1900-01-01 00:00:00,2200-01-01 00:00:00,60,"Outcome 2.1: 1 million fishery-dependent households have reduced poverty as a result of adopting improved fisheries management"
61,1,1900-01-01 00:00:00,2200-01-01 00:00:00,61,"Outcome 2.2: 1.2 million people, of which 50% are women, assisted to exit poverty through livelihood improvements"
62,1,1900-01-01 00:00:00,2200-01-01 00:00:00,62,"Outcome 2.3: 2.1 million hectares of inland aquatic and coastal marine habitat restored and under more productive and equitable management"
63,1,1900-01-01 00:00:00,2200-01-01 00:00:00,63,"Outcome 1.1 - Managers and policy-makers adopt effective monitoring methods, tools and practices to mitigate threats to valuable TGR, and implement suitable safeguarding strategies in line with international initiatives, such as the Global Plan of Action for Forest Genetic Resources and the Global Strategy on Conservation and Use of Cacao Genetic Resources"
64,1,1900-01-01 00:00:00,2200-01-01 00:00:00,64,"Outcome 1.2 - Agricultural and horticultural research and development partners adopt cost-effective domestication approaches for priority tree species, based on impacts and maximizing efficiency, and considering trade-offs involved in intensification, while paying attention to smallholder breeders’ rights"
65,1,1900-01-01 00:00:00,2200-01-01 00:00:00,65,"Outcome 1.3 - National governments, extension services and private partners adopt cost-effective and equitable tree-planting material delivery approaches, with attention to appropriate international and national policies governing material transfer/use agreements and using the most appropriate decision support tools, to supply high-quality site-appropriate tree-planting material to smallholders and other growers"
66,1,1900-01-01 00:00:00,2200-01-01 00:00:00,66,"Diversified tree-crop production systems covering 5 million ha and improving diets and livelihood opportunities for 20 million people in smallholder producer households."
67,1,1900-01-01 00:00:00,2200-01-01 00:00:00,67,"Improved food security and livelihood opportunities for 100 million people in smallholder households and more productive and equitable management of natural resources over an area of at least 50 million ha. This outcome integrates some outputs from other research clusters through their scaling."
68,1,1900-01-01 00:00:00,2200-01-01 00:00:00,68,"Improved livelihood opportunities involving timber, fruit and NTFPs contributing a 25% increase in income for over 5 million people and more equitable management of natural resources including a 25% increase in women's participation in decisions involving tree and forest management and utilization and improvement in substantive representation of women in community forest management institutions"
69,1,1900-01-01 00:00:00,2200-01-01 00:00:00,69,"Increased access to diverse, nutrient rich food for 20 million people through closing yield gaps by trees in agricultural systems improving and maintaining soil health as well as intensifying Isystem interactions (fodder and firewood) and directly contributing to production, reducing and reversing land degradation and increasing the resilience of smallholder livelihoods."
70,1,1900-01-01 00:00:00,2200-01-01 00:00:00,70,"Reducing yield gaps through improved pasture management and animal husbandry on over 15 million ha and 1 million animals and contributing to reducing and reversing land degradation on over 5 million ha"
71,1,1900-01-01 00:00:00,2200-01-01 00:00:00,71,"5 business platforms and 20 businesses and service providers develop and implement business models that are more inclusive, economically viable and environmentally sustainable"
72,1,1900-01-01 00:00:00,2200-01-01 00:00:00,72,"At least 30% of financial service providers lending to timber, tree and agricultural crops adopt ESG criteria, and increase in 25% the lending to models that integrate smallholders and SMEs"
73,1,1900-01-01 00:00:00,2200-01-01 00:00:00,73,"Public and private actors adopt effective governance arrangements, mechanisms and tools for ensuring sustainable and inclusive commodity supply in at least 3 major producer countries"
74,1,1900-01-01 00:00:00,2200-01-01 00:00:00,74,"(Sub)national governance systems in at least 10 countries use contextualized theories of change to guide transitions to integral achievement of sustainable development goals through restoration, conservation and management of landscape multi-functionality, using similarity domains based on patterns and intensities of forest and tree cover change in space and time in sentinel landscapes understood on the basis of 'drivers' that operate at larger scales."
75,1,1900-01-01 00:00:00,2200-01-01 00:00:00,75,"(Sub)national governance systems in landscapes covering 100 M ha and inhabited by 70 M people use quantified and valued functions of FT&A for biodiversity, full hydrological cycle and ecosystem services analyzed across knowledge domains and available for policy-level synthesis and planning."
76,1,1900-01-01 00:00:00,2200-01-01 00:00:00,76,"Adaptive landscape institutions empowered and supported on 6 M ha inhabited by 4 M people to manage changing landscape mosaics towards more balanced and adaptive multifunctionality and successful 'forest landscape restoration' through 'action research' and inclusive, participatory learning. This is aligned with efforts in PIM.5.2 -oe6 million hectares of shared landscapes under more productive and equitable management."
77,1,1900-01-01 00:00:00,2200-01-01 00:00:00,77,"Diverse diets from tree cover in mosaic landscapes recognized and enhanced as contributions to balanced diets through Increase of availability, and access to, nutrient-rich wild and cultivated food products from these landscapes (10 sentinel landscapes 10 M people)."
78,1,1900-01-01 00:00:00,2200-01-01 00:00:00,78,"Efficient, effective and equitable climate national and international mitigation policies and funding, aligned with development objectives (3E+ goals)."
79,1,1900-01-01 00:00:00,2200-01-01 00:00:00,79,"Food and bioenergy production policy and practice integrated more visibly in the intervention areas."
80,1,1900-01-01 00:00:00,2200-01-01 00:00:00,80,"Performance assessment of mitigation and adaptation policy and practice widely implemented following good evaluation practice."
81,1,1900-01-01 00:00:00,2200-01-01 00:00:00,81,"Risk-assessed ecosystem-based adaptation (EbA) policy and practice in place including joint mitigation and adaptation approaches."
82,1,1900-01-01 00:00:00,2200-01-01 00:00:00,82,"Outcome 1.1 Disease-free, viable, documented germplasm made available"
83,1,1900-01-01 00:00:00,2200-01-01 00:00:00,83,"Outcome 1.2 Crop diversity conserved in a rational and"
84,1,1900-01-01 00:00:00,2200-01-01 00:00:00,84,"Outcome 2: More effective access and use of germplasm enabled"
85,1,1900-01-01 00:00:00,2200-01-01 00:00:00,85,"Outcome 3: Supportive policy environment developed"
86,1,1900-01-01 00:00:00,2200-01-01 00:00:00,86,"FP2.O1: Multi‐dimensional impacts of innovative agricultural value chain options are transparent to governance actors and provide incentives for adapting the enabling environment."
87,1,1900-01-01 00:00:00,2200-01-01 00:00:00,87,"Outcome 1. Improved targeting and responsiveness of research to market and household demands in the face of climate change for greater technology adoption, food and nutrition security, resilience, and poverty reduction"
88,1,1900-01-01 00:00:00,2200-01-01 00:00:00,88,"Outcome 2. Market and household demand identified and trade-offs assessed for more inclusive value chains that improve income and nutrition status in target regions"
89,1,1900-01-01 00:00:00,2200-01-01 00:00:00,89,"Outcome 3. Inclusive and equitable technologies and innovation systems established for accelerated and broadened impact across the agrifood system"
90,1,1900-01-01 00:00:00,2200-01-01 00:00:00,90,"Outcome 4. Strong project design, execution, monitoring and evaluation systems and tools consistently applied in GLDC scaling projects, with demonstrable progress on enhanced adoption and impact"
91,1,1900-01-01 00:00:00,2200-01-01 00:00:00,91,"FP2.O1: Multi‐dimensional impacts of innovative agricultural value chain options are transparent to governance actors and provide incentives for adapting the enabling environment."
92,1,1900-01-01 00:00:00,2200-01-01 00:00:00,92,"FP2.O2: Actors in GDLC priority agricultural value chains developed innovative value chain options and are empowered to develop independently sustainable business models."
93,1,1900-01-01 00:00:00,2200-01-01 00:00:00,93,"FP2.O3: Governance mechanisms are revised and harmonized in a way that encourages improved agrifood system strategies adapted to specific social‐ ecological"
94,1,1900-01-01 00:00:00,2200-01-01 00:00:00,94,"FP3.O1. Cropping systems sustainably intensified and diversified"
95,1,1900-01-01 00:00:00,2200-01-01 00:00:00,95,"FP3.O2. Pest and diseases controlled safely and with reduced agro-chemical inputs"
96,1,1900-01-01 00:00:00,2200-01-01 00:00:00,96,"FP3.O2. Soil-crop-water and nutrient interactions enhanced"
97,1,1900-01-01 00:00:00,2200-01-01 00:00:00,97,"FP3.O3. Tested, adapted and validated options applied for sustainable intensification and livelihood diversification by farmers"
98,1,1900-01-01 00:00:00,2200-01-01 00:00:00,98,"FP4.O1. New varieties & allied innovations improving productivity & production potential, agribusiness opportunity & stabilize food supply."
99,1,1900-01-01 00:00:00,2200-01-01 00:00:00,99,"FP4.O2. Robust and responsive global to national breeding systems produce and deliver novel varieties and allied innovations at appropriate scale and scope"
100,1,1900-01-01 00:00:00,2200-01-01 00:00:00,100,"FP5.O1. Prebreeding products through use of genebanks and other sources and modern tools to increase genetic diversity in breeding programs globally"
101,1,1900-01-01 00:00:00,2200-01-01 00:00:00,101,"FP5.O2. Trait discovery and development based on genomics and phenomics to generate new markers to support trait integration through use of modern enabling technologies and forward breeding"
102,1,1900-01-01 00:00:00,2200-01-01 00:00:00,102,"FP5.O3. National researchers able to apply the acquired skills in other pre-breeding programs. Development of enabling technologies platforms to be used for rapid trait discovery, trait validation, trait development, and trait introgression"
103,1,1900-01-01 00:00:00,2200-01-01 00:00:00,103,"Outcome 1.1: Data on livestock diversity and systems, including from a gendered lens, used to develop or refine genetic improvement and / or conservation strategies by policymakers, national research and development partners, and the private sector, in 5 CRP priority countries and other locations."
104,1,1900-01-01 00:00:00,2200-01-01 00:00:00,104,"Outcome 1.2: Genetic improvement strategies for improved livestock genetics implemented by national research and development partners, and the private sector in 6 CRP priority countries and other locations."
105,1,1900-01-01 00:00:00,2200-01-01 00:00:00,105,"Outcome 1.3: Business models for multiplication and delivery of improved livestock genetics, to resource poor women and men livestock keepers, implemented by national research and development partners, and the private sector in five CRP priority countries and other locations."
106,1,1900-01-01 00:00:00,2200-01-01 00:00:00,106,"Outcome 1.4: Women and men resource poor livestock keepers sustainably utilizing improved livestock genetics, both productive and adapted, in 3 priority countries and other locations."
107,1,1900-01-01 00:00:00,2200-01-01 00:00:00,107,"Outcome 1.5: Guidelines on policy and institutional arrangements for improvement and conservation of animal genetic resources (AnGR) adopted by policymakers, national research and development partners, and the private sector, in at least 4 priority countries and other locations."
108,1,1900-01-01 00:00:00,2200-01-01 00:00:00,108,"Outcome 2.1: Assessment tools for significance of animal diseases and risk maps for emergence of animal diseases are used by 100 local and national and 50 international research partners and donors to prioritise research and development interventions to reduce livestock disease risks for livestock keepers."
109,1,1900-01-01 00:00:00,2200-01-01 00:00:00,109,"Outcome 2.2: Context specific herd health management packages adopted by farmers, extension and animal health workers in priority countries and other locations."
110,1,1900-01-01 00:00:00,2200-01-01 00:00:00,110,"Outcome 2.3: Livestock keepers have necessary knowledge of AMR and antiparasitic resistance (APR) to change their practices accordingly, piloted in two priority countries."
111,1,1900-01-01 00:00:00,2200-01-01 00:00:00,111,"Outcome 2.4: National and international research partners, government agencies and the private sector use 2 novel diagnostic assays and vaccines for control of ASF, CBPP, CCPP, ECF and PPR in at least 6 priority countries."
112,1,1900-01-01 00:00:00,2200-01-01 00:00:00,112,"Outcome 2.5: Improved access to livestock-related health services and products for female and male livestock keepers in 4 priority countries"
113,1,1900-01-01 00:00:00,2200-01-01 00:00:00,113,"Outcome 3.1: Local, national and international research and development partners, the private sector, decision-makers and livestock producers are able to diagnose feed constraints and opportunities and to effectively prioritize and target feed and forage interventions, resulting in: a 10% improvement in utilization of feeds and forages, a 20% increase in animal production using improved feed and forage technologies, a 10% accuracy increase for biomass and quality estimation and at least 250,000 annual visitors to global databases, repositories, interactive tools and maps and the Tropical Grasslands/Forrajes Tropicales journal website."
114,1,1900-01-01 00:00:00,2200-01-01 00:00:00,114,"Outcome 3.3: National and international research and development partners and the private sector are using CRP developed forage and rangeland resources (with enhanced traits), in 30 countries and reaching producers who plant over 2 million ha, to increase the rate of genetic gain and exploit the genetic diversity of forages and rangeland species to enhance stress-tolerance, biomass productivity and nutritive value."
115,1,1900-01-01 00:00:00,2200-01-01 00:00:00,115,"Outcome 3.4: New forage and crop cultivars, superior to local (based on food, feed and fodder traits weighted according to target domains), made available by development partners, government agencies and the private sector and applied by farmers in 7 priority counties and other locations."
116,1,1900-01-01 00:00:00,2200-01-01 00:00:00,116,"Outcome 3.5: National and international development partners, government agencies and extension services, the private sector and community-based organisations in 3 priority countries are using CRP-related research outputs for better utilization of existing and novel feed and forage resources. This will be through (a) scalable processing technologies, (b) management strategies to conserve and rehabilitate rangelands and (c) diet formulation that increases productivity while reducing overall feed and forage costs and environment impacts."
117,1,1900-01-01 00:00:00,2200-01-01 00:00:00,117,"Outcome 3.6: Livestock producers in 3 priority countries: apply management strategies to conserve and rehabilitate rangelands and pastures while ensuring ongoing ability to produce, preserve and store feed biomass and use diets that increase productivity while reducing overall feed and forage costs and environmental impacts (with the environment and livelihoods flagships)."
118,1,1900-01-01 00:00:00,2200-01-01 00:00:00,118,"Outcome 3.8: Increased delivery and uptake of feed and forage resources through proof-of-concept scaling, business model development and value-chain approaches by development partners, the private sector (feed and forage traders, feed processors) and (1 million by 2022) farmers across diverse environments in priority countries and other locations in Latin America, North and East Africa and South and Southeast Asia."
119,1,1900-01-01 00:00:00,2200-01-01 00:00:00,119,"Outcome 4.1: Environmental concerns are considered in decision making across at least 10 priority countries and other locations, by national and international development partners, government agencies and extension systems, including technology developers seeking to improve cattle, small ruminant and pig production."
120,1,1900-01-01 00:00:00,2200-01-01 00:00:00,120,"Outcome 4.2: Targeted solutions are used by research and development partners, across at least 10 priority countries and other locations, to increase the productivity of cattle, small ruminants and pigs in the face of ongoing environmental changes."
121,1,1900-01-01 00:00:00,2200-01-01 00:00:00,121,"Outcome 4.3: Government agencies and development partners at local and national levels across at least 10 priority countries and other locations are promoting environmental management options."
122,1,1900-01-01 00:00:00,2200-01-01 00:00:00,122,"Outcome 4.4: Gender responsive environmental management options that are well adapted to Global Environmental Change are adopted by households (women and youth) in 6 countries."
123,1,1900-01-01 00:00:00,2200-01-01 00:00:00,123,"Outcome 4.5: National government agencies across at least 5 priority countries design and implement key policies to improve the environmental management of livestock systems"
124,1,1900-01-01 00:00:00,2200-01-01 00:00:00,124,"Outcome 5.1: National and international research partners and policymakers use analyses of livestock-sector dynamics, investment and ex-ante impact assessments to guide priority setting, investment and policy development for the livestock sector in 5 priority countries and within the Livestock CRP"
125,1,1900-01-01 00:00:00,2200-01-01 00:00:00,125,"Outcome 5.2: International researchers and agencies use improved livestock system modelling tools and apply them to new problems based on their mandate areas"
126,1,1900-01-01 00:00:00,2200-01-01 00:00:00,126,"Outcome 5.3: Policy- or decision-makers in 4 countries use the packages developed and the evidence on the benefits of including gender equity considerations In the development of livestock projects and planning at community and national level (Ethiopia, Kenya, Nicaragua, Vietnam)"
127,1,1900-01-01 00:00:00,2200-01-01 00:00:00,127,"Outcome 5.4: Local or national development partners in four priority countries adopt gender-transformative and youth-supportive approaches (using the evidence from the strategic gender research done under the CRP)"
128,1,1900-01-01 00:00:00,2200-01-01 00:00:00,128,"Outcome 5.5: Local and national development actors, government agencies, and the private sector invest in and adopt the most successful approaches for enhancing livestock-mediated nutritional impact, including institutional arrangements and behavioural change, in 3 priority countries."
129,1,1900-01-01 00:00:00,2200-01-01 00:00:00,129,"Outcome 5.6: Livestock communities across 4 priority countries apply tested technologies, management strategies and institutional arrangements, taking the multiple functions of livestock into account"
130,1,1900-01-01 00:00:00,2200-01-01 00:00:00,130,"Outcome 5.7: Development partners, private sector and government agencies across 4 priority countries apply innovative institutional arrangements to enhance competitiveness and inclusiveness"
131,1,1900-01-01 00:00:00,2200-01-01 00:00:00,131,"National and regional policy makers improved policy-making and increased investment based on evidence"
132,1,1900-01-01 00:00:00,2200-01-01 00:00:00,132,"Breeders develop improved varieties more efficiently through gender access and use of documented germplasm and tools"
133,1,1900-01-01 00:00:00,2200-01-01 00:00:00,133,"Crop researchers world wide increased use of novel germplasm and tools for validation, refinement and development of products"
134,1,1900-01-01 00:00:00,2200-01-01 00:00:00,134,"Partner breeding teams, improved exchange and utilization of germplasm and data, including disease and pest diagnosis and managmeent"
135,1,1900-01-01 00:00:00,2200-01-01 00:00:00,135,"Partner breeding teams. Improved breeding processes by adoptiong new technologies methodologies, approach and genetic resources"
136,1,1900-01-01 00:00:00,2200-01-01 00:00:00,136,"Breeders develop improved varieties more efficiently through gender access and use of documented germplasm and tools"
137,1,1900-01-01 00:00:00,2200-01-01 00:00:00,137,"CGIAR and Public-private partners, increased multidisciplinary and multi-institutional collaboration"
138,1,1900-01-01 00:00:00,2200-01-01 00:00:00,138,"Crop researchers world wide increased use of novel germplasm and tools for validation, refinement and development of products"
139,1,1900-01-01 00:00:00,2200-01-01 00:00:00,139,"Farmers adopted improved varities in farming systems"
140,1,1900-01-01 00:00:00,2200-01-01 00:00:00,140,"Food and feed producers, and processors increased willingness to become buyers of improved varieties"
141,1,1900-01-01 00:00:00,2200-01-01 00:00:00,141,"Partner breeding teams, improved ecchange and utilization of germplasm and data, including disease and pest diagnosis and managmeent"
142,1,1900-01-01 00:00:00,2200-01-01 00:00:00,142,"Partner breeding teams. Improved breeding processes by adoptiong new technologies methodologies, approach and genetic resources"
143,1,1900-01-01 00:00:00,2200-01-01 00:00:00,143,"Seed systems specialists, increased uptake of improved varieties for deployment"
144,1,1900-01-01 00:00:00,2200-01-01 00:00:00,144,"NARS increased use of participatory approach in system research"
145,1,1900-01-01 00:00:00,2200-01-01 00:00:00,145,"Private sector (and public sector) increased provision of services to smallholder farmers to increased their ability to adopt SI practices and products"
146,1,1900-01-01 00:00:00,2200-01-01 00:00:00,146,"Smallholder farmers adopted and adapted SI practices and products"
147,1,1900-01-01 00:00:00,2200-01-01 00:00:00,147,"Smallholder farmers increased their capacity to adopt and adapt SI practices and produts (associated with crosscutting sub-IDO)"
148,1,1900-01-01 00:00:00,2200-01-01 00:00:00,148,"Budget allocations for agricultural research exceed projections of the 20122016 trend in 5 CGIAR countries of collaboration (includes capacity development)"
149,1,1900-01-01 00:00:00,2200-01-01 00:00:00,149,"Foresight models and results are used by 12 regional and national research organizations or government agencies in Africa, Asia and Latin America and global development organizations as inputs to their priority-setting (includes capacity development)"
150,1,1900-01-01 00:00:00,2200-01-01 00:00:00,150,"In 3 CGIAR countries of collaboration, adoption of selected promising technologies and management practices is 20% above counterfactual without supportive technology dissemination innovations and policies (includes capacity development)"
151,1,1900-01-01 00:00:00,2200-01-01 00:00:00,151,"Studies on policies, regulations, and investment in support of agricultural science, technology, and innovation are used by key government entities in 3 CGIAR countries of collaboration (includes capacity development)"
152,1,1900-01-01 00:00:00,2200-01-01 00:00:00,152,"Agricultural growth and rural incomes are increased (above counterfactual trend) in 3 CGIAR countries of collaboration implementing evidence-based policies and/or public expenditure allocations (includes capacity development)"
153,1,1900-01-01 00:00:00,2200-01-01 00:00:00,153,"Governments in at least 3 CGIAR countries of collaboration use empirical evidence and quantitative methods to modify their allocation of public resource towards better targeted investments favoring inclusive agricultural growth and rural transformation (includes capacity development)"
