pk_id_publication_info,version,date_from,date_to,id,"title","citation","Journal",year,"authors",is_ISI_journal,is_open_access,"pk","volume","issue","pages","DOI","Handle","deliverable_group"
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1096,"Gendered reporting of household dynamics in the Kenyan dairy sector: Trends and implications for low emissions dairy development","Tavenner, K., Fraval, S., Omondi, I. and Crane, T. A. 2018. Gendered reporting of household dynamics in the Kenyan dairy sector: Trends and implications for low emissions dairy development. Gender, Technology and Development 22(1): 1-19","Agriculture and Human Values",2018,"Tavenner Katie,Fraval Simon,Omondi Immaculate A.,Crane Todd A.",1,0,"1096_56","2018","1","1-19","https://doi.org/10.1080/09718524.2018.1449488","http://hdl.handle.net/10568/92520","1096"
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1192,"Co-design and assessment of mitigation practices in rice production systems: A case study in northern Vietnam","Tariq, A., de Neergaard, A., Stoumann Jensen, L., Sander, B.O. , Trinh, M.V., Vu, Q.D., Wassmann, R., de Tourdonnet, S. (2018) Co-design and assessment of mitigation practices in rice production systems: A case study in northern Vietnam, Agric Syst, 167, 72-82","Agricultural Systems",2018,"Tariq Azeem,de Neergaard Andreas,Jensen Lars Stoumann,Sander Bjoern Ole,Trinh Mai Van ,Vu Quynh Duong,Wassmann Reiner,de Tourdonnet Stephane",1,0,"1192_56","167","N/A","72-82","https://doi.org/10.1016/j.agsy.2018.08.012",,"A05-4016"
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1193,"Site-specific feasibility of alternate wetting and drying as a greenhouse gas mitigation option in irrigated rice fields in Southeast Asia: a synthesis","Agnes Tirol-Padre, Kazunori Minamikawa, Takeshi Tokida, Reiner Wassmann
& Kazuyuki Yagi (2018) Site-specific feasibility of alternate wetting and drying as a greenhouse
gas mitigation option in irrigated rice fields in Southeast Asia: a synthesis, Soil Science and Plant
Nutrition, 64:1, 2-13","Soil Science and Plant Nutrition",2018,"Tirol-Padre Agnes,Minamikawa Kazunori ,Tokida Takeshi ,Wassmann Reiner ,Yagi Kazuyuki ",1,1,"1193_56","64","1","2-13","https://doi.org/10.1080/00380768.2017.1409602",,"A05-4034"
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1400,"Conservation agriculture and precision nutrient management practices in maize-wheat system: Effects on crop and water productivity and economic profitability","Jat RD, Jat HS, Nanwal RK, Yadav AK, Bana A, Choudhary KM, Kakraliya SK, Sutaliya JM, Sapkota TB, Jat ML. 2018. Conservation agriculture and precision nutrient management practices in maize-wheat system: Effects on crop and water productivity and economic profitability. Field Crops Research 222:110-120.","Field Crops Research/Elsevier",2018,"Jat RD,Jat HS,Nanwal RK,Yadav AK,Bana Anil,Choudhary KM,Kakraliya S.K.,Sutaliya Jhabar Mal,Sapkota Tek B.,Jat Mangi Lal",1,0,"1400_56","222","N/A","111-120","https://doi.org/10.1016/j.fcr.2018.03.025","https://hdl.handle.net/10568/100296","1400"
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1862,"Prospect for increasing grain legume crop production in East Africa","Loon, M.P. van, Deng, N., Grassini, P., Edreira, J.I.R., Wolde-meskel, E., Baijukya, F., Marrou, H. and Ittersum, M.K. van. 2018. Prospect for increasing grain legume crop production in East Africa. European Journal of Agronomy 101: 140-148","European Journal of Agronomy",2018,"Loon M.P. van,Deng N.,Grassini P.,Edreira J.I.R.,Woldemeskel Endalkachew,Baijukya F.,Marrou H.,Ittersum M.K. van",1,1,"1862_56","101","101","140-148","https://doi.org/10.1016/j.eja.2018.09.004","https://hdl.handle.net/10568/98584","1862"
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1914,"Farmers’ Willingness to Pay for Climate Information Services: Evidence from Cowpea and Sesame Producers in Northern Burkina Faso","Ouédraogo M, Barry S, Zougmoré RB, Partey ST, Somé L, Baki G. 2018. Farmers’ Willingness to Pay for Climate Information Services: Evidence from Cowpea and Sesame Producers in Northern Burkina Faso. Sustainability","Sustainability",2018,"Ouedraogo Mathieu,Barry Silamana,Zougmoré Robert B.,Partey Samuel T.,Somé Léopold,Baki Gregoire",1,1,"1914_56","10","3","611","http://dx.doi.org//10.3390/su10030611","http://hdl.handle.net/10568/91212","1914"
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1917,"Developing climate-smart agriculture to face climate variability in West Africa: challenges and lessons learnt","Partey, Samuel T. , Zougmoré, Robert B., Ouédraogo, Mathieu, Campbell, Bruce M. 2018. Developing climate-smart agriculture to face climate variability in West Africa: challenges and lessons learnt, Journal of cleaner Production, 187: 285-295  .","Journal of Cleaner Production",2018,"Partey Samuel T.,Zougmoré Robert B.,Ouédraogo Mathieu,Campbell Bruce M.",1,1,"1917_56","187","N/A","285-295","https://doi.org/10.1016/j.jclepro.2018.03.199","http://hdl.handle.net/10568/91938","1917"
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1949,"Plant genetic resources for food and agriculture: opportunities and challenges emerging from the science and information technology revolution","Halewood, M.; Chiurugwi, T.; Sackville Hamilton, R.; Kurtz, B.; Marden, E.; Welch, E.; Michiels, F.; Mozafari, J.; Sabran, M.; Patron, N.; Kersey, P.; Bastow, R.; Dorius, S.; Dias, S.; McCouch, S.; Powell, W. (2018) Plant genetic resources for food and agriculture: opportunities and challenges emerging from the science and information technology revolution. New Phytologist Vol.217(4), p. 1407-1419 ISSN: 1469-8137","New Phytologist",2018,"Halewood M.,Chiurugwi T.,Sackville Hamilton R.,Kurtz B.,Marden E.,Welch E.,Michiels F.,Mozafari J.,Sabran M.,Patron N.,Kersey P.,Bastow R.,Dorius S.,Dias S.,McCouch S.,Powell W.",1,1,"1949_56","217","4","1407-1419","https://doi.org/10.1111/nph.14993","http://hdl.handle.net/10568/92407","A05-4051"
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1987,"Farm-level and community aggregate economic impacts of adopting climate smart agricultural practices in three mega environments","Lan, Le; Sain, Gustavo; Czaplicki, Stanislaw; Guerten, Nora; Shikuku, Kelvin Mashisia; Grosjean, Godefroy & Läderach. Peter. (2018). Farm-level and community aggregate economic impacts of adopting climate smart agricultural practices in three mega environments. PLoS ONE,  13(11): e0207700.","PLoS ONE",2018,"Lan Le,Sain Gustavo,Czaplicki Stanislaw,Guerten Nora,Shikuku Kelvin Mashisia,Grosjean Godefroy, Läderach. Peter",1,1,"1987_56","13","11","e0207700","https://doi.org/10.1371/journal.pone.0207700","https://hdl.handle.net/10568/98274","1987"
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2069,"Identifying high-yield low-emission pathways for the cereal production in South Asia","Sapkota TB, Aryal JP, Khatri-Chhetri A, Shirsath PB, Arumugam P, Stirling CM. 2017.  Identifying high-yield low-emission pathways for the cereal production in South Asia. Mitigation and Adaptation Strategies for Global Change 1-21.","Mitigation and Adaptation Strategies for Global Change",2018,"Sapkota Tek,Aryal Jeetendra P.,Khatri-Chhetri Arun,Shirsath Paresh B.,Arumugam Ponraj,Stirling Clare M.",1,1,"2069_56"," 23"," 4"," 621–641","https://dx.doi.org/10.1007/s11027-017-9752-1","https://hdl.handle.net/10568/83009","2069"
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2074,"Is agricultural adaptation to global change in lower-income countries on track to meet the future food production challenge?","Thornton PK, Kristjanson P, Förch W, Barahona C, Cramer L, Pradhan S. 2018. Is agricultural adaptation to global change in lower-income countries on track to meet the future food production challenge? Global Environmental Change 52:37-48.","Global Environmental Change",2018,"Thornton Philip K.,Kristjanson Patricia,Förch Wiebke,Barahona Carlos,Cramer Laura,Pradhan Sonali",1,1,"2074_56","52","N/A","37-48","https://doi.org/10.1016/j.gloenvcha.2018.06.003","https://hdl.handle.net/10568/93372","2074"
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2092,"National contributions to climate change mitigation from agriculture: allocating a global target","Richards MB, Wollenberg E, van Vuuren D. 2018. National contributions to climate change mitigation from agriculture: allocating a global target. Climate Policy.","Climate Policy",2018,"Richards Meryl,Wollenberg Eva K.,van Vuuren Detlef",1,1,"2092_56","18","10","1271-1285","https://doi.org/10.1080/14693062.2018.1430018","http://hdl.handle.net/10568/91199","2092"
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2094,"Which agroforestry options give the greatest soil and above ground carbon benefits in different world regions?","Feliciano D, Ledo A, Hillier J, Nayak DR. 2018. Which agroforestry options give the greatest soil and above ground carbon benefits in different world regions? Agriculture, Ecosystems & Environment 245:117-129.","Agriculture, Ecosystems & Environment",2018,"Feliciano Diana,Ledo Alicia,Hillier Jon,Nayak Dali Rani",1,1,"2094_56","254","N/A","117-129","https://doi.org/10.1016/j.agee.2017.11.032","https://hdl.handle.net/10568/90575","2094"
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2104,"‘Triple wins’ or ‘triple faults’? Analysing the equity implications of policy discourses on climate-smart agriculture (CSA)","Karlson L, Naess LO, Nightingale A, Thompson J. 2018.‘Triple wins’ or ‘triple faults’? Analysing the equity implications of policy discourses on climate-smart agriculture (CSA). Journal of Peasant Studies 45 (1):150-174.","Journal of Peasant Studies",2018,"Karlsson Linus,Naess Lars Otto,Nightingale Andrea,Thompson John",0,0,"2104_56","45","1","150-174","https://doi.org/10.1080/03066150.2017.1351433","http://hdl.handle.net/10568/90536","2104"
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2149,"Determinants of farmers’ adaptation to climate change in agricultural production in the central region of Vietnam","Trinh TQ, Rañola RF, Camacho LD, Simelton E. 2018. Determinants of farmers’ adaptation to climate change in agricultural production in the central region of Vietnam. Land Use Policy 70:224-231.","Land Use Policy  ",2018,"Trinh Thoai Quang,Rañola Roberto F.,Camacho Leni D.,Simelton Elisabeth",1,0,"2149_56","70","N/A","224-231","https://doi.org/10.1016/j.landusepol.2017.10.023","https://hdl.handle.net/10568/100713","2149"
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2201,"Scaling up climate services for smallholder farmers: Learning from practice","van Huysen T, Hansen J, Tall A. 2018. Scaling up climate services for smallholder farmers: Learning from practice. Climate Risk Management 22:1-3.","Climate Risk Management/Elsevier",2018,"van Huysen Tiff,Hansen James,Tall Arame",1,1,"2201_56","22","N/A","1-3","https://doi.org/10.1016/j.crm.2018.10.002","https://hdl.handle.net/10568/100265","2201"
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2257,"Beyond the plot: technology extrapolation domains for scaling out agronomic science","Edreira, J.I.R., Cassman, K.G., Hochman, Z., van Ittersum, M., van Bussel, L.G., Claessens, L. & Grassini, P. (2018). Beyond the plot: technology extrapolation domains for scaling out agronomic science. Environmental Research Letters, 13(5), 1-9.","Environmental Research Letters",2018,"Edreira J.I.R.,Cassman K.G.,Hochman Z.,van Ittersum M.K.,van Bussel L.,Claessens L.,Grassini P.",1,1,"2257_56","13","5","054027","http://dx.doi.org/10.1088/1748-9326/aac092","https://hdl.handle.net/10568/92901","2257"
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2323,"Pathways from women's group-based programs to nutrition change in South Asia: A conceptual framework and literature review","Kumar, Neha; Scott, Samuel; Menon, Purnima; Kannan, Samyuktha; Cunningham, Kenda; Raghunathan, Kalyani; Quisumbing, Agnes R.; et al. 2018. Pathways from women's group-based programs to nutrition change in South Asia: A conceptual framework and literature review. Global Food Security 17(June 2018) : 172-185. https://doi.org/10.1016/j.gfs.2017.11.002","Global Food Security",2018,"Kumar Neha,Scott Samuel,Menon Purnima,Raghunathan Kalyani,Quisumbing Agnes",1,1,"2323_59","17",,"172-185","https://doi.org/10.1016/j.gfs.2017.11.002",,"2323"
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2351,"Can governments promote homestead gardening at scale? Evidence from Ethiopia","Hirvonen, Kalle; and Headey, Derek. 2018. Can governments promote homestead gardening at scale? Evidence from Ethiopia. Global Food Security 19(December 2018): 40-47. https://doi.org/10.1016/j.gfs.2018.09.001","Global Food Security",2018,"Hirvonen Kalle,Headey Derek",1,1,"2351_59","19",,"40-47","https://doi.org/10.1016/j.gfs.2018.09.001",,"A05-4025"
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2354,"Seasonal variation in the proximal determinants of undernutrition during the first 1000 days of life in rural South Asia: A comprehensive review","Madan, Emily M.; Haas, Jere D.; Menon, Purnima; and Gillespie, Stuart. 2018. Seasonal variation in the proximal determinants of undernutrition during the first 1000 days of life in rural South Asia: A comprehensive review. Global Food Security 19(December 2018): 11-23. https://doi.org/10.1016/j.gfs.2018.08.008","Global Food Security",2018,"Menon Purnima,Gillespie Stuart",1,1,"2354_59","19",,"11-23","https://doi.org/10.1016/j.gfs.2018.08.008",,"2354"
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2513,"The impact of reducing dietary aflatoxin exposure on child linear growth: A cluster randomised controlled trial in Kenya","Hoffmann, Vivian; Jones, Kelly M.; Leroy, Jef L. 2018. The impact of reducing dietary aflatoxin exposure on child linear growth: A cluster randomised controlled trial in Kenya. BMJ Global Health 3(6): 3:e000983. http://dx.doi.org/10.1136/bmjgh-2018-000983","BMJ Global Health ",2018,"Hoffmann Vivian,Leroy Jef",1,1,"2513_59","3","6","e000983","http://dx.doi.org/10.1136/bmjgh-2018-000983",,"2513"
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2523,"Research and training partnership to assist policy and capacity building in improving food safety in Vietnam","Hung Nguyen-Viet, Grace, D., Phuc Pham-Duc, Sinh Dang-Xuan, Toan Luu-Quoc, Unger, F., Vlieger, S. de, Ngoc Pham-Thi, Nhiem Duong-Van, Long Nguyen-Hung, Luan Tran-Dinh and Tran Thi Tuyet-Hanh. 2018. Research and training partnership to assist policy and capacity building in improving food safety in Vietnam. Global Food Security 19: 24–30.","Global Food Security",2018," Hung Nguyen-Viet,Grace Delia, Phuc Pham-Duc, Sinh Dang-Xuan, Toan Luu-Quoc,Unger Fred,Vlieger S. de, Ngoc Pham-Thi, Nhiem Duong-Van, Long Nguyen-Hung, Luan Tran-Dinh, Tran Thi Tuyet-Hanh",1,1,"2523_59","19",,"24-30","https://doi.org/10.1016/j.gfs.2018.08.009","https://hdl.handle.net/10568/97460","2523"
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3106,"Heterotic affinity and combining ability of exotic maize inbred lines for resistance to aflatoxin accumulation","Meseka, S., Williams, W.P., Warburton, M.L., Brown, R.L., Augusto, J., Ortega-Beltran, A., ... & Menkir, A. (2018). Heterotic affinity and combining ability of exotic maize inbred lines for resistance to aflatoxin accumulation. Euphytica, 214(10):184, 1-15.","Euphytica",2018,"Meseka S.,Williams W.P.,Warburton M.L.,Brown R.L.,Augusto J.,Ortega-Beltran A.,Bandyopadhyay Ranajit,Menkir A.",1,1,"3106_59","214","10","1-15","https://dx.doi.org/10.1007/s10681-018-2254-8","https://hdl.handle.net/10568/97756","3106"
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3116,"Are food animals responsible for transfer of antimicrobial-resistant Escherichia coli or their resistance determinants to human populations? A systematic review","Muloi, D., Ward, M.J., Pedersen, A.B., Fèvre, E.M., Woolhouse, M.E.J. and Bunnik, B.A.D. van. 2018. Are food animals responsible for transfer of antimicrobial-resistant Escherichia coli or their resistance determinants to human populations? A systematic review. Foodborne Pathogens and Disease 15(8): 467–474.","Foodborne Pathogens and Disease",2018,"Muloi D.,Ward M.J.,Pedersen A.B.,Fèvre Eric M.,Woolhouse M.E.J.,Bunnik B.A.D. van",1,1,"3116_59","15","8","467-474","https://doi.org/10.1089/fpd.2017.2411","https://hdl.handle.net/10568/92516","3116"
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3140,"Bovine brucellosis: Prevalence, risk factors, economic cost and control options with particular reference to India – a review","Deka, R.P., Magnusson, U., Grace, D. and Lindahl, J. 2018. Bovine brucellosis: prevalence, risk factors, economic cost and control options with particular reference to India – a review. Infection Ecology & Epidemiology 8(1): 1555448.","Infection Ecology & Epidemiology",2018,"Deka Ram Pratim,Magnusson U.,Grace Delia,Lindahl Johanna F.",1,1,"3140_59","8","1","1556548","https://doi.org/10.1080/20008686.2018.1556548","https://hdl.handle.net/10568/99034","A05-4040"
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3199,"Nutrient and aflatoxin contents of traditional complementary foods consumed by children of 6–24 months","Alamu, E.O., Gondwe, T., Akello, J., Sakala, N., Munthali, G., Mukanga, M. & Maziya‐Dixon, B. (2018). Nutrient and aflatoxin contents of traditional complementary foods consumed by children of 6–24 months. Food Science & Nutrition, 1-9.","Food Science & Nutrition",2018,"Alamu E.O.,Gondwe T.N.P.,Akello J.,Sakala N.,Munthali G.,Mukanga M.,Maziya-Dixon B.",1,1,"3199_59","6","4","834-842","http://dx.doi.org/10.1002/fsn3.621","https://hdl.handle.net/10568/92993","3199"
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3281,"Increasing sensitivity of methane emission measurements in rice through deployment of ‘closed chambers’ at nighttime","Wassmann R, Alberto MC, Tirol-Padre A, Hoang NT, Romasanta R, Centeno CA, Ole Sander B. 2018. Increasing sensitivity of methane emission measurements in rice through deployment of ‘closed chambers’ at nighttime. PLoS ONE 13(2).","Public Library of Science (PLoS)",2018,"Wassmann Reiner,Alberto Ma. Carmelita,Tirol-Padre Agnes,Hoang Nghia Trong,Romasanta Ryan,Ole Sander Bjoern",1,1,"3281_56","13","2","e0191352","https://doi.org/10.1371/journal.pone.0191352","https://hdl.handle.net/10568/98235","A05-4055"
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4206,"Epidemiological investigations of contagious caprine pleuropneumonia in selected districts of Borana zone, Southern Oromia, Ethiopia","Teshome, D., Sori, T., Sacchini, F. and Wieland, B. 2018. Epidemiological investigations of contagious caprine pleuropneumonia in selected districts of Borana zone, Southern Oromia, Ethiopia. Tropical Animal Health and Production","Tropical Animal Health and Production",2018,"Teshome Dereje,Sori Teshale,Sacchini Flavio,Wieland Barbara",1,1,"4206_60","51","3","703-711","https://doi.org/10.1007/s11250-018-1744-y","https://hdl.handle.net/10568/98245","4206"
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4325,"Agricultural intensification scenarios, household food availability and greenhouse gas emissions in Rwanda: Ex-ante impacts and trade-offs","Paul, Birthe; Frelat, R.; Birnholz, Celine; Ebong, C.; Gahigi, A.; Groot, J.C.J.; Herrero, M.; Kagabo, Decire; Notenbaert, An; Vanlauwe, B.; Van Wijk, M.T.. 2017. Agricultural intensification scenarios, household food availability and greenhouse gas emissions in Rwanda: Ex-ante impacts and trade-offs . Agricultural Systems.1-11 p.","Agricultural Systems",2018,"Paul Birthe K.,Frelat Romain,Birnholz Celine,Ebong Cyprian,Gahigi A.,Groot Jeroen C.J.,Herrero Mario T.,Kagabo Desire M.,Notenbaert An Maria Omer,Vanlauwe Bernard,Wijk Mark T. van",1,1,"4325_60","163",,"16-26","http://dx.doi.org/10.1016/j.agsy.2017.02.007","https://hdl.handle.net/10568/80193","4325"
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4437,"Aflatoxin awareness and Aflasafe adoption potential of Nigerian smallholder maize farmers","Johnson, A.M., Fulton, J.R., Abdoulaye, T., Ayedun, B., Widmar, N.J.O., Akande, A., ... & Manyong, V. (2018). Aflatoxin awareness and Aflasafe adoption potential of Nigerian smallholder maize farmers. World Mycotoxin Journal, 1-10.","World Mycotoxin Journal",2018,"Johnson A.M.,Fulton J.R.,Abdoulaye T.,Ayedun B.,Widmar N.J.O.,Akande A.,Bandyopadhyay Ranajit,Manyong Victor M.",1,1,"4437_59","11","3","437-446","http://dx.doi.org/10.3920/wmj2018.2345","https://hdl.handle.net/10568/97529","4437"
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4728,"Genomic selection and use of molecular tools in breeding programs for indigenous and crossbred cattle in developing countries: Current status and future prospects","Mrode, R., Ojango, J.M.K., Okeyo, A.M. and Mwacharo, J.M. 2019. Genomic selection and use of molecular tools in breeding programs for indigenous and crossbred cattle in developing countries: Current status and future prospects. Frontiers in Genetics 9: 694","Frontiers in Genetics",2018,"Mrode Raphael A.,Ojango Julie M.K.,Okeyo Mwai Ally,Mwacharo Joram M.",1,1,"4728_60","9","9","694","https://dx.doi.org/10.3389/fgene.2018.00694","https://hdl.handle.net/10568/99375","4728"
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4781,"Contributions of livestock-derived foods to nutrient supply under changing demand in low- and middle-income countries","Enahoro, D., Lannerstad, M., Pfeifer, C. and Dominguez-Salasa, P. 2018. Contributions of livestock-derived foods to nutrient supply under changing demand in low- and middle-income countries. Global Food Security 19:1–10.","Global Food Security",2018,"Dolapo Enahoro,Mats Lannerstad,Pfeifer Catherine,Domínguez-Salas Paula",1,1,"4781_60","19",,"1-10","https://doi.org/10.1016/j.gfs.2018.08.002","https://hdl.handle.net/10568/97612","A05-4024"
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4795,"The women’s empowerment in livestock index","Galiè, A., Teufel, N., Korir, L., Baltenweck, I., Girard, A.W., Domínguez-Salas, P. and Yount, K.M. 2018. The women’s empowerment in Livestock Index. Social Indicators Research.","Social Indicators Research",2018,"Galiè Alessandra,Teufel Nils,Korir L.,Baltenweck Isabelle,Girard A.W.,Domínguez-Salas Paula,Yount K.M.",1,1,"4795_60","1","May 2018","1-27","https://doi.org/10.1007/s11205-018-1934-z","https://hdl.handle.net/10568/97910","4795"
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4797,"The effect of participation in a pro-poor dairy development project on milk consumption among reproductive age women in rural Tanzania","Mishkin, K., Raskind, I., Dominguez-Salas, P., Baltenweck, I., Omore, A. and Girard, Webb A. 2018. The effect of participation in a pro-poor dairy development project on milk consumption among reproductive age women in rural Tanzania. African Journal of Food, Agriculture, Nutrition and Development 18(1): 12992–13008.","African Journal of Food, Agriculture, Nutrition and Development",2018,"Mishkin K.,Raskind I.,Domínguez-Salas Paula,Baltenweck Isabelle,Omore Amos O.,Girard Webb A.",0,1,"4797_60","18","1","12992-13008","https://dx.doi.org/10.18697/ajfand.81.17200","https://hdl.handle.net/10568/92400","A05-4067"
