pk_id_powb_milestone,version,date_from,date_to,id,"pk","title"
83,1,1900-01-01 00:00:00,2200-01-01 00:00:00,83,"83_372","CGIAR contributions to four intergovernmental meetings under the rubric of the CBD/Nagoya Protocol and the ITPGRFA."
84,1,1900-01-01 00:00:00,2200-01-01 00:00:00,84,"84_277","Tools are developed and open accessible to assess multidimensional value chain outcome preferences of stakeholders in agrifood systems. At least 50 NARS partners in eight target countries are trained in applying tools."
85,1,1900-01-01 00:00:00,2200-01-01 00:00:00,85,"85_277","Expanded foresight and ex-ante evaluation of GLDC research and technology options conducted and preliminary results shared on the potential poverty reduction impacts"
86,1,1900-01-01 00:00:00,2200-01-01 00:00:00,86,"86_277","Diversity of farm household preferences vis-a-vis market demand by context outlined in view of research in GLDC"
87,1,1900-01-01 00:00:00,2200-01-01 00:00:00,87,"87_277","Inclusive and equitable innovation system for accelerating impacts for women and young people designed and piloted underlying design principles proven"
88,1,1900-01-01 00:00:00,2200-01-01 00:00:00,88,"88_277","Evaluation designed and implementation underway to evaluate current GLDC scaling approaches & associated impact evidence"
89,1,1900-01-01 00:00:00,2200-01-01 00:00:00,89,"89_277","Tools are developed and open accessible to assess multidimensional value chain outcome preferences of stakeholders in agrifood systems. At least 50 NARS partners in eight target countries are trained in applying tools."
90,1,1900-01-01 00:00:00,2200-01-01 00:00:00,90,"90_277","Dryland cereals and legumes postharvest and commercial technologies available in the market and linked to seed systems in FP3"
91,1,1900-01-01 00:00:00,2200-01-01 00:00:00,91,"91_277","Analytical decision support tools developed for analyzing institutional frameworks related to GLDC value chains. At least 50 NARS partners in eight target countries are trained in applying tools"
92,1,1900-01-01 00:00:00,2200-01-01 00:00:00,92,"92_277","Map out areas suitable for crop diversification using GIS. Participatory field trials under smallholder conditions to evaluate the different cropping systems under different environments in different countries for farmers with landholdings less than 1 ha"
93,1,1900-01-01 00:00:00,2200-01-01 00:00:00,93,"93_277","Pest and diseases management components for the target pests in different regions fine-tuned"
94,1,1900-01-01 00:00:00,2200-01-01 00:00:00,94,"94_277","Efficiency of nutrients and water improved"
95,1,1900-01-01 00:00:00,2200-01-01 00:00:00,95,"95_277","Portfolios of household activities, enterprises and management practices that materially and equitably enhance livelihoods (as defined at sub- IDO level) while minimizing negative externalities"
96,1,1900-01-01 00:00:00,2200-01-01 00:00:00,96,"96_277","Breeding lines from Phase I of the CRP being tested by NARS and CGIAR - 9 crops X 3 trait clusters X 2 regions advanced."
97,1,1900-01-01 00:00:00,2200-01-01 00:00:00,97,"97_277","Studies conducted to inform the seed systems strengthening areas for target cereals and legumes - at least 1 study per crop x agrifood systems x region."
98,1,1900-01-01 00:00:00,2200-01-01 00:00:00,98,"98_277","Prioritization of 2 traits in one crop for pre-breeding and identification of germplasm and cultivars to initiate pre-breeding"
99,1,1900-01-01 00:00:00,2200-01-01 00:00:00,99,"99_277","Germplasm reference sets, other germplasm sets, mapping populations assembled and traits prioritized for discovery research in 3 legumes and 3 cereals"
100,1,1900-01-01 00:00:00,2200-01-01 00:00:00,100,"100_277","All GLDC trait discovery programs migrate data to IBP, BMS, GOBII to manage genotypic and phenotypic data."
101,1,1900-01-01 00:00:00,2200-01-01 00:00:00,101,"101_30","Environmental suitability maps for sheep, goat and chicken available for Ethiopia by end of 2018"
102,1,1900-01-01 00:00:00,2200-01-01 00:00:00,102,"102_30","Availability of zebu x taurine admixture SNPs chips for screening of dairy cattle crossbreed in Ethiopia and Tanzania by August 2018"
103,1,1900-01-01 00:00:00,2200-01-01 00:00:00,103,"103_30","Development of a business model for the delivery and improvement of chicken relevant to Ethiopia, Tanzania and Nigeria, by end of 2018"
104,1,1900-01-01 00:00:00,2200-01-01 00:00:00,104,"104_30","Publication of a study reporting how gender dynamics may affect genetics interventions and what institutional arrangements may help ensure gender equitable outcomes of genetics interventions by August 2018"
105,1,1900-01-01 00:00:00,2200-01-01 00:00:00,105,"105_30","Guidelines established on institutional arrangements needed for certification of breeding rams/bucks by August 2018"
106,1,1900-01-01 00:00:00,2200-01-01 00:00:00,106,"106_30","A gender-sensitive assessment tool for identifying disease priorities in CRP sites available in the public domain by the end of 2018"
107,1,1900-01-01 00:00:00,2200-01-01 00:00:00,107,"107_30","Tool to determine herd health packages for the pig value chain in Uganda developed by the end of 2018"
108,1,1900-01-01 00:00:00,2200-01-01 00:00:00,108,"108_30","Availability and use of antimicrobials and Knowledge, Attitudes and Practices regarding AMR recorded among smallholders in the small ruminant (Ethiopia) and pig (Vietnam and Uganda) value chains by September 2018"
109,1,1900-01-01 00:00:00,2200-01-01 00:00:00,109,"109_30","Down selection of ECF, CBPP, CCPP vaccine antigens and vaccination methods"
110,1,1900-01-01 00:00:00,2200-01-01 00:00:00,110,"110_30","Two novel delivery models of animal health services and products and cap dev/training methods tested in collaboration with partners in Kenya, Tanzania, Ethiopia and Mali by the end of 2018"
111,1,1900-01-01 00:00:00,2200-01-01 00:00:00,111,"111_30","Research and development partners, decision makers and input suppliers use at least 2 tools designed or promoted by the CRP (e.g. Legume CHOICE) for regional and national feed supply and demand scenarios in 2 priority countries (Vietnam, Ethiopia) by December 2018"
112,1,1900-01-01 00:00:00,2200-01-01 00:00:00,112,"112_30","1 Urochloa hybrid commercialized by the private sector in at least 1 country and already available forage hybrids scaled with private sector partner in at least 15 countries on 100,000 hectares by the end of 2018"
113,1,1900-01-01 00:00:00,2200-01-01 00:00:00,113,"113_30","3 forage ontologies established and accessible (through reports and publications) to research partners and the private sector to advance selection and breeding of forages"
114,1,1900-01-01 00:00:00,2200-01-01 00:00:00,114,"114_30","At least 2 tools developed for increasing productivity while reducing feed and labor costs, considering gender-responsiveness and scalability for 1 priority country (Ethiopia) and 2 further countries (India, Malawi) by December 2018"
115,1,1900-01-01 00:00:00,2200-01-01 00:00:00,115,"115_30","6 feed/seed business approaches developed in at least 3 countries (Tunisia, Kenya, Colombia/Nicaragua) by end of 2018"
116,1,1900-01-01 00:00:00,2200-01-01 00:00:00,116,"116_30","Exchange with Innovation Platforms, Roundtables and private sector around feed, forage and processing technologies consolidated (e.g. through meetings, workshops, fairs, information events) in at least 3 countries (Tunisia, Kenya, Colombia) by the end of 2018"
117,1,1900-01-01 00:00:00,2200-01-01 00:00:00,117,"117_30","GHG baseline emissions are published for Kenya and Vietnam by the end of 2018"
118,1,1900-01-01 00:00:00,2200-01-01 00:00:00,118,"118_30","Three forage intensification options adapted to climate change are disseminated in Tanzania, Kenya and Ethiopia by the end of 2018"
119,1,1900-01-01 00:00:00,2200-01-01 00:00:00,119,"119_30","Five sustainable rangelands interventions in Kenya, Tanzania, Tunisia and Ethiopia are identified, tested and disseminated to livestock producers by the end of 2018"
120,1,1900-01-01 00:00:00,2200-01-01 00:00:00,120,"120_30","Tools to enhance gender inclusion in environmental management identified: four tools identified by end of 2018 across five types of sustainable land management projects, based on a global review"
121,1,1900-01-01 00:00:00,2200-01-01 00:00:00,121,"121_30","National environmental policy for Tunisia completed by the end of 2018"
122,1,1900-01-01 00:00:00,2200-01-01 00:00:00,122,"122_30","Livestock Master Plans completed in Bihar and Tanzania by December 2018"
123,1,1900-01-01 00:00:00,2200-01-01 00:00:00,123,"123_30","Scenarios and modeling approaches agreed upon for integrated macro-meso analyses"
124,1,1900-01-01 00:00:00,2200-01-01 00:00:00,124,"124_30","Benchmark publication on gender and livestock to identify frontiers in research and development published by December 2018"
125,1,1900-01-01 00:00:00,2200-01-01 00:00:00,125,"125_30","Finalised version of the WELI produced by September 2018"
126,1,1900-01-01 00:00:00,2200-01-01 00:00:00,126,"126_30","Social and Behavioural Change Communication (SBCC) strategy for nutrition-related behaviour implemented among 5,000 households, (in Kenya targeted particularly at children 6-23 months and women) by October 2018"
127,1,1900-01-01 00:00:00,2200-01-01 00:00:00,127,"127_30","AVCD and EADD projects dairy - Livestock communities in Kenya, Tanzania and Uganda apply tested feed, health and breeding technologies and/or management strategies (over 140,000 households combined: 78,000 in Kenya, 26,000 in Tanzania and 36,000 in Uganda) by December 2018"
128,1,1900-01-01 00:00:00,2200-01-01 00:00:00,128,"128_30","AVCD and EADD dairy- livestock communities in Kenya, Tanzania and Uganda apply tested organizational and business models among over 133,000 households combined"
129,1,1900-01-01 00:00:00,2200-01-01 00:00:00,129,"129_33","MAIZE AFS studies completed in relation to: 1. Foresight and targeting; 2. Adoption and impact; 3. Gender and social inclusiveness; and 4. Markets and value chain opportunities"
130,1,1900-01-01 00:00:00,2200-01-01 00:00:00,130,"130_33","Improved efficiency of maize doubled haploid (DH) technology"
131,1,1900-01-01 00:00:00,2200-01-01 00:00:00,131,"131_33","Greater number (compared to previous year) of breeder-ready markers/high-value haplotypes for prioritized traits identified and validated (under FP2) and deployed in MAIZE breeding programs (FP3)"
132,1,1900-01-01 00:00:00,2200-01-01 00:00:00,132,"132_33","Donor germplasm with desirable stover quality, kernel carotenoid stability and processing properties identified and shared with partners in target countries."
133,1,1900-01-01 00:00:00,2200-01-01 00:00:00,133,"133_33","Multiple stress tolerant MAIZE hybrids (with MLN resistance) replace at least 5 dominant but 15+ year old maize varieties in MLN-endemic countries in eastern Africa; At least 20% yield advantage under heat stress in Stage 4 hybrids cohort relative to popular commercial hybrids grown in the spring season in South Asia."
134,1,1900-01-01 00:00:00,2200-01-01 00:00:00,134,"134_33","Improved efficiency of maize doubled haploid (DH) technology"
135,1,1900-01-01 00:00:00,2200-01-01 00:00:00,135,"135_33","Sustainable early-generation seed (breeder, pre-basic, and foundation seed) supply systems promoted, especially in SSA; Deployment of a new seed system management software in regional hubs, linked to institutional phenotypic and genotypic databases, to streamline inventory management, routine QC/QA operations, phytosanitary regulation compliance, and shipment tracking."
136,1,1900-01-01 00:00:00,2200-01-01 00:00:00,136,"136_33","Greater number (compared to previous year) of breeder-ready markers/high-value haplotypes for prioritized traits identified and validated (under FP2) and deployed in MAIZE breeding programs (FP3)"
137,1,1900-01-01 00:00:00,2200-01-01 00:00:00,137,"137_33","Seed production studies across a range of target seed production environments in collaboration with public/private sector partners; Research into the economics of seed production of single-cross and three-way cross"
138,1,1900-01-01 00:00:00,2200-01-01 00:00:00,138,"138_33","Donor germplasm with desirable stover quality, kernel carotenoid stability and processing properties identified and shared with partners in target countries."
139,1,1900-01-01 00:00:00,2200-01-01 00:00:00,139,"139_33","Multiple stress tolerant MAIZE hybrids (with MLN resistance) replace at least 5 dominant but 15+ year old maize varieties in MLN-endemic countries in eastern Africa; At least 20% yield advantage under heat stress in Stage 4 hybrids cohort relative to popular commercial hybrids grown in the spring season in South Asia."
140,1,1900-01-01 00:00:00,2200-01-01 00:00:00,140,"140_33","Seed production studies across a range of target seed production environments in collaboration with public/private sector partners; Research into the economics of seed production of single-cross and three-way cross hybrids in SSA."
141,1,1900-01-01 00:00:00,2200-01-01 00:00:00,141,"141_33","Better understand and model relationship between commercialization / market-oriented production and diversification / productivity increases, for scaling-up purposes, e.g. consider input and output markets"
142,1,1900-01-01 00:00:00,2200-01-01 00:00:00,142,"142_33","Better understand scaling up processes in multi-actor innovation networks, to ensure sustainability of institutional mechanisms, structures"
143,1,1900-01-01 00:00:00,2200-01-01 00:00:00,143,"143_33","Increased adoption of combinations of SI strategies, resource and labour-saving technologies in specific target geographies compared to 2016"
144,1,1900-01-01 00:00:00,2200-01-01 00:00:00,144,"144_33","Increased adoption of combinations of SI strategies, technologies in specific target geographies compared to previous year"
145,1,1900-01-01 00:00:00,2200-01-01 00:00:00,145,"145_27","Studies on impacts from increased investment and capacity in national agricultural research are used to support two regional research investments by multilateral donors"
146,1,1900-01-01 00:00:00,2200-01-01 00:00:00,146,"146_27","Increased adoption of combinations of SI strategies, resource and labour-saving technologies in specific target geographies compared to 2 016"
147,1,1900-01-01 00:00:00,2200-01-01 00:00:00,147,"147_27","No milestone in 2018"
148,1,1900-01-01 00:00:00,2200-01-01 00:00:00,148,"148_27","In 3 countries, major constraints to adoption of technology and promising innovations to overcome them are identified with national stakeholders"
149,1,1900-01-01 00:00:00,2200-01-01 00:00:00,149,"149_27","No milestone in 2018"
150,1,1900-01-01 00:00:00,2200-01-01 00:00:00,150,"150_27","Tools and databases on public expenditure are used by policy analysts in 2 global, regional, and national institutes to assess investment options of governments"
151,1,1900-01-01 00:00:00,2200-01-01 00:00:00,151,"151_27","No milestone in 2018"
152,1,1900-01-01 00:00:00,2200-01-01 00:00:00,152,"152_27","Evidence is used to support changes in trade policy and/or regulations with global and regional implications in two instances (cumulative total)"
153,1,1900-01-01 00:00:00,2200-01-01 00:00:00,153,"153_27","No milestone in 2018"
154,1,1900-01-01 00:00:00,2200-01-01 00:00:00,154,"154_27","Use of insurance products developed by PIM expands in 1 country"
155,1,1900-01-01 00:00:00,2200-01-01 00:00:00,155,"155_27","The main distortions or weaknesses in international and national markets and priority interventions for 5 additional major value chains in countries are identified"
156,1,1900-01-01 00:00:00,2200-01-01 00:00:00,156,"156_27","Postharvest losses are assessed for additional commodities and countries, leading to further actions to address major losses in 3 countries"
157,1,1900-01-01 00:00:00,2200-01-01 00:00:00,157,"157_27","New social protection implementation mechanisms are tested in 3 (cumulative total) countries"
158,1,1900-01-01 00:00:00,2200-01-01 00:00:00,158,"158_27","No milestone in 2018"
