pk_id_innovation_info;version;date_from;date_to;project_innovation_id;"title";"narrative";"evidence_link";"gender";"youth";"pdf"
10;1;1900-01-01 00:00:00;2199-12-31 23:59:59;31;"Designing low cost water haresting system for Bundelkhand region and rejuvinating Haveli system";"To over come water scarcity situation of Bundelkhand, traditional water harvesting system called as “haveli system” need to be rejuvenated. A huge earthen bund to be constructed across the stream to join two adjacent hillocks/stream network to impound water during the monsoon";"https://www.researchgate.net/publication/299284809_Impact_of_rainwater_harvesting_structures_on_water_table_behavior_and_groundwater_recharge_in_Parasai-Sindh_watershed_of_Central_India";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=31&phaseID=13"
11;1;1900-01-01 00:00:00;2199-12-31 23:59:59;32;"Voice calls for remote data collection";"ICRAF with WFP and LSHTM evaluated the use of using voice calls over mobile phones to collect data remotely. This innovation reduces the costs of data collection and allows monitoring in difficult to access areas. We tested this on nutrition indicators, it is adaptable to others. ";;"1 - Significant objective";"? - Too early to tell";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=32&phaseID=11"
12;1;1900-01-01 00:00:00;2199-12-31 23:59:59;35;"Silvopastoral systems for degrading lands in the Colombian Amazon";"A silvopastoral system conventional model was modified to suit particular farm characteristics. As a result the conventional silvopastoral systems, with high tree density, existing pastures, and non-native species, was modified by a system that includes native and alien species, improved pastures, trees dispersed or in barriers and short cycle crops.";"https://youtu.be/mson4j-CYSU ";"? - Too early to tell";"1 - Significant objective";"https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=35&phaseID=13"
13;1;1900-01-01 00:00:00;2199-12-31 23:59:59;36;"AloWeather - ICT tool for delivering agroadvisory service to farmers";"Aloweather is a fee-based technical solution that provides locally-relevant, accessible, and actionable weather forecasts and advisories through SMS and voice message interactions. Voice response message from users will improve the concept. Currently, farmers will subscribe to the service and pay for it, however other solutions are possible.  ";"http://sxdaccelerator.care.org/meet-the-teams/cohort-2/aloweather/";"2 - Principal objective";"? - Too early to tell";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=36&phaseID=11"
14;1;1900-01-01 00:00:00;2199-12-31 23:59:59;37;"Systems modelling (whole farm) as decision support evaluating impact of SLM strategies of household cashflows";"Whole-farm  stochastic modelling approach  allowed us to analyze  trade-offs  and outcomes associated with potential farm systems change on simulated farms with varied cropping systems in each of the five selected districts. It provides us contrasting outcomes  in terms of farm household’s cash flows considering modern inputs, labour and market price.";"http://www.icrisat.org/enabling-better-on-farm-decisions-through-systems-modeling-tools/";"2 - Principal objective";"? - Too early to tell";"https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=37&phaseID=13"
15;1;1900-01-01 00:00:00;2199-12-31 23:59:59;39;"Characterization of farms in terms of proximity to the natural state and in terms of their contribution to landscape connectivity";"To achieve this goal, a series of field studies have been carried out by surveying several aspects such as biodiversity, agricultural practices, environmental quality and  cultural aspects. The outcome of this study will be a classification of farms that contribute more to structural landscape connectivity. ";"https://www.bioversityinternational.org/fileadmin/_migrated/uploads/tx_news/Toolkit_for_the_indicators_of_iesilience_in_socio-ecological_production_landscapes_and_seascapes_1844.pdf";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=39&phaseID=13"
16;1;1900-01-01 00:00:00;2199-12-31 23:59:59;42;"Farm record keeping: A must tool for  gender enabled CSAPs scaling strategy for development";"Valuing role of women in improved socio-economics of agriculture, farm record keeping has been found as key mechanism to improve women's access and control over resources for better understanding, decision making and advocacy for the beneficial technologies for better income and cope climatic risk";"https://www.dropbox.com/home/CCAFS%20reporting%202017; https://economictimes.indiatimes.com/news/politics-and-nation/haryana-to-spend-rs-12-crore-to-avoid-stubble-burning/articleshow/61054609.cms; http://www.cimmyt.org/a-leading-ngo-joins-hands-with-cimmyt-ccafs-to-empower-women-farmers/; https://www.cimmyt.org/learning-climate-smart-agricultural-practices-empowers-women-farmers-in-haryana/";"2 - Principal objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=42&phaseID=11"
17;1;1900-01-01 00:00:00;2199-12-31 23:59:59;43;"Index measured gender equitable knowledge for CSAPs adoption assuring food & nutrition security under climatic risks: Bihar, India";"Agrarian economies such as India are vulnerable to climate shocks extended to food crises& migration. The impact of gender segregated interventions by introducing CSAPs for adaptation are studied capturing the knowledge index. Findings indicate that greater knowledge of CSAPs lead to improved adoption and better nutrition intake of adopters 


";"http://bameti.org/wp-content/uploads/2017/08/ractified-DFID-project-proposal-2-dated-10-06-2017.doc; https://www.dropbox.com/home/CCAFS%20reporting%202017; https://www.youtube.com/watch?v=CUt3Kg5ATAM&index=5&list=PLjXdzeDP_y5FsIzq28xphnLpVhpI1um21&t=0s";"2 - Principal objective";"2 - Principal objective";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=43&phaseID=11"
18;1;1900-01-01 00:00:00;2199-12-31 23:59:59;46;"Soil Data Manager";"A web application for evaluation and local adaptation of large-scale (open) soil maps";"markdata.se";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=46&phaseID=13"
19;1;1900-01-01 00:00:00;2199-12-31 23:59:59;49;"WorldFish-ANU fish sector model";"novel fish sector model (a modified version of AsiaFish model) at national and sub-national level. The innovation is that it reduces the requirements for input data, to suit the Africa context (minimum data requirement).";"n/a";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=49&phaseID=12"
20;1;1900-01-01 00:00:00;2199-12-31 23:59:59;50;"Field experiments and impact evaluations for agricultural extension and advisory services";"Proof of concept and successful pilots of ICT-enabled extension approaches (e.g. Direct Phone Calls with Basic Extension Messages) in Cambodia, Ethiopia, and Uganda accompanied by rigorous evaluation designs to assess impact on farmer knowledge uptake, technology adoption, and improvements in output, yields, and livelihoods.";"n/a";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=50&phaseID=12"
21;1;1900-01-01 00:00:00;2199-12-31 23:59:59;51;"Data Africa";"An award-winning open-access agriculture, climate, poverty, and health data visualization engine.";"http://dataafrica.io";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=51&phaseID=12"
22;1;1900-01-01 00:00:00;2199-12-31 23:59:59;53;"bECON for Africa";"a database of the economics literature on the impact of Genetically Modified Crops in Africa.";"n/a no link ";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=53&phaseID=12"
23;1;1900-01-01 00:00:00;2199-12-31 23:59:59;54;"DREAMpy Dynamic Research Evaluation for Management";"it is a computer tool for the economic assessment of technology and returns to R&D investments. This is an updated version in Python of the older DREAM tool developed at IFPRI";"n/a no link ";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=54&phaseID=12"
24;1;1900-01-01 00:00:00;2199-12-31 23:59:59;55;"REEAP – Rapid Economic Assessment Platform";"A collection of tools and methods focused on the evaluation of the economic impact of agricultural biotechnologies";"n/a no link ";"? - Too early to tell";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=55&phaseID=12"
25;1;1900-01-01 00:00:00;2199-12-31 23:59:59;57;"Two-chamber gasifier cook stove ";"Gasifier energy systems allow to significantly reduce firewood consumption and emission of greenhouse gasses, while generating biochar for use in crop production.";"https://www.researchgate.net/publication/320298310_QUANTIFYING_OFFSETS_IN_CO2_PARTICULATES_CO_NO2_AND_SO2_EMISSIONS_BY_GASIFIER_COOKSTOVES_-_A_DIRECT_SENSOR_APPROACH";"1 - Significant objective";"? - Too early to tell";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=57&phaseID=11"
26;1;1900-01-01 00:00:00;2199-12-31 23:59:59;58;"Allometric framework for estimating soil C sequestration on smallholder farmer fields ";"The amount of biochar that can be produced from residues of crops on farmer fields needs to be estimated in order to determine the viability of sequestering carbon through the scaling of biomass gasification technologies.";"https://drive.google.com/file/d/189iyEOCKgJ-XcE9lJD60E0ulRclEbgbq/view?usp=sharing";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=58&phaseID=11"
27;1;1900-01-01 00:00:00;2199-12-31 23:59:59;59;"Satellite imagery as an alternative to collect data through surveys";"For > 10 years, CIAT team working on climate-site-specific agronomy have struggled to collect through surveys data on harvesting, planting date, phenological stages, etc. Satellite imagery seems to be an alternative to automate this task and in particular for small-scale farmers. Satellites have roven one of the best alternatives.";"https://cgiar-my.sharepoint.com/:b:/g/personal/d_jimenez_cgiar_org/EXYw0OCZCn5PqWp8_PB4rusBWsGqTDbp1jY4Y6S4l_EHrw?e=KwEB8C";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=59&phaseID=11"
28;1;1900-01-01 00:00:00;2199-12-31 23:59:59;60;"Crop-Loss Assessment Monitor ";"CAM is a tool to develop a hybrid index for crop loss assessment using multiple indicators of weather, remote sensing and crop growth simulation modelling. ";"https://ccafs.cgiar.org/publications/ccafs-agriculture-monitor-cam#.WxkTR4ozaUk";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=60&phaseID=11"
29;1;1900-01-01 00:00:00;2199-12-31 23:59:59;62;"The Climate-Smart Agriculture (CSA) Compendium";"The Compendium is a dataset and set of analytic routines that documents and facilitates meta-analysis of published literature on the impact of agricultural interventions on productivity, resilience and mitigation. The Compendium contains data on more than 70 technologies and more than 40 indicators of outcomes. ";"https://cgspace.cgiar.org/rest/bitstreams/67313/retrieve";"2 - Principal objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=62&phaseID=11"
30;1;1900-01-01 00:00:00;2199-12-31 23:59:59;63;"Demonstrating utility of global system for sharing  genetic resources to national policy makers system through local climate change vulnerability analysis";"Using combined climate and GIS data, genebank accession passport information, participatory research on impacts of climate change on local crops to identify materials in national and international genebanks potentially adapted to local conditions. Taking results to national policy makers to demonstrate why they need to implement/use the Plant Treaty  ";"https://www.bioversityinternational.org/darwin_benin_madagascar/";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=63&phaseID=11"
31;1;1900-01-01 00:00:00;2199-12-31 23:59:59;67;"Equations for stationary NIRS for Urochloa humidicola";"3 new equations developed";" https://www.dropbox.com/s/z5759tapg35xgbc/1_F%26F%203.1%2C%20Sub-activity%20code%203.1.2_New%20equations%20for%20stationary%20and%20mobile%20NIRS.docx?dl=0";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=67&phaseID=15"
32;1;1900-01-01 00:00:00;2199-12-31 23:59:59;68;"New Brachiaria hybrid ""Camello""";"1 new Brachiaria hybrid (Camello) available for uptake";"not yet available";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=68&phaseID=15"
33;1;1900-01-01 00:00:00;2199-12-31 23:59:59;69;"Napier grass core population";"Core population of Napier grass established for use in further research";"N/A";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=69&phaseID=15"
34;1;1900-01-01 00:00:00;2199-12-31 23:59:59;70;"Method for cost-benefit analysis of improved forage technologies";"Method for cost-benefit analysis of improved forage technologies";"https://www.dropbox.com/s/d9xfr48c10oo5z5/Metodolog%C3%ADa%20para%20an%C3%A1lisis%20de%20evaluaci%C3%B3n%20financiera%20de%20tecnolog%C3%ADas%20forrajeras.pdf?dl=0";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=70&phaseID=15"
35;1;1900-01-01 00:00:00;2199-12-31 23:59:59;71;"Heat stress mapping for pigs in Uganda";"Heat stress mapping for pigs in Uganda";"N/A";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=71&phaseID=15"
36;1;1900-01-01 00:00:00;2199-12-31 23:59:59;73;"CLEANED Tools";"The CLEANED (Comprehensive Livestock Environmental Assessment for Improved Nutrition, a Secured Environment and Sustainable Development along Livestock and Fish Value Chains) tool allows users to model the impacts of changes in livestock production systems and value chains on land use, productivity, economics, water impacts, greenhouse gas emissions and soil health.";"https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QIUJM5";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=73&phaseID=15"
37;1;1900-01-01 00:00:00;2199-12-31 23:59:59;74;"Index based livestock insurance in Ethiopia";"Innovative disaster risk financing methodology, including a suite of products, studies, tools and piloted processes.";"https://www.youtube.com/watch?v=6xz7ItOpgnQ; https://www.youtube.com/watch?v=6xz7ItOpgnQ";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=74&phaseID=15"
38;1;1900-01-01 00:00:00;2199-12-31 23:59:59;75;"Method that improved area selection and consistently enhance forecast skill. ";"Area selection can be a time-consuming and cumbersome-process. Based on these early results, we sought to develop a method that could improve area selection and consistently enhance forecast skill. The process was fully automated in R. Forecast skill depends very much on the predicted region and season of the forecast. ";"https://goo.gl/R8y5Fq";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=75&phaseID=11"
39;1;1900-01-01 00:00:00;2199-12-31 23:59:59;76;"Policy-oriented national LED assessments ";"In Vietnam, Kenya and Ethiopia, national LED assessments and investment analyses were conducted with the intent of supporting both national policy and climate finance proposals. Linking these two analyses was an innovation that furthered national progress on NDC implementation, especially in Vietnam. ";"https://ccafs.cgiar.org/publications/challenges-implementing-vietnam’s-nationally-determined-contribution-ndc-agriculture#.Wxrm1y3MzEY";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=76&phaseID=11"
40;1;1900-01-01 00:00:00;2199-12-31 23:59:59;78;"Collective action games to strengthen resource governance";"None provided";"http://gamesforsustainability.org/practitioners/";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=78&phaseID=13"
41;1;1900-01-01 00:00:00;2199-12-31 23:59:59;79;"Climate Wizard";"Climate Wizard is an online tool providing access to downscaled climate change information for a wide range of uses from more technical to less technical.";"http://climatewizard.ciat.cgiar.org/";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=79&phaseID=11"
42;1;1900-01-01 00:00:00;2199-12-31 23:59:59;80;"CSA Country Profiles";"Climate-Smart Agriculture (CSA) country profiles give an overview of the agricultural challenges in countries around the world, and how CSA can help them adapt to and mitigate climate change. Developed by CIAT and CCAFS, in partnership with the World Bank";"https://ccafs.cgiar.org/publications/csa-country-profiles";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=80&phaseID=11"
43;1;1900-01-01 00:00:00;2199-12-31 23:59:59;81;"Climate Risk Profiles";"CIAT has developed climate risk profiles to guide CSA investments and priorities at sub national level. the profiles provide an analysis of the underlying causes of vulnerability, ongoing adaptation strategies and existing off-farm services available for combating the risks associated with the hazards, with recommendations for potential adaptation options.";"https://ccafs.cgiar.org/publications/kenya-county-climate-risk-profiles";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=81&phaseID=11"
44;1;1900-01-01 00:00:00;2199-12-31 23:59:59;83;"Estimating minimum nitrogen requirements (N gaps) for yield gap closure and greenhouse gas mitigation";"Complementary to yield gap concept we developed a protocol to derive minimum N input requirements to achieve fixed levels of yield gap closure (maize) in nine countries in SSA. Realising yield gap closure in this manner is GHG efficient due to low emissions per kg maize and avoiding area expansion";"www.yieldgap.org";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=83&phaseID=11"
45;1;1900-01-01 00:00:00;2199-12-31 23:59:59;84;"Innovative solar powered milk cooling system";"Field testing of an innovative solar powered milk cooling solution for the higher efficiency of the dairy subsector in Tunisia";"https://www.uni-hohenheim.de/en/organization/publikation/solar-powered-cooling-for-enhancing-milk-value-chains";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=84&phaseID=15"
46;1;1900-01-01 00:00:00;2199-12-31 23:59:59;85;"The Producers Organisation Sustainability Assessment (POSA)";"Tool designed with project partners under the East Africa Dairy Development project (EADD) led by Heifer International.";"http://static1.squarespace.com/static/51bef39fe4b010d205f84a92/t/5762d36ab3db2b2a0f4698b9/1466094443066/5_East+Africa+Diary+Development+.pdf";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=85&phaseID=15"
47;1;1900-01-01 00:00:00;2199-12-31 23:59:59;87;"Women Empowerment in Livestock Index (WELI)";"Development and piloting of WELI in Tanzania";"https://www.fasebj.org/doi/abs/10.1096/fasebj.31.1_supplement.455.5";"2 - Principal objective";"? - Too early to tell";"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=87&phaseID=15"
48;1;1900-01-01 00:00:00;2199-12-31 23:59:59;88;"Smallholder dairy training manual";"Reference manual containing the learning material from an intensive, four week training course.";"https://cgspace.cgiar.org/handle/10568/77004";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=88&phaseID=15"
49;1;1900-01-01 00:00:00;2199-12-31 23:59:59;90;"Vitamin A Orange Maize: MH44A";"New variety of vitamin A maize.  As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=90&phaseID=14"
50;1;1900-01-01 00:00:00;2199-12-31 23:59:59;91;"Zinc Rice: DRR Dhan 49";"New variety of zinc rice.  As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=91&phaseID=14"
51;1;1900-01-01 00:00:00;2199-12-31 23:59:59;92;"Zinc Rice: Binadhan 20";"New variety of zinc rice.  As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";" http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=92&phaseID=14"
52;1;1900-01-01 00:00:00;2199-12-31 23:59:59;93;"1 farmer, 1 loan, 1 IoT raingauge: piloting the industrialization of recyclable, $50 connected rain gauges in Africa";"Spatio-temporal fragmentation of tropical rainfall severely constrains the local relevance of low-density AWS network and satellite RFE data for climate risk management in smallholder agriculture, including for insurance. NADiRA helps industrialize production of cheap, recyclable connected raingauges in Africa, affordably streaming daily rainfall through GSM and NB-IoT. Target capex: $50/unit.";"http://nadira-project.eu";"0 - Not Targeted";"1 - Significant objective";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=93&phaseID=11"
53;1;1900-01-01 00:00:00;2199-12-31 23:59:59;95;"Activation of subnational platform to broker institutional changes";"To promote stakeholder engagement in research and outreach, the project adopted a multi-scalar approach centered on the creation of science-policy dialogue platforms at sub-national (district) levels. The district platforms have a more operational role. In Ghana,  there are different hosts – the traditional chief, agricultural extension service, and local NGO.";"https://ccafs.cgiar.org/blog/president-akufo-addo-supports-establishment-district-level-science-policy-platforms-across#.WyP_WaczY2w";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=95&phaseID=11"
54;1;1900-01-01 00:00:00;2199-12-31 23:59:59;97;"Collective action games to strengthen resource governance";"IFPRI, ICRAF, and partners tested whether experimental games, usually used to measure collective action, can contribute to improved governance of shared resources. Based on promising pilot results our NGO partners are applying these games in other areas, and we documented them on website and online community of practice.";"http://gamesforsustainability.org";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=97&phaseID=12"
55;1;1900-01-01 00:00:00;2199-12-31 23:59:59;99;"Perception of Climate Change and Impact on Land Allocation and Income: Evidence from Vietnam’s Delta Region";"This study examines factors affecting households’ perceptions of climate change and the impact on income and land allocation. Smallholders with perceived climate changes reduce land allocated to paddy crop. Farmers make strategic decision by increasing the amount of rented land, while at the same time decreasing the owned land.";"https://www.cambridge.org/core/journals/agricultural-and-resource-economics-review";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=99&phaseID=11"
