pk_id_ext_partner;version;date_from;date_to;id;"name";"acronym";"website_link";"type"
14;1;1900-01-01 00:00:00;2199-12-31 23:59:59;279;"Eastern Africa Farmers Federation";"EAFF";;"Associations (other than regional organizations, extension, and farmer/community level)"
15;1;1900-01-01 00:00:00;2199-12-31 23:59:59;310;"Asia-Pacific Association of Agricultural Research Institutions";"APAARI";;"Associations (other than regional organizations, extension, and farmer/community level)"
16;1;1900-01-01 00:00:00;2199-12-31 23:59:59;534;"Association Malienne d'Eveil au Developpement Durable";"AMEDD";;"Associations (other than regional organizations, extension, and farmer/community level)"
17;1;1900-01-01 00:00:00;2199-12-31 23:59:59;547;"Development of Humane Action Foundation";"DHAN";"http://www.dhan.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
18;1;1900-01-01 00:00:00;2199-12-31 23:59:59;602;"Society for International Development - Eastern Africa";"SID EA";"https://www.sidint.net/content/sid-chapters-list-0";"Associations (other than regional organizations, extension, and farmer/community level)"
19;1;1900-01-01 00:00:00;2199-12-31 23:59:59;666;"Federation of Indian Chambers of Commerce and Industry";"FICCI";;"Associations (other than regional organizations, extension, and farmer/community level)"
20;1;1900-01-01 00:00:00;2199-12-31 23:59:59;692;"Association of Biotechnology Led Enterprises";"ABLE";"http://ableindia.in/";"Associations (other than regional organizations, extension, and farmer/community level)"
21;1;1900-01-01 00:00:00;2199-12-31 23:59:59;725;"Consejo Agropecuario Centroamericano";"CAC";"http://www.sica.int/cac/";"Associations (other than regional organizations, extension, and farmer/community level)"
22;1;1900-01-01 00:00:00;2199-12-31 23:59:59;744;"Reseau des organisations paysannes et des producteurs agricoles de l'Afrique de l'Ouest";"ROPPA";"http://www.roppa-afrique.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
23;1;1900-01-01 00:00:00;2199-12-31 23:59:59;768;"Mancomunidad La Montañona";;;"Associations (other than regional organizations, extension, and farmer/community level)"
24;1;1900-01-01 00:00:00;2199-12-31 23:59:59;807;"The European Federation of Animal Science";"EAAP";"http://www.eaap.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
25;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1045;"Sustainable Food Lab";"SFL";"http://www.sustainablefoodlab.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
26;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1147;"Participatory Ecological Land Use Management (Kenya)";"PELUM Kenya";"http://pelum.net/";"Associations (other than regional organizations, extension, and farmer/community level)"
27;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1227;"Service d'Appui à la Gestion de l'Environnement";"SAGE";;"Associations (other than regional organizations, extension, and farmer/community level)"
28;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1305;"Philippine Federation of Rural Broadcasters";"PFRB";"https://www.facebook.com/ruralbroadcasters.pfrb";"Associations (other than regional organizations, extension, and farmer/community level)"
29;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1346;"Association d’Appui et de Promotion Rurale du Gulmu";;;"Associations (other than regional organizations, extension, and farmer/community level)"
30;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1348;"Association des Agronomes Professionnels";"AGROPRO";;"Associations (other than regional organizations, extension, and farmer/community level)"
31;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1349;"Association des Cultivateurs et Éleveurs";"AJECEDEKI";;"Associations (other than regional organizations, extension, and farmer/community level)"
32;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1351;"Association pour la Santé et le Développement Familial";"ASDF";;"Associations (other than regional organizations, extension, and farmer/community level)"
33;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1352;"Association pour le Développement Endogène de Matadi";"ADEM";;"Associations (other than regional organizations, extension, and farmer/community level)"
34;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1380;"Cassava Growers Association of Nigeria";;"http://ncgaonline.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
35;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1520;"Kigarama Cooperative and Marketing Society";;;"Associations (other than regional organizations, extension, and farmer/community level)"
36;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1530;"Manufacturer Association of Nigeria";;"http://www.manufacturersnigeria.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
37;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1611;"Pakistan Flour Mills Association";;"http://www.thepfma.com/";"Associations (other than regional organizations, extension, and farmer/community level)"
38;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1622;"Poultry Association of Nigeria";;"http://www.poultryassociationng.com/";"Associations (other than regional organizations, extension, and farmer/community level)"
39;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1653;"Small & Medium Seed Producing Association";"SMSPA";;"Associations (other than regional organizations, extension, and farmer/community level)"
40;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1659;"South West Seed Producer Association of Bangladesh";"SWSPAB";;"Associations (other than regional organizations, extension, and farmer/community level)"
41;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1722;"Corporación para el Desarrollo Sostenible del Área de Manejo Especial La Macarena";"CORMACARENA";"http://www.cormacarena.gov.co/";"Associations (other than regional organizations, extension, and farmer/community level)"
42;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1728;"GSMA";;"http://www.gsma.com/";"Associations (other than regional organizations, extension, and farmer/community level)"
43;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1746;"Association des Femmes Techniciennes de Développement";"AFTD";;"Associations (other than regional organizations, extension, and farmer/community level)"
44;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1747;"Association Paysanne de la Cité Kimbala";"APAKI";;"Associations (other than regional organizations, extension, and farmer/community level)"
45;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1748;"Association pour la Promotion de la Femme de Lukula";"APROFEL";;"Associations (other than regional organizations, extension, and farmer/community level)"
46;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1749;"Association pour le Développement de l’Elevage et de l’Agriculture";"ADEA";;"Associations (other than regional organizations, extension, and farmer/community level)"
47;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1812;"International Fertiliser Association";"IFA";"http://www.fertilizer.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
48;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1887;"InterAction";;"https://www.interaction.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
49;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1920;"Agricultural Council of Tanzania";"ACT";"http://actanzania.or.tz/";"Associations (other than regional organizations, extension, and farmer/community level)"
50;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1921;"Tanzania Federation of Cooperatives";"TFC";"http://www.ushirika.coop/";"Associations (other than regional organizations, extension, and farmer/community level)"
51;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1956;"The Turco-British Association";"TBA";"http://www.tba.org.tr/";"Associations (other than regional organizations, extension, and farmer/community level)"
52;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1963;"Agricultural Policy Research Network";"APRNet";"http://www.aprnetworkng.org/1/";"Associations (other than regional organizations, extension, and farmer/community level)"
53;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1971;"Confederation of Nepalese Industry";"CNI";"http://cnind.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
54;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1977;"Economics Association of Malawi";"ECAMA";;"Associations (other than regional organizations, extension, and farmer/community level)"
55;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1981;"Federation of Nepalese Chambers of Commerce and Industry";"FNCCI";"http://www.fncci.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
56;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1983;"Ghana Feed Millers Association";"GFMA";;"Associations (other than regional organizations, extension, and farmer/community level)"
57;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1998;"Nepal Economic Association";"NEA";;"Associations (other than regional organizations, extension, and farmer/community level)"
58;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1999;"Nepal Agricultural Machinery Entrepreneurs' Association";"NAMEA";;"Associations (other than regional organizations, extension, and farmer/community level)"
59;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2007;"Seed Entrepreneurs' Association of Nepal";"SEAN";;"Associations (other than regional organizations, extension, and farmer/community level)"
60;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2028;"CropLife International";;"https://croplife.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
61;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2042;"Federation of Community Forestry, Nepal";"FECOFUN";"http://fecofun.org.np/";"Associations (other than regional organizations, extension, and farmer/community level)"
62;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2043;"Guatemalan National Alliance of Forest Community Organisations";;;"Associations (other than regional organizations, extension, and farmer/community level)"
63;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2112;"Ethiopian Economics Association";"EEA";"https://www.eeaecon.org";"Associations (other than regional organizations, extension, and farmer/community level)"
64;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2164;"Association of Ethiopian Microfinance Institutions";"AEMFI";"http://www.aemfi-ethiopia.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
65;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2209;"Royal Tropical Institute";"KIT";"https://www.kit.nl/";"Associations (other than regional organizations, extension, and farmer/community level)"
66;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2302;"Water Integrity Network";"WIN";"http://www.waterintegritynetwork.net/";"Associations (other than regional organizations, extension, and farmer/community level)"
67;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2335;"Participatory Ecological Land Use Management (Uganda)";"PELUM Uganda";"http://pelumuganda.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
68;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2343;"World Business Council for Sustainable Development";"WBCSD";"http://www.wbcsd.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
69;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2350;"National Smallholder Farmers' Association of Malawi";"NASFAM";"http://www.nasfam.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
70;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2425;"Institutos Técnicos Comunitarios Honduras C.A.";"RED-ITC";"http://www.reditac.hn/";"Associations (other than regional organizations, extension, and farmer/community level)"
71;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2474;"Semilleros Mexicanos Unidos AC ";"SEMUAC";;"Associations (other than regional organizations, extension, and farmer/community level)"
72;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2475;"Asociación Mexicana de Semilleros A.C.";"AMSAC";"http://www.amsac.org.mx/";"Associations (other than regional organizations, extension, and farmer/community level)"
73;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2517;"Tropical Forest Alliance 2020";"TFA 2020";"https://www.tfa2020.org/en/";"Associations (other than regional organizations, extension, and farmer/community level)"
74;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2528;"PalmElit";;"https://www.palmelit.com/";"Associations (other than regional organizations, extension, and farmer/community level)"
75;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2533;"Tanzanian Civil Society Forum on Climate Change";"FORUMCC";"http://forumcc.or.tz/";"Associations (other than regional organizations, extension, and farmer/community level)"
76;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2567;"EUGENIUS Association";"EUGENIUS";"https://www.eugenius-asso.eu/";"Associations (other than regional organizations, extension, and farmer/community level)"
77;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2575;"Rainwater Association of Somalia ";"RAAS";"http://www.raasom.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
78;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2604;"Association Of Aflatoxin-Free Agro Producers";;;"Associations (other than regional organizations, extension, and farmer/community level)"
79;1;1900-01-01 00:00:00;2199-12-31 23:59:59;156;"U.S. Agency for International Development";"USAID";"https://www.usaid.gov/";"Bilateral development agency/bank"
80;1;1900-01-01 00:00:00;2199-12-31 23:59:59;315;"Bundesministerium für wirtschaftliche Zusammen­arbeit und Entwicklung";"BMZ";"http://www.bmz.de";"Bilateral development agency/bank"
81;1;1900-01-01 00:00:00;2199-12-31 23:59:59;317;"Norwegian Agency for Development Cooperation";"NORAD";;"Bilateral development agency/bank"
82;1;1900-01-01 00:00:00;2199-12-31 23:59:59;319;"Australian Agency for International Development";"AUSAID";;"Bilateral development agency/bank"
83;1;1900-01-01 00:00:00;2199-12-31 23:59:59;644;"Swiss Development Cooperation";"SDC";;"Bilateral development agency/bank"
84;1;1900-01-01 00:00:00;2199-12-31 23:59:59;660;"Federal Ministry for Economic Cooperation & Development";"BMZ";"http://www.bmz.de/";"Bilateral development agency/bank"
85;1;1900-01-01 00:00:00;2199-12-31 23:59:59;734;"Irish Aid";;;"Bilateral development agency/bank"
86;1;1900-01-01 00:00:00;2199-12-31 23:59:59;762;"International Development Research Centre";"IDRC";"http://www.idrc.ca";"Bilateral development agency/bank"
87;1;1900-01-01 00:00:00;2199-12-31 23:59:59;765;"Netherlands Development Organisation";"SNV";"http://www.snv.org/";"Bilateral development agency/bank"
88;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1177;"Livelihoods Fund";;"http://www.livelihoods.eu/";"Bilateral development agency/bank"
89;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1288;"Austrian Development Agency";"ADA";"http://www.entwicklung.at/en/";"Bilateral development agency/bank"
90;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1354;"Australian Center for International Agricultural Research";"ACIAR";"http://aciar.gov.au/";"Bilateral development agency/bank"
91;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1355;"Australian Government Department of Foreign Affairs and Trade";"DFAT-AU";"http://dfat.gov.au/pages/default.aspx";"Bilateral development agency/bank"
92;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1393;"Common Fund for Commodities";"CFC";;"Bilateral development agency/bank"
93;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1407;"Deutsche Gesellschaft für Internationale Zusammenarbeit";"GIZ";"https://www.giz.de/de/html/index.html";"Bilateral development agency/bank"
94;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1450;"Global Affairs Canada";;"http://www.international.gc.ca/international/index.aspx?lang=eng";"Bilateral development agency/bank"
95;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1551;"Ministry of Foreign Affairs of Finland";;"http://formin.finland.fi/public/default.aspx?culture=en-US&contentlan=2";"Bilateral development agency/bank"
96;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1552;"Ministry of Foreign Affairs of Netherlands";"DGIS";"https://www.government.nl/ministries/ministry-of-foreign-affairs";"Bilateral development agency/bank"
97;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1666;"Swedish International Development Agency";"SIDA";"http://www.sida.se/English/";"Bilateral development agency/bank"
98;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1877;"German Academic Exchange Service";"DAAD";"https://www.daad.de/en/";"Bilateral development agency/bank"
99;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1886;"Millennium Challenge Corporation";"MCC";"https://www.mcc.gov/about";"Bilateral development agency/bank"
100;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1902;"Japan International Cooperation Agency";"JICA";"https://www.jica.go.jp/english/";"Bilateral development agency/bank"
101;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2332;"Yemen Social Fund for Development";"SFD";"http://www.sfd-yemen.org/index.php";"Bilateral development agency/bank"
102;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2357;"Tropical Bank Limited";;"http://www.trobank.com/";"Bilateral development agency/bank"
103;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2386;"Dutch Development Bank";"FMO";"https://www.fmo.nl/";"Bilateral development agency/bank"
104;1;1900-01-01 00:00:00;2199-12-31 23:59:59;5;"International Rice Research Institute";"IRRI";"http://irri.org/";"CGIAR Center"
105;1;1900-01-01 00:00:00;2199-12-31 23:59:59;45;"International Institute of Tropical Agriculture";"IITA";"http://www.iita.org/";"CGIAR Center"
106;1;1900-01-01 00:00:00;2199-12-31 23:59:59;46;"Centro Internacional de Agricultura Tropical";"CIAT";"https://ciat.cgiar.org/";"CGIAR Center"
107;1;1900-01-01 00:00:00;2199-12-31 23:59:59;49;"Bioversity International";"BIOVERSITY";"http://www.bioversityinternational.org/";"CGIAR Center"
108;1;1900-01-01 00:00:00;2199-12-31 23:59:59;50;"Centro Internacional de Mejoramiento de Maíz y Trigo";"CIMMYT";"http://www.cimmyt.org/";"CGIAR Center"
109;1;1900-01-01 00:00:00;2199-12-31 23:59:59;52;"Africa Rice Center";"AfricaRice";"http://www.africarice.org/";"CGIAR Center"
110;1;1900-01-01 00:00:00;2199-12-31 23:59:59;66;"International Livestock Research Institute";"ILRI";"https://www.ilri.org/";"CGIAR Center"
111;1;1900-01-01 00:00:00;2199-12-31 23:59:59;67;"Centro Internacional de la Papa";"CIP";"http://cipotato.org/";"CGIAR Center"
112;1;1900-01-01 00:00:00;2199-12-31 23:59:59;88;"World Agroforestry Centre";"ICRAF";"http://www.worldagroforestry.org/";"CGIAR Center"
113;1;1900-01-01 00:00:00;2199-12-31 23:59:59;89;"International Food Policy Research Institute";"IFPRI";"http://www.ifpri.org/";"CGIAR Center"
114;1;1900-01-01 00:00:00;2199-12-31 23:59:59;99;"WorldFish";"WorldFish";"http://www.worldfishcenter.org/";"CGIAR Center"
115;1;1900-01-01 00:00:00;2199-12-31 23:59:59;115;"Center for International Forestry Research";"CIFOR";"http://www.cifor.org/";"CGIAR Center"
116;1;1900-01-01 00:00:00;2199-12-31 23:59:59;172;"International Water Management Institute";"IWMI";"http://www.iwmi.cgiar.org/";"CGIAR Center"
117;1;1900-01-01 00:00:00;2199-12-31 23:59:59;221;"CGIAR System Organization";"SMO";"www.cgiar.org";"CGIAR Center"
118;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1273;"International Crops Research Institute for the Semi-Arid Tropics";"ICRISAT";"http://www.icrisat.org/";"CGIAR Center"
119;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1279;"International Center for Agricultural Research in the Dry Areas";"ICARDA";"http://www.icarda.cgiar.org/";"CGIAR Center"
120;1;1900-01-01 00:00:00;2199-12-31 23:59:59;192;"Indian Farmers Fertiliser Cooperative Limited";"IFFCO";;"Farmer level/community level organization"
121;1;1900-01-01 00:00:00;2199-12-31 23:59:59;411;"Se servir de la saison sèche en Savane et au Sahel";"SIX-S";;"Farmer level/community level organization"
122;1;1900-01-01 00:00:00;2199-12-31 23:59:59;603;"Federación Nacional de Cultivadores de Cereales y Leguminosas";"FENALCE";"http://www.fenalce.org";"Farmer level/community level organization"
123;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1082;"Farmers' Union Ha Tinh";"FU";;"Farmer level/community level organization"
124;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1140;"Mount Valley Development Association";"MVDA";"http://mvda.org.in/";"Farmer level/community level organization"
125;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1151;"Agriculture Non State Actors Forum";"ANSAF";"http://ansaf.or.tz/";"Farmer level/community level organization"
126;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1258;"Association of Uganda Professional Women in Agriculture and Environment";"AUPWAE";"http://www.aupwae.net/";"Farmer level/community level organization"
127;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1394;"Community Development Centre";"CDC";"http://www.cdcmp.org.in/";"Farmer level/community level organization"
128;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1475;"Groupe Agro-Pastoral du Kivu";"GAP";;"Farmer level/community level organization"
129;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1516;"Kenya National Farmers' Federation";"KENAFF";"www.kenaff.org";"Farmer level/community level organization"
130;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1566;"Mumbwa Child Development Agency";;;"Farmer level/community level organization"
131;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1646;"Senator Adeyemo Women Empowerment Cooperative";;;"Farmer level/community level organization"
132;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1664;"Sustainable Income Generating Investment Group";"SINGI";;"Farmer level/community level organization"
133;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1684;"Union de Producteurs Agricoles pour le Développement Intégré";"UPROADI";;"Farmer level/community level organization"
134;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1711;"Unnayan Dhara";"UD";"http://unnayandhara.org/";"Farmer level/community level organization"
135;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1745;"Association des Femmes Paysannes de Gimbi";"AFPG";;"Farmer level/community level organization"
136;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1750;"Association pour le Développement des Fermiers de Dwale";"APDFD";;"Farmer level/community level organization"
137;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1922;"Mwungano wa Vyama vya Wakulima Tanzania";"MVIWATA";"http://www.mviwata.org/";"Farmer level/community level organization"
138;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2038;"Krishak Samuha Sangh (Nepal)";;;"Farmer level/community level organization"
139;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2044;"Utz Che Association (Guatemala)";;"http://www.utzchecomunitaria.org/index.php/en/";"Farmer level/community level organization"
140;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2045;"Asociación de Comunidades Forestales de Petén (Guatemala)";"ACOFOP";"http://www.acofop.org/";"Farmer level/community level organization"
141;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2365;"Kulima Integrated Development Solutions";"KULIMA";"http://kulima.com/";"Farmer level/community level organization"
142;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2382;"Koperasi Peternak Sapi Bandung Utara (Lembang)";"KPSBU";;"Farmer level/community level organization"
143;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2623;"Kapchorwa Commercial Farmers Association";"KACOFA";"http://www.tgcu.org/index.php/members/list-of-members/45-kapchorwa-commercial-farmers-association-kacofa";"Farmer level/community level organization"
144;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2630;"IITA Youth Agripreneurs";"IKYA";"https://youthagripreneurs.org";"Farmer level/community level organization"
145;1;1900-01-01 00:00:00;2199-12-31 23:59:59;96;"Ecotrust";;"https://ecotrust.org/";"Foundation"
146;1;1900-01-01 00:00:00;2199-12-31 23:59:59;154;"Bill & Melinda Gates Foundation";"BMGF";"http://www.gatesfoundation.org/";"Foundation"
147;1;1900-01-01 00:00:00;2199-12-31 23:59:59;217;"Agropolis Fondation";;;"Foundation"
148;1;1900-01-01 00:00:00;2199-12-31 23:59:59;281;"International Soil Reference and Information Centre";"ISRIC";"http://www.isric.org/";"Foundation"
149;1;1900-01-01 00:00:00;2199-12-31 23:59:59;288;"Plan Vivo Foundation";;"http://www.planvivo.org/";"Foundation"
150;1;1900-01-01 00:00:00;2199-12-31 23:59:59;372;"McKnight Foundation";;"https://www.mcknight.org/";"Foundation"
151;1;1900-01-01 00:00:00;2199-12-31 23:59:59;397;"Fondation BioCarburant";;;"Foundation"
152;1;1900-01-01 00:00:00;2199-12-31 23:59:59;410;"Malian Association for Education and Development";"AMED";;"Foundation"
153;1;1900-01-01 00:00:00;2199-12-31 23:59:59;709;"The Rockefeller Foundation";;"http://www.rockefellerfoundation.org/";"Foundation"
154;1;1900-01-01 00:00:00;2199-12-31 23:59:59;841;"Fundación EcoHabitats";;;"Foundation"
155;1;1900-01-01 00:00:00;2199-12-31 23:59:59;842;"Fundación Procuenca Río Las Piedras";;"http://www.acueductopopayan.com.co/gestion-ambiental/fundacion-procuenca-rio-las-piedras/";"Foundation"
156;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1168;"Hans R. Neumann Stiftung";;"http://www.hrnstiftung.org/";"Foundation"
157;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1186;"Climate change and Land Use Alliance";"CLUA";"http://www.climateandlandusealliance.org/";"Foundation"
158;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1251;"Hanns R. Neumann Stiftung";"HRNS";"http://www.hrnstiftung.org/";"Foundation"
159;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1323;"Wellcome Trust";;"https://wellcome.ac.uk/";"Foundation"
160;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1390;"Children's Investment Fund Foundation";"CIFF";"https://ciff.org/";"Foundation"
161;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1403;"Daniel and Nina Carasso Foundation";;"http://www.fondationcarasso.org/en";"Foundation"
162;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1441;"Ford Foundation";;"https://www.fordfoundation.org/";"Foundation"
163;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1668;"Syngenta Foundation for Sustainable Agriculture";;"http://www.syngentafoundation.org/";"Foundation"
164;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1720;"Fondation Ensemble";;"http://www.fondationensemble.org";"Foundation"
165;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1829;"Biovision Stiftung für ökologische Entwicklung (Biovision Foundation for ecological development)";;"http://www.biovision.ch/";"Foundation"
166;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1876;"The Christensen Fund";;"https://www.christensenfund.org/";"Foundation"
167;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1889;"Spencer Foundation";;"http://www.spencer.org/";"Foundation"
