pk_id_oics;version;date_from;date_to;id_oics;"title_oics";id_project;"title_project";"scope_comments";"outcome_impact_statement";"gender_relev";"youth_relev";"capdev_relev";"pdf"
18;1;1900-01-01 00:00:00;2199-12-31 23:59:59;541;"Adding value to  MasAgro recommendations in pacifico norte (Mexico) providing farmers with recommendations at  seasonal scale";58;"Putting climate into extension services: Climate-Site-Specific Management Systems (CSMS) for grounding climate smart agriculture to farm rice systems";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=541&cycle=Reporting&year=2018"
19;1;1900-01-01 00:00:00;2199-12-31 23:59:59;561;"Outcome story on the uptake of CCAFS research by voluntary certification agencies ";57;"Mainstreaming CSA practices in mixed tree/food crop systems among smallholder farmers in W Africa & Latin America";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=561&cycle=Reporting&year=2018"
20;1;1900-01-01 00:00:00;2199-12-31 23:59:59;571;"Outcome story on the uptake of CCAFS research by agricultural impact investors";57;"Mainstreaming CSA practices in mixed tree/food crop systems among smallholder farmers in W Africa & Latin America";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=571&cycle=Reporting&year=2018"
21;1;1900-01-01 00:00:00;2199-12-31 23:59:59;581;"Considerable new World Bank investment being informed by CCAFS science and engagement";268;"[Flagship Leader] FP1: Engagement, synthesis and support";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=581&cycle=Reporting&year=2018"
22;1;1900-01-01 00:00:00;2199-12-31 23:59:59;591;"Validation of RUMINANT model and training in Colombia allow's GHG inventory team to use Tier 2 method for enteric methane emissions";267;"[Flagship Leader] FP3: Engagement, synthesis and support";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=591&cycle=Reporting&year=2018"
23;1;1900-01-01 00:00:00;2199-12-31 23:59:59;601;"UNFCCC negotiators reach decision on agriculture";267;"[Flagship Leader] FP3: Engagement, synthesis and support";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=601&cycle=Reporting&year=2018"
24;1;1900-01-01 00:00:00;2199-12-31 23:59:59;611;"Myanmar CSA Strategy";264;"[Regional Program Leader] SEA: Regional/National synthesis, engagement and support";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=611&cycle=Reporting&year=2018"
25;1;1900-01-01 00:00:00;2199-12-31 23:59:59;631;"Youth Infomediary Campaign on Climate Smart Agriculture";264;"[Regional Program Leader] SEA: Regional/National synthesis, engagement and support";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=631&cycle=Reporting&year=2018"
26;1;1900-01-01 00:00:00;2199-12-31 23:59:59;821;"Environmental and economic impacts of the adoption of improved fertiliser practices in Mexico";22;"CIMMYT Improving nitrous oxide estimates globally";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=821&cycle=Reporting&year=2018"
27;1;1900-01-01 00:00:00;2199-12-31 23:59:59;841;"Finalized National Policy for the Rural Sector in Burkina Faso";274;"Scenario-guided policy and investment planning for food- and nutrition-secure futures under climate change";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=841&cycle=Reporting&year=2018"
28;1;1900-01-01 00:00:00;2199-12-31 23:59:59;851;"Supporting Cambodian climate negotiators for COP";274;"Scenario-guided policy and investment planning for food- and nutrition-secure futures under climate change";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=851&cycle=Reporting&year=2018"
29;1;1900-01-01 00:00:00;2199-12-31 23:59:59;871;"Outcome case study (from monitoring surveys) for vitamin A maize in Nigeria";335;"Monitoring and learning for biofortification";;;;;;"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=871&cycle=Reporting&year=2018"
30;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1151;"Beneficiary Based Survey";1229;"Nepal Seed and Fertilizer (NSAF)";;;;;;"https://marlo.cgiar.org/projects/Maize/studySummary.do?studyID=1151&cycle=Reporting&year=2018"
31;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1171;"Pesticides use on rice grown for household consumption vs. sale ";339;"Better evidence on foodborne disease in target regions";;;;;;"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=1171&cycle=Reporting&year=2018"
32;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1411;"Outcome and impact assessment study of the dairy “check off” system (input credit received against future milk delivery) among dairy project participants in Kenya ";750;"Activity 5.4.4 Livestock Market System Performance
It corresponds to the product line on 'Menu of organizational and business models for improved livestock value chain performance'
";;;;;;"https://marlo.cgiar.org/projects/Livestock/studySummary.do?studyID=1411&cycle=Reporting&year=2018"
33;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1441;"An ex-post assessment of an innovative scheme for funding small-scale beef fattening enterprises in Swaziland  ";750;"Activity 5.4.4 Livestock Market System Performance
It corresponds to the product line on 'Menu of organizational and business models for improved livestock value chain performance'
";;;;;;"https://marlo.cgiar.org/projects/Livestock/studySummary.do?studyID=1441&cycle=Reporting&year=2018"
34;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1681;"Developing site-specific interventions in capturing, storing and converting rainwater into productive use under dryland mountaineous and drylowland settings ";477;"Integrated Watershed Management for enhanced productivity with sustained environmental services";;;;;;"https://marlo.cgiar.org/projects/WLE/studySummary.do?studyID=1681&cycle=Reporting&year=2018"
35;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1691;"Enabling farmers’ decision making in soil fertility management in Ethiopia";477;"Integrated Watershed Management for enhanced productivity with sustained environmental services";;;;;;"https://marlo.cgiar.org/projects/WLE/studySummary.do?studyID=1691&cycle=Reporting&year=2018"
36;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1701;"Case study on mobile animal health delivery in extensive livestock production systems in Kenya";616;"Activity 2.4.1 Animal Health Service provision";;;;;;"https://marlo.cgiar.org/projects/Livestock/studySummary.do?studyID=1701&cycle=Reporting&year=2018"
37;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1791;"Outcome case study (from monitoring surveys) for iron pearl millet in India";335;"Monitoring and learning for biofortification";;;;;;"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=1791&cycle=Reporting&year=2018"
38;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1801;"Outcome case study (from monitoring surveys) for iron beans in Colombia";335;"Monitoring and learning for biofortification";;;;;;"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=1801&cycle=Reporting&year=2018"
39;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2005;"African Group of Negotiators submissions play significant role in achieving the Koronivia Joint Work on Agriculture";263;"RPL EA: Regional and national engagement, synthesis and strategic research";"AGN submissions focused on articulating a common African position on Agriculture, and influence the global decision on agriculture.";"The African Group of Negotiators (AGN) submissions significantly contributed to Koronivia Joint Work on Agriculture at COP23. Since 2012, CCAFS East Africa has continuously supported agriculture and climate change negotiators and experts from Africa to prepare submissions for UNFCCC negotiations. More recently, the roadmap developed during SBSTA48 builds heavily on AGN submission. Over 10 technical working sessions have been convened with AGN, where CCAFS and CGIAR knowledge outputs provided scientific evidence to articulate vulnerability of African agriculture to climate change.     

";"1 - Significant objective";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=2005&cycle=Reporting&year=2017"
40;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2008;"The use of WEAI in the AU’s agricultural programme framework and prospects for promoting WEAI in national surveys across Africa";675;"6.1.1 Women's Empowerment in Agriculture: Access to and Control over Resources";"Sub-Saharan Africa";"The African Union’s Malabo/CAADP biennial reporting framework and guidelines in 2017 recommended the use of the WEAI. Indicator 4.4, “Proportion of rural women that are empowered in agriculture”, was calculated using the WEAI’s five domains of empowerment (5DE) method. This will help us scale-up the WEAI and integrate it into national-level surveys across African countries.";"2 - Principal objective";"0 - Not Targeted";"2 - Principal objective";"https://marlo.cgiar.org/projects/PIM/studySummary.do?studyID=2008&cycle=Reporting&year=2017"
41;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2013;;;;;;;;;"https://marlo.cgiar.org/projects/PIM/studySummary.do?studyID=2013&cycle=Reporting&year=2017"
42;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2014;;;;;;;;;"https://marlo.cgiar.org/projects/PIM/studySummary.do?studyID=2014&cycle=Reporting&year=2017"
43;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2015;"Application of Monitoring and Evaluation for Land in Africa (MELA) Framework in 12 African Countries";663;"5.1.1 Enhancing Tenure Security";"Process is still being rolled out in some countries";"PIM researchers worked with African Land Policy Centre to develop a Monitoring and Evaluation framework for assessing progress on land governance in Africa.  The MELA framework is being piloted by 12 countries in Africa.  This allows tracking of progress on commitments made under the AU Declaration on Land Governance in Africa, including commitments to land rights for women and special groups, e.g. pastoralists.  ";"1 - Significant objective";"0 - Not Targeted";"2 - Principal objective";"https://marlo.cgiar.org/projects/PIM/studySummary.do?studyID=2015&cycle=Reporting&year=2017"
44;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2017;;;;;;;;;"https://marlo.cgiar.org/projects/PIM/studySummary.do?studyID=2017&cycle=Reporting&year=2017"
45;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2018;;;;;;;;;"https://marlo.cgiar.org/projects/PIM/studySummary.do?studyID=2018&cycle=Reporting&year=2017"
46;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2028;"Aflasafe products protect maize and groundnut from aflatoxin contamination in more than 100,000 hectares in four countries in sub-Saharan Africa ";342;"Technological and institutional innovations for assessing and mitigating food safety risks related to aflatoxins designed and tested, including capacity building";"Large-scale use of Aflasafe is expanding to Burkina Faso, Tanzania, Ghana, Zambia, Malawi, Mozambique, and is expected to occur in other countries across Sub-Saharan Africa (e.g. Mali, Zimbabwe, Cameroon, Ethiopia).";"IITA is implementing strategic partnerships with private companies or Government entities to use Aflasafe products in maize and groundnut fields of four sub-Saharan Africa nations. Over 100,000 ha were treated with Aflasafe during 2017, allowing production of maize and groundnut with safe aflatoxin levels. Large-scale use of Aflasafe contributed to improve food safety [e.g. in Nigeria 91% of samples had less than 20 ppb] and increased the income of smallholder maize farmers (average 11.5% more than regular maize).";"1 - Significant objective";"0 - Not Targeted";"2 - Principal objective";"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=2028&cycle=Reporting&year=2017"
47;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2033;"Joint Village Land Use Planning methodology secures tenure for pastoralist women in Tanzania";663;"5.1.1 Enhancing Tenure Security";;"The Sustainable Rangelands Management Project Project introduced participatory rangeland resource mapping, based on experiences in Ethiopia, to the Village Land Use Planning (VLUP) in Tanzania.   Working with the National Land Use Planning Commission (NLUPC), the project was able to secure resources across village boundaries and group Certificates of Customary Right of Occupancy that secured rights to shared grazing area of 12,187 ha, benefitting more than 3000 pastoralists/ agro-pastoralists, and incorporation of this approach in the NLUPC Guidelines. ";"1 - Significant objective";"1 - Significant objective";"2 - Principal objective";"https://marlo.cgiar.org/projects/PIM/studySummary.do?studyID=2033&cycle=Reporting&year=2017"
48;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2037;;;;;;;;;"https://marlo.cgiar.org/projects/WLE/studySummary.do?studyID=2037&cycle=Reporting&year=2017"
49;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2039;"CCAFS evidence on scalable CSA business models drove USD 170million national policy investment in India to curb crop residue burning";25;"Developing, adapting and targeting portfolios of CSA practices for sustainable intensification of smallholder and vulnerable farming systems in South Asia";"Areas encircling residue burning affected zones showcase intense levels of health & productivity losses. Major high risk areas targeted are Haryana, Punjab& Delhi-NCR affected due to immense rice residue burning.";"Science-based evidence generated by CCAFS-CIMMYT & partners in the CSVs helped the Indian Government to prioritize crop residues management solutions and establish a large scale routing investment of INR 1150 crores for in-situ management using the Happy Seeder technology. Responding the Prime Ministers call to curb to crop residue burning while providing sustainable and scalable solutions, this scheme targets an increased incomes for over 2 million farmers, improving soil health, reducing water use and carbon footprints in 4 million hectares.

";"1 - Significant objective";"1 - Significant objective";"2 - Principal objective";"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=2039&cycle=Reporting&year=2017"
50;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2050;"Agriculture negotiators reach agreement at COP23";267;"[Flagship Leader] FP3: Engagement, synthesis and support";"The Koronivia Joint Work on Agriculture was agreed upon by all countries that are party to the UNFCCC.";"CCAFS’s research and engagement were instrumental in supporting the UNFCCC COP23 decision on the Koronivia Joint Work on Agriculture. CCAFS provided scientific evidence on the importance of agriculture to the Paris Agreement goals, analysis of mitigation and adaptation in the NDCs, and concrete technical and policy options for addressing agriculture in UNFCCC negotiations, and convened workshops that negotiators cited as critical to enabling them to formulate their positions and come to an agreement.";"0 - Not Targeted";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=2050&cycle=Reporting&year=2017"
51;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2069;"10 farmers’ organizations and public institutions in LAM empowered with tools to identify CSA options in line with seasonal forecasts";58;"Putting climate into extension services: Climate-Site-Specific Management Systems (CSMS) for grounding climate smart agriculture to farm rice systems";;"10 farmer organizations in 6 counties in LAM now have fully dedicated agro-climatic prediction and climate-site-specific agronomy analysis teams, sustainably producing climate-site-specific agronomic recommendations and seasonal agro-climatic forecasts in connection with national meteorological services. Two farmer organizations in Colombia adopted novel agro-climatic prediction practices; two national meteorological services strengthen their seasonal prediction capacity by automating the Climate Predictability Tool (CPT); 6 organizations use climate-site-specific agronomy to identify best CSA options.";"1 - Significant objective";"1 - Significant objective";"2 - Principal objective";"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=2069&cycle=Reporting&year=2017"
52;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2074;"African meteorological institutions provide new high-resolution seasonal climate analyses for agricultural decision-making across 5 countries and regionally";266;"[Flagship Leader] FP4: Engagement, synthesis and support";"Also includes IGAD and ECOWAS regions, through regional climate centers.";"Five National Meteorological Services serving a rural population of 125 million, and two regional climate centers, in Africa routinely provide new high-resolution information and analyses of growing season characteristics for agricultural and food security decision-makers.  The process has elevated the capacity and status of collaborating NMS.  CCAFS developed the new tools, and contributed to their implementation and capacity development in partnership with the IRI's ENACTS (Enhancing National Climate Services) initiative.";"0 - Not Targeted";"0 - Not Targeted";"2 - Principal objective";"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=2074&cycle=Reporting&year=2017"
53;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2082;"Informing decisions making on investments in agricultural research, resource management, and infrastructure through engagement with USAID";656;"1.1.2 Improved Quantitative Strategic Foresight Modeling Tools and Applications";"The interaction per se took place in Washington DC, with the potential to inform USAID's global mission.";"In 2017 IFPRI published a report on the use of Quantitative Foresight Modeling to inform the CGIAR Research Portfolio. The study, led by EPTD in collaboration with CGIAR and external partners, was originally commissioned and funded by the United States Agency for International Development (USAID).
After completion, USAID showed an interest in using the results of the analysis to inform the strategic thinking of the USAID Bureau on Food Security (BFS) on questions related to investments toward poverty reduction. ";"0 - Not Targeted";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/projects/PIM/studySummary.do?studyID=2082&cycle=Reporting&year=2017"
54;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2095;"ASTI data inform policies to improve agricultural research capacity, efficiency, and output delivery in Swaziland (Kingdom of Eswatini)";660;"1.2.3 Decision Support Systems for R&D";;"ASTI data contributed to a policy that prioritized higher education training for agricultural researchers in Swaziland (The Kingdom of Eswatini), and was used in presentations, posters, and meeting communications to advocate for a reform of the national agricultural research system which is expected to improve research funding, the recruitment and advancement of qualified researchers, and research output delivery.";"0 - Not Targeted";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/projects/PIM/studySummary.do?studyID=2095&cycle=Reporting&year=2017"
55;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2099;"More than 100 000 farmers increased their productivity based on climate-site-specific agronomy recommendations in LAM";58;"Putting climate into extension services: Climate-Site-Specific Management Systems (CSMS) for grounding climate smart agriculture to farm rice systems";;"About 100 000 farmers in Colombia benefit from climate-site-specific-agronomy-analysis generated by CIAT and Partners . Fedearroz and Fenalce adjusts their blanket recommendation systems with site-specific CSA practices identified by analysis. The former increased 15% its production and reduces 18 % of costs; benefiting 3000 farmers; Fenalce increased 24% its yields and benefit 3335 famers. The- Secretary-of-Agriculture-and-Rural-Development-Pereira used the analysis to identify 119 groups of agroecological-zones within 55923 hectares benefiting 90000 farmers. In Mexico, through MasAgro 4000 farmers access to data-driven-CSA-practices.";"0 - Not Targeted";"0 - Not Targeted";"1 - Significant objective";"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=2099&cycle=Reporting&year=2017"
56;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2103;"Scaling out Solar Pump Irrigators’ Cooperate Enterprise (SPICE) model in India ";259;"[Regional Program Leader] SA: Scaling up/out Climate-Smart Agriculture Technologies, Practices and Services across South Asia";;"The Solar Pump Irrigators’ Cooperate Enterprise (SPICE) tested and evaluated in the states of Gujarat and Bihar in India by IWMI and CCAFS in collaboration with Tata Trust is being scaled out by the Government of India through a new multi-billion-dollar scheme to implement solarisation of farm irrigation. As per the scheme, the Government of India, Ministry of New and Renewable Energy (MNRE) plan to provide 2.75 million solar pumps to the individual farmers or/and farmers’ cooperatives across India. ";"0 - Not Targeted";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=2103&cycle=Reporting&year=2017"
57;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2108;"Livestock Master Plan guides public and private investments in Ethiopia to lift more than 2 million households out of poverty";740;"Activity 5.1.3 Policy Identification and generation";"A similar process has started in Tanzania, Rwanda and Bihar (India)";"Livestock researchers and partners used their modelling expertise to provide a guide for public and private investments in Ethiopia, with the objective of reducing poverty; achieving food and nutritional security; contributing to economic growth, exports and foreign exchange earnings; and contributing to climate mitigation and adaptation. This roadmap, or master plan, was then used by various actors including the World Bank to shape their investments, which will ultimately impact more than 2.3 million of Ethiopia’s 11 million livestock-keeping households.";"0 - Not Targeted";"0 - Not Targeted";"1 - Significant objective";"https://marlo.cgiar.org/projects/Livestock/studySummary.do?studyID=2108&cycle=Reporting&year=2017"
58;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2110;"Creating and supporting SME opportunities in the pork value chain in Uganda";607;"Activity 2.2.1 Development and evaluation of herd health packages";"Trainings through our SMEs have expanded to Kenya, Nigeria and Tanzania.";"The Livestock CRP generated evidence on gaps and opportunities in the pork value chain through assessments leading to intervention tests, at both farm and market levels. The work, started under Livestock & Fish, also established multi-stakeholder platforms, providing business and networking opportunities and agribusiness linkages to emerging SMEs run by farmers and young entrepreneurs. This capacity development has expanded their horizons and provided business opportunities in training, selling feeds, providing pig AI services and trading in pork.";"0 - Not Targeted";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/projects/Livestock/studySummary.do?studyID=2110&cycle=Reporting&year=2017"
59;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2114;"Bundling of animal health services increases access to quality services to more than 90% of pastoralists ";616;"Activity 2.4.1 Animal Health Service provision";;"Access to animal health services is one of the most important factors in improving livestock productivity.  We piloted bundling of additional services by public and private sectors during vaccination campaigns. In two counties in Kenya, Garissa and Marsabit, it's now routine for the government to invite private sector actors to provide additional services while the government provides vaccinations. This has saved the government money, increased business opportunities for the private sector, and provided quality services to pastoralists at affordable prices.";"0 - Not Targeted";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/projects/Livestock/studySummary.do?studyID=2114&cycle=Reporting&year=2017"
60;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2115;"World Food Programme uses mobile-based monitoring tools to guide programming in three countries, affecting up to 2.6 m persons";56;"(GLO-EA-WA- ICRAF) Partnerships for scaling climate-smart agriculture (P4S-CSA)";"Initial countries are Niger, Afghanistan and DRC but WFP is looking to scale the innovation globally.";"ICRAF, with WFP, validated using voice-calls over mobile phones to collect nutrition information from women and mothers. The immediate user of this innovation is the WFP's Vulnerability, Assessment and Mapping Unit who provide technical support across WFP and help monitor and trigger responses. Based on the research and engagement, WFP is piloting the use this innovation in three countries, where they serve 2.6 million beneficiaries, and created a training module based on the innovation for further dissemination and scaling.  ";"2 - Principal objective";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=2115&cycle=Reporting&year=2017"
61;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2118;"The Kenya Livestock Insurance Program (KLIP) improved drought mitigation and enhanced food security for over 20,000 pastoralist households in 2017.";574;"Activity 4.3.2 Policy advice on environmental issues";;"KLIP, a Government of Kenya funded drought insurance program, paid out Kshs. 494 million to 22,000 vulnerable pastoralist households in 2017 alone . These pay-outs ensured that farmers could buy their own food as well as fodder, drugs and water for their livestock during periods of drought. Covering eight counties in Kenya, the program has enabled the beneficiaries to keep their animals alive after the failure of the short and long rains in 2016 and 2017.";"0 - Not Targeted";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/projects/Livestock/studySummary.do?studyID=2118&cycle=Reporting&year=2017"
62;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2119;"Implementing the ITPGRFA in Bhutan, Burkina Faso, Costa Rica, Côte d’Ivoire, Guatemala, Nepal, Rwanda and Uganda: highlights";66;"Global policy support for biologically diverse, climate resilient agriculture";"Other countries that benefitted from the experiences in the eight GRPI project countries listed above include Benin, India, Madagascar, Malaysia, Zambia, Zimbabwe.";"With technical support of Bioversity International, government organizations in eight countries developed policies/laws, introduced these into national policy processes to create policy/legal space for Treaty implementation, identified genetic resources within their country to be included in the multilateral system,  designated national competent authorities capable to consider requests for access to plant genetic resources for food and agriculture and sharing of those resources with users worldwide. The eight countries are implementing the Treaty and Nagoya Protocol in a mutually supportive way.";"0 - Not Targeted";"0 - Not Targeted";"1 - Significant objective";"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=2119&cycle=Reporting&year=2017"
